id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
50233,wvengen/proguard-maven-plugin,FALSE,507,4,8,152,Java,master,Apache License 2.0,http://wvengen.github.io/proguard-maven-plugin/,29,628,27,671,2011-06-21T01:53:46,2025-02-26T03:37:52,2025-02-26T03:37:49,137,31,248,4,360,1819,413,"[{""codeLines"":889,""commentLines"":378,""language"":""Java"",""blankLines"":192},{""codeLines"":94,""commentLines"":23,""language"":""YAML"",""blankLines"":15},{""codeLines"":55,""commentLines"":0,""language"":""Markdown"",""blankLines"":27},{""codeLines"":10,""commentLines"":0,""language"":""XML"",""blankLines"":0},{""codeLines"":27,""commentLines"":7,""language"":""Bourne Shell"",""blankLines"":7},{""codeLines"":317,""commentLines"":4,""language"":""Maven"",""blankLines"":32},{""codeLines"":418,""commentLines"":0,""language"":""Text"",""blankLines"":86},{""codeLines"":9,""commentLines"":1,""language"":""Groovy"",""blankLines"":1}]",2025-02-26T03:37:44,08d7c9e1b3f8cbff41992d9d5e4e85b96e2a560a,FALSE,FALSE,FALSE,FALSE,"{""Java"":43467,""Shell"":1194,""Groovy"":490}",bug;dependencies;feature request;fixed / not yet released;github_actions;good first issue;invalid / no maven-plugin bug;java;mcve-required;needs work,java;maven;maven-plugin;minification;obfuscation;proguard
147545,ph-7/simple-java-calculator,FALSE,111,1,2,456,Java,master,Apache License 2.0,https://ph-7.github.io/Simple-Java-Calculator/,36,204,17,234,2012-05-03T03:45:09,2024-02-09T02:46:57,2024-02-09T05:20:14,13,3,90,11,186,2056,241,"[{""codeLines"":170,""commentLines"":0,""language"":""Text"",""blankLines"":32},{""codeLines"":1,""commentLines"":0,""language"":""YAML"",""blankLines"":0},{""codeLines"":28,""commentLines"":0,""language"":""Markdown"",""blankLines"":27},{""codeLines"":5,""commentLines"":55,""language"":""Ant"",""blankLines"":13},{""codeLines"":1299,""commentLines"":126,""language"":""XML"",""blankLines"":3},{""codeLines"":69,""commentLines"":12,""language"":""Properties"",""blankLines"":0},{""codeLines"":484,""commentLines"":48,""language"":""Java"",""blankLines"":111}]",2024-02-06T09:02:59,36c3c1465fbfa3bb04f8e9ef0a73c11df75a8b3c,TRUE,FALSE,FALSE,FALSE,"{""Java"":19426}",bug;duplicate;enhancement;help wanted;invalid;question;wip;wontfix,calculator;java;java-calculator;java-learning;java-simple-project;java-study;java-swing;learn;learning-java;simple-java-calculator;teaching
239111,jarod/qqwry-java,FALSE,41,1,14,52,Java,master,MIT License,https://www.cz88.net/,4,183,1,377,2012-09-28T07:21:09,2024-02-18T03:10:48,2024-02-17T02:06:42,8,5,1,0,118,603,165,"[{""codeLines"":69,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":21},{""codeLines"":85,""commentLines"":0,""language"":""Gradle"",""blankLines"":13},{""codeLines"":13,""commentLines"":0,""language"":""Properties"",""blankLines"":1},{""codeLines"":2,""commentLines"":0,""language"":""TOML"",""blankLines"":0},{""codeLines"":281,""commentLines"":48,""language"":""Java"",""blankLines"":44},{""codeLines"":11,""commentLines"":0,""language"":""YAML"",""blankLines"":0},{""codeLines"":40,""commentLines"":0,""language"":""Markdown"",""blankLines"":12},{""codeLines"":102,""commentLines"":115,""language"":""Bourne Shell"",""blankLines"":27}]",2024-02-18T03:07:40,cbbe56663aa236e3e598213476ff88db20aabb3a,TRUE,FALSE,FALSE,FALSE,"{""Java"":9887}",bug;duplicate;enhancement;invalid;question;wontfix,geoip;java;qqwry
361874,mybatis/ehcache-cache,FALSE,609,4,9,82,Java,master,Apache License 2.0,http://mybatis.github.io/ehcache-cache,36,149,12,2582,2013-02-12T08:49:13,2025-02-26T12:54:35,2025-02-26T12:54:20,15,3,207,0,260,1234,465,"[{""codeLines"":163,""commentLines"":38,""language"":""YAML"",""blankLines"":25},{""codeLines"":4,""commentLines"":16,""language"":""Properties"",""blankLines"":0},{""codeLines"":54,""commentLines"":12,""language"":""Velocity Template Language"",""blankLines"":18},{""codeLines"":79,""commentLines"":15,""language"":""Maven"",""blankLines"":19},{""codeLines"":170,""commentLines"":0,""language"":""DOS Batch"",""blankLines"":36},{""codeLines"":239,""commentLines"":63,""language"":""Bourne Shell"",""blankLines"":30},{""codeLines"":458,""commentLines"":268,""language"":""Java"",""blankLines"":98},{""codeLines"":49,""commentLines"":53,""language"":""XML"",""blankLines"":29},{""codeLines"":12,""commentLines"":0,""language"":""Markdown"",""blankLines"":5},{""codeLines"":6,""commentLines"":0,""language"":""JSON"",""blankLines"":0}]",2025-02-26T12:54:15,ee2dff165ff3966b43449253fc83e522d2b0d8b1,FALSE,FALSE,FALSE,FALSE,"{""Java"":19565}",bug;dependencies;duplicate;enhancement;github_actions;invalid;java;question;wontfix,cache;ehcache;java
705685,greengerong/prerender-java,FALSE,136,1,1,48,Java,master,MIT License,http://prerender.io/,11,120,11,169,2013-10-15T02:48:26,2023-07-09T08:28:03,2023-06-11T04:37:52,29,1,26,0,203,1166,73,"[{""codeLines"":237,""commentLines"":6,""language"":""Maven"",""blankLines"":9},{""codeLines"":753,""commentLines"":63,""language"":""Java"",""blankLines"":149},{""codeLines"":18,""commentLines"":0,""language"":""JSP"",""blankLines"":0},{""codeLines"":73,""commentLines"":0,""language"":""Markdown"",""blankLines"":42},{""codeLines"":80,""commentLines"":4,""language"":""XML"",""blankLines"":3},{""codeLines"":5,""commentLines"":0,""language"":""YAML"",""blankLines"":0}]",2023-07-09T08:28:03,292bd36335126dd9ea3fd8329ce629efddeeb91c,TRUE,FALSE,FALSE,FALSE,"{""Java"":39387}",bug;duplicate;enhancement;invalid;question;wontfix,angular1;crawler;java;prerender;prerendered-page;seo
1068695,jhonnymertz/java-wkhtmltopdf-wrapper,FALSE,223,1,20,97,Java,master,MIT License,,13,318,18,270,2014-03-20T01:21:19,2025-02-24T10:46:52,2025-02-24T10:46:49,53,6,127,0,376,1485,577,"[{""codeLines"":999,""commentLines"":539,""language"":""Java"",""blankLines"":274},{""codeLines"":62,""commentLines"":4,""language"":""YAML"",""blankLines"":9},{""codeLines"":202,""commentLines"":0,""language"":""Markdown"",""blankLines"":81},{""codeLines"":218,""commentLines"":11,""language"":""Maven"",""blankLines"":12},{""codeLines"":4,""commentLines"":23,""language"":""Properties"",""blankLines"":0}]",2025-02-24T10:46:44,2c58de9b2174e44cb40c0333f3236d7159eacb83,FALSE,FALSE,FALSE,FALSE,"{""Java"":55932,""Shell"":469}",bug;dependencies;duplicate;enhancement;invalid;need investigation;question;wkhtmltopdf issue;wontfix,java;wkhtmltopdf;wrapper
1089067,duydo/elasticsearch-analysis-vietnamese,FALSE,259,30,14,192,Java,master,Apache License 2.0,,33,475,11,4680,2014-03-28T09:45:31,2023-12-07T02:54:54,2023-12-28T02:45:25,109,1,37,0,281,1469,160,"[{""codeLines"":247,""commentLines"":0,""language"":""Text"",""blankLines"":33},{""codeLines"":692,""commentLines"":157,""language"":""Java"",""blankLines"":175},{""codeLines"":8,""commentLines"":0,""language"":""Properties"",""blankLines"":0},{""codeLines"":155,""commentLines"":1,""language"":""Maven"",""blankLines"":1},{""codeLines"":44,""commentLines"":0,""language"":""XML"",""blankLines"":3},{""codeLines"":62,""commentLines"":0,""language"":""YAML"",""blankLines"":4},{""codeLines"":214,""commentLines"":0,""language"":""Markdown"",""blankLines"":57},{""codeLines"":12,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":35,""commentLines"":2,""language"":""Dockerfile"",""blankLines"":8}]",2023-12-07T02:54:53,dd6c0b03c11c42445329d3180f71cb1c87018d94,TRUE,FALSE,FALSE,FALSE,"{""Java"":32672,""Dockerfile"":1731,""Shell"":220}",bug;dependencies;duplicate;enhancement;info;invalid;question;wontfix,analysis-plugin;elasticsearch;java;vietnamese;vietnamese-analysis-plugin
1289449,pf4j/pf4j-spring,FALSE,101,2,1,110,Java,master,Apache License 2.0,,23,353,9,137,2014-06-16T01:38:58,2025-01-21T07:20:52,2025-01-21T07:20:56,72,30,17,2,303,1531,499,"[{""codeLines"":13,""commentLines"":0,""language"":""INI"",""blankLines"":4},{""codeLines"":195,""commentLines"":0,""language"":""Markdown"",""blankLines"":62},{""codeLines"":17,""commentLines"":7,""language"":""Properties"",""blankLines"":2},{""codeLines"":12,""commentLines"":0,""language"":""Text"",""blankLines"":0},{""codeLines"":727,""commentLines"":46,""language"":""Maven"",""blankLines"":84},{""codeLines"":424,""commentLines"":398,""language"":""Java"",""blankLines"":131},{""codeLines"":15,""commentLines"":8,""language"":""DOS Batch"",""blankLines"":7},{""codeLines"":76,""commentLines"":31,""language"":""XML"",""blankLines"":4},{""codeLines"":15,""commentLines"":8,""language"":""Bourne Shell"",""blankLines"":8},{""codeLines"":37,""commentLines"":1,""language"":""YAML"",""blankLines"":1}]",2025-01-21T07:20:52,30c9466f6ec627a44addd5fd8ff6d2cb76a79882,TRUE,FALSE,FALSE,FALSE,"{""Java"":22537,""Batchfile"":814,""Shell"":748}",bug;duplicate;enhancement;help wanted;invalid;question;wontfix,java;modularity;pf4j;plugins;spring-framework
1349038,balysv/material-menu,FALSE,119,1,20,506,Java,master,Apache License 2.0,,105,2479,4,1241,2014-07-10T10:22:20,2024-06-11T07:51:24,2024-06-11T07:51:28,56,5,13,5,522,2117,217,"[{""codeLines"":128,""commentLines"":16,""language"":""Gradle"",""blankLines"":28},{""codeLines"":21,""commentLines"":1,""language"":""Properties"",""blankLines"":1},{""codeLines"":123,""commentLines"":21,""language"":""Bourne Again Shell"",""blankLines"":20},{""codeLines"":306,""commentLines"":0,""language"":""XML"",""blankLines"":42},{""codeLines"":482,""commentLines"":0,""language"":""Markdown"",""blankLines"":190},{""codeLines"":64,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":24},{""codeLines"":993,""commentLines"":177,""language"":""Java"",""blankLines"":217}]",2024-06-11T07:51:23,9600d0ce1bed704c61eaafd52a956dbd001a1d8f,TRUE,FALSE,FALSE,FALSE,"{""Java"":41403}",bug;duplicate;enhancement;help wanted;invalid;question;wontfix,android;animation;drawer;icon-states;icons;java;material-menu
1531724,balysv/material-ripple,FALSE,67,1,3,477,Java,master,Apache License 2.0,,86,2352,5,2795,2014-09-16T08:54:56,2024-06-11T07:50:55,2024-06-11T07:50:59,81,45,10,2,303,1500,86,"[{""codeLines"":866,""commentLines"":45,""language"":""Java"",""blankLines"":161},{""codeLines"":21,""commentLines"":1,""language"":""Properties"",""blankLines"":1},{""codeLines"":203,""commentLines"":0,""language"":""XML"",""blankLines"":28},{""codeLines"":64,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":24},{""codeLines"":130,""commentLines"":17,""language"":""Gradle"",""blankLines"":29},{""codeLines"":123,""commentLines"":21,""language"":""Bourne Again Shell"",""blankLines"":20},{""codeLines"":93,""commentLines"":0,""language"":""Markdown"",""blankLines"":40}]",2024-06-11T07:50:55,67d4bc80bc27d50298c71ee83907eab96dfb8fea,TRUE,FALSE,FALSE,FALSE,"{""Java"":28920}",bug;duplicate;enhancement;help wanted;invalid;question;ui;wontfix,android;java;material-ripple;ripple;wrapper
