Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,4ab49a186b441db91009d069102a6522aea615cd,Main.java,main,"    public static void main(String[] args) {
        try {
            UIManager.setLookAndFeel( new FlatLightLaf() );
        } catch( Exception ex ) {
            System.err.println( ""Failed to initialize LaF"" );
        }
        String title = ""CTFCrackTools %s %s"";
        String version = ""4.0.2"";
        String slogan = """";
        JFrame f = new JFrame(String.format(title, version,slogan));
        Dimension d = Toolkit.getDefaultToolkit().getScreenSize();
        f.setBounds((int)(d.getWidth()-900)/2,(int)d.getWidth()/2-600,900,600);
        MainUi m = new MainUi();
        f.add(m);
        f.setDefaultCloseOperation(EXIT_ON_CLOSE);
        f.setVisible(true);
    }",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"    public static void main(String[] args) {
        try {
            UIManager.setLookAndFeel( new FlatLightLaf() );
        } catch( Exception ex ) {
            System.err.println( ""Failed to initialize LaF"" );
        }
        String title = ""CTFCrackTools %s %s"";
        String version = ""4.0.2"";
        String slogan = """";
        JFrame f = new JFrame(String.format(title, version,slogan));
        Dimension d = Toolkit.getDefaultToolkit().getScreenSize();
        f.setBounds((int)(d.getWidth()-900)/2,(int)d.getWidth()/2-600,900,600);
        MainUi m = new MainUi();
        f.add(m);
        f.setDefaultCloseOperation(EXIT_ON_CLOSE);
        f.setVisible(true);
    }
","['    ', 'public', ' ', 'static', ' ', 'void', ' ', 'main', '(', 'String', '[', ']', ' ', 'args', ')', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'UIManager', '.', 'setLookAndFeel', '(', ' ', 'new', ' ', 'FlatLightLaf', '(', ')', ' ', ')', ';', '\n', '        ', '}', ' ', 'catch', '(', ' ', 'Exception', ' ', 'ex', ' ', ')', ' ', '{', '\n', '            ', 'System', '.', 'err', '.', 'println', '(', ' ', '""', 'Failed to initialize LaF', '""', ' ', ')', ';', '\n', '        ', '}', '\n', '        ', 'String', ' ', 'title', ' ', '=', ' ', '""', 'CTFCrackTools %s %s', '""', ';', '\n', '        ', 'String', ' ', 'version', ' ', '=', ' ', '""', '4.0.2', '""', ';', '\n', '        ', 'String', ' ', 'slogan', ' ', '=', ' ', '""', '""', ';', '\n', '        ', 'JFrame', ' ', 'f', ' ', '=', ' ', 'new', ' ', 'JFrame', '(', 'String', '.', 'format', '(', 'title', ',', ' ', 'version', ',', 'slogan', ')', ')', ';', '\n', '        ', 'Dimension', ' ', 'd', ' ', '=', ' ', 'Toolkit', '.', 'getDefaultToolkit', '(', ')', '.', 'getScreenSize', '(', ')', ';', '\n', '        ', 'f', '.', 'setBounds', '(', '(', 'int', ')', '(', 'd', '.', 'getWidth', '(', ')', '-', '900', ')', '/', '2', ',', '(', 'int', ')', 'd', '.', 'getWidth', '(', ')', '/', '2', '-', '600', ',', '900', ',', '600', ')', ';', '\n', '        ', 'MainUi', ' ', 'm', ' ', '=', ' ', 'new', ' ', 'MainUi', '(', ')', ';', '\n', '        ', 'f', '.', 'add', '(', 'm', ')', ';', '\n', '        ', 'f', '.', 'setDefaultCloseOperation', '(', 'EXIT_ON_CLOSE', ')', ';', '\n', '        ', 'f', '.', 'setVisible', '(', 'true', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,4ab49a186b441db91009d069102a6522aea615cd,AutoConvertRadix.java,characterChange,"    public void characterChange(DocumentEvent e){
        int selectRadix = inputRadix.getSelectedIndex();
        Map<Integer, Integer> radix = new HashMap(){{
            put(0,2);
            put(1,8);
            put(2,10);
            put(3,16);
        }};
        try {
            BigInteger input = new BigInteger(inputTextField.getText(), radix.get(selectRadix));",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"    public void characterChange(DocumentEvent e){
        int selectRadix = inputRadix.getSelectedIndex();
        Map<Integer, Integer> radix = new HashMap(){{
            put(0,2);
            put(1,8);
            put(2,10);
            put(3,16);
        }};
        try {
            BigInteger input = new BigInteger(inputTextField.getText(), radix.get(selectRadix));
","['    ', 'public', ' ', 'void', ' ', 'characterChange', '(', 'DocumentEvent', ' ', 'e', ')', '{', '\n', '        ', 'int', ' ', 'selectRadix', ' ', '=', ' ', 'inputRadix', '.', 'getSelectedIndex', '(', ')', ';', '\n', '        ', 'Map', '<', 'Integer', ',', ' ', 'Integer', '>', ' ', 'radix', ' ', '=', ' ', 'new', ' ', 'HashMap', '(', ')', '{', '{', '\n', '            ', 'put', '(', '0', ',', '2', ')', ';', '\n', '            ', 'put', '(', '1', ',', '8', ')', ';', '\n', '            ', 'put', '(', '2', ',', '10', ')', ';', '\n', '            ', 'put', '(', '3', ',', '16', ')', ';', '\n', '        ', '}', '}', ';', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'BigInteger', ' ', 'input', ' ', '=', ' ', 'new', ' ', 'BigInteger', '(', 'inputTextField', '.', 'getText', '(', ')', ',', ' ', 'radix', '.', 'get', '(', 'selectRadix', ')', ')', ';', '\n', '<END>']"
master,4ab49a186b441db91009d069102a6522aea615cd,AutoConvertRadix.java,Convert,"    public void Convert(BigInteger input){
        binaryTextField.setText(input.toString(2));
        octTextField.setText(input.toString(8));
        decTextField.setText(input.toString(10));
        hexTextField.setText(input.toString(16));
        try{
            int diy = Integer.parseInt(diyRadix.getText());",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"    public void Convert(BigInteger input){
        binaryTextField.setText(input.toString(2));
        octTextField.setText(input.toString(8));
        decTextField.setText(input.toString(10));
        hexTextField.setText(input.toString(16));
        try{
            int diy = Integer.parseInt(diyRadix.getText());
","['    ', 'public', ' ', 'void', ' ', 'Convert', '(', 'BigInteger', ' ', 'input', ')', '{', '\n', '        ', 'binaryTextField', '.', 'setText', '(', 'input', '.', 'toString', '(', '2', ')', ')', ';', '\n', '        ', 'octTextField', '.', 'setText', '(', 'input', '.', 'toString', '(', '8', ')', ')', ';', '\n', '        ', 'decTextField', '.', 'setText', '(', 'input', '.', 'toString', '(', '10', ')', ')', ';', '\n', '        ', 'hexTextField', '.', 'setText', '(', 'input', '.', 'toString', '(', '16', ')', ')', ';', '\n', '        ', 'try', '{', '\n', '            ', 'int', ' ', 'diy', ' ', '=', ' ', 'Integer', '.', 'parseInt', '(', 'diyRadix', '.', 'getText', '(', ')', ')', ';', '\n', '<END>']"
master,4ab49a186b441db91009d069102a6522aea615cd,DecodePanel.java,inputCharacterChange,"    public void inputCharacterChange(DocumentEvent e){
        input = inputArea.getText();
        int length = inputArea.getText().replace(""\r|\n"","""").length();
        inputCharacterCount.setText(""InputArea - Now Input Character Count:""+length);
    }",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"    public void inputCharacterChange(DocumentEvent e){
        input = inputArea.getText();
        int length = inputArea.getText().replace(""\r|\n"","""").length();
        inputCharacterCount.setText(""InputArea - Now Input Character Count:""+length);
    }
","['    ', 'public', ' ', 'void', ' ', 'inputCharacterChange', '(', 'DocumentEvent', ' ', 'e', ')', '{', '\n', '        ', 'input', ' ', '=', ' ', 'inputArea', '.', 'getText', '(', ')', ';', '\n', '        ', 'int', ' ', 'length', ' ', '=', ' ', 'inputArea', '.', 'getText', '(', ')', '.', 'replace', '(', '""', '\\', 'r|', '\\', 'n', '""', ',', '""', '""', ')', '.', 'length', '(', ')', ';', '\n', '        ', 'inputCharacterCount', '.', 'setText', '(', '""', 'InputArea - Now Input Character Count:', '""', '+', 'length', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,4ab49a186b441db91009d069102a6522aea615cd,DecodePanel.java,resultCharacterChange,"    public void resultCharacterChange(DocumentEvent e){
        input = inputArea.getText();
        int length = resultArea.getText().replace(""\r|\n"","""").length();
        resultCharacterCount.setText(""ResultArea - Now Result Character Count:""+length);
    }",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"    public void resultCharacterChange(DocumentEvent e){
        input = inputArea.getText();
        int length = resultArea.getText().replace(""\r|\n"","""").length();
        resultCharacterCount.setText(""ResultArea - Now Result Character Count:""+length);
    }
","['    ', 'public', ' ', 'void', ' ', 'resultCharacterChange', '(', 'DocumentEvent', ' ', 'e', ')', '{', '\n', '        ', 'input', ' ', '=', ' ', 'inputArea', '.', 'getText', '(', ')', ';', '\n', '        ', 'int', ' ', 'length', ' ', '=', ' ', 'resultArea', '.', 'getText', '(', ')', '.', 'replace', '(', '""', '\\', 'r|', '\\', 'n', '""', ',', '""', '""', ')', '.', 'length', '(', ')', ';', '\n', '        ', 'resultCharacterCount', '.', 'setText', '(', '""', 'ResultArea - Now Result Character Count:', '""', '+', 'length', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,4ab49a186b441db91009d069102a6522aea615cd,DecodePanel.java,loadPlugin,"    private void loadPlugin(){
        plugins = json.parseJson();
        String[] name = new String[plugins.size()+1];
        name[0] = ""Plugins as"";
        for(int i=1;i<=plugins.size();i++){
            name[i] = String.valueOf(plugins.get(i-1).get(""name""));
        }
        DefaultComboBoxModel model = new DefaultComboBoxModel<>(name);
        pluginsComboBox.setModel(model);
    }",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"    private void loadPlugin(){
        plugins = json.parseJson();
        String[] name = new String[plugins.size()+1];
        name[0] = ""Plugins as"";
        for(int i=1;i<=plugins.size();i++){
            name[i] = String.valueOf(plugins.get(i-1).get(""name""));
        }
        DefaultComboBoxModel model = new DefaultComboBoxModel<>(name);
        pluginsComboBox.setModel(model);
    }
","['    ', 'private', ' ', 'void', ' ', 'loadPlugin', '(', ')', '{', '\n', '        ', 'plugins', ' ', '=', ' ', 'json', '.', 'parseJson', '(', ')', ';', '\n', '        ', 'String', '[', ']', ' ', 'name', ' ', '=', ' ', 'new', ' ', 'String', '[', 'plugins', '.', 'size', '(', ')', '+', '1', ']', ';', '\n', '        ', 'name', '[', '0', ']', ' ', '=', ' ', '""', 'Plugins as', '""', ';', '\n', '        ', 'for', '(', 'int', ' ', 'i', '=', '1', ';', 'i', '<', '=', 'plugins', '.', 'size', '(', ')', ';', 'i', '+', '+', ')', '{', '\n', '            ', 'name', '[', 'i', ']', ' ', '=', ' ', 'String', '.', 'valueOf', '(', 'plugins', '.', 'get', '(', 'i', '-', '1', ')', '.', 'get', '(', '""', 'name', '""', ')', ')', ';', '\n', '        ', '}', '\n', '        ', 'DefaultComboBoxModel', ' ', 'model', ' ', '=', ' ', 'new', ' ', 'DefaultComboBoxModel', '<', '>', '(', 'name', ')', ';', '\n', '        ', 'pluginsComboBox', '.', 'setModel', '(', 'model', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,4ab49a186b441db91009d069102a6522aea615cd,DecodePanel.java,reloadPluginsActionPerformed,"    private void reloadPluginsActionPerformed(ActionEvent e) {
        // TODO add your code here
        loadPlugin();
    }",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"    private void reloadPluginsActionPerformed(ActionEvent e) {
        
        loadPlugin();
    }
","['    ', 'private', ' ', 'void', ' ', 'reloadPluginsActionPerformed', '(', 'ActionEvent', ' ', 'e', ')', ' ', '{', '\n', '        ', '\n', '        ', 'loadPlugin', '(', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,4ab49a186b441db91009d069102a6522aea615cd,DecodePanel.java,changedUpdate,"            public void changedUpdate(DocumentEvent e) {
                inputCharacterChange(e);
            }",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"            public void changedUpdate(DocumentEvent e) {
                inputCharacterChange(e);
            }
","['            ', 'public', ' ', 'void', ' ', 'changedUpdate', '(', 'DocumentEvent', ' ', 'e', ')', ' ', '{', '\n', '                ', 'inputCharacterChange', '(', 'e', ')', ';', '\n', '            ', '}', '\n', '<END>']"
master,4ab49a186b441db91009d069102a6522aea615cd,DecodePanel.java,removeUpdate,"            public void removeUpdate(DocumentEvent e) {
                resultCharacterChange(e);
            }",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"            public void removeUpdate(DocumentEvent e) {
                resultCharacterChange(e);
            }
","['            ', 'public', ' ', 'void', ' ', 'removeUpdate', '(', 'DocumentEvent', ' ', 'e', ')', ' ', '{', '\n', '                ', 'resultCharacterChange', '(', 'e', ')', ';', '\n', '            ', '}', '\n', '<END>']"
master,4ab49a186b441db91009d069102a6522aea615cd,DecodePanel.java,insertUpdate,"            public void insertUpdate(DocumentEvent e) {
                resultCharacterChange(e);
            }",https://www.github.com/0chencc/ctfcracktools/commit/4ab49a186b441db91009d069102a6522aea615cd,"            public void insertUpdate(DocumentEvent e) {
                resultCharacterChange(e);
            }
","['            ', 'public', ' ', 'void', ' ', 'insertUpdate', '(', 'DocumentEvent', ' ', 'e', ')', ' ', '{', '\n', '                ', 'resultCharacterChange', '(', 'e', ')', ';', '\n', '            ', '}', '\n', '<END>']"
