Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,MainActivity.java,onCreateOptionsMenu,"    public boolean onCreateOptionsMenu(Menu menu) {
        getMenuInflater().inflate(R.menu.main_menu, menu);
        return super.onCreateOptionsMenu(menu);
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    public boolean onCreateOptionsMenu(Menu menu) {
        getMenuInflater().inflate(R.menu.main_menu, menu);
        return super.onCreateOptionsMenu(menu);
    }
","['    ', 'public', ' ', 'boolean', ' ', 'onCreateOptionsMenu', '(', 'Menu', ' ', 'menu', ')', ' ', '{', '\n', '        ', 'getMenuInflater', '(', ')', '.', 'inflate', '(', 'R', '.', 'menu', '.', 'main_menu', ',', ' ', 'menu', ')', ';', '\n', '        ', 'return', ' ', 'super', '.', 'onCreateOptionsMenu', '(', 'menu', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,MainActivity.java,sendViaLocalBroadcastManager,"    void sendViaLocalBroadcastManager(ResourcesHolder holder){
        // Sending 'holder' object to another class via LocalBroadcastManager
        LocalBroadcastManager.getInstance(this).sendBroadcast(intent);
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    void sendViaLocalBroadcastManager(ResourcesHolder holder){
        
        LocalBroadcastManager.getInstance(this).sendBroadcast(intent);
    }
","['    ', 'void', ' ', 'sendViaLocalBroadcastManager', '(', 'ResourcesHolder', ' ', 'holder', ')', '{', '\n', '        ', '\n', '        ', 'LocalBroadcastManager', '.', 'getInstance', '(', 'this', ')', '.', 'sendBroadcast', '(', 'intent', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,MainActivity.java,clearHolder,"    void clearHolder(ResourcesHolder holder){
        // If you want to clear everything from 'holder', call clear()
        // This method will returns empty 'holder'
        holder.clear();
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    void clearHolder(ResourcesHolder holder){
        
        
        holder.clear();
    }
","['    ', 'void', ' ', 'clearHolder', '(', 'ResourcesHolder', ' ', 'holder', ')', '{', '\n', '        ', '\n', '        ', '\n', '        ', 'holder', '.', 'clear', '(', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,Receiver.java,onReceive,"    public void onReceive(Context context, Intent intent) {
        Toast.makeText(context, ""ResourceHolder is received. See detail on LogCat."", Toast.LENGTH_SHORT).show();

        ResourcesHolder holder = intent.getParcelableExtra(""holder"");
        holder.printAll();
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    public void onReceive(Context context, Intent intent) {
        Toast.makeText(context, ""ResourceHolder is received. See detail on LogCat."", Toast.LENGTH_SHORT).show();

        ResourcesHolder holder = intent.getParcelableExtra(""holder"");
        holder.printAll();
    }
","['    ', 'public', ' ', 'void', ' ', 'onReceive', '(', 'Context', ' ', 'context', ',', ' ', 'Intent', ' ', 'intent', ')', ' ', '{', '\n', '        ', 'Toast', '.', 'makeText', '(', 'context', ',', ' ', '""', 'ResourceHolder is received. See detail on LogCat.', '""', ',', ' ', 'Toast', '.', 'LENGTH_SHORT', ')', '.', 'show', '(', ')', ';', '\n', '\n', '        ', 'ResourcesHolder', ' ', 'holder', ' ', '=', ' ', 'intent', '.', 'getParcelableExtra', '(', '""', 'holder', '""', ')', ';', '\n', '        ', 'holder', '.', 'printAll', '(', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,InternalAccessor.java,getBoolean,"    public static boolean getBoolean(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getBoolean(getResourceId(""bool"", resName));
        } catch (ClassNotFoundException e) {}
        return false;
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    public static boolean getBoolean(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getBoolean(getResourceId(""bool"", resName));
        } catch (ClassNotFoundException e) {}
        return false;
    }
","['    ', 'public', ' ', 'static', ' ', 'boolean', ' ', 'getBoolean', '(', 'Context', ' ', 'context', ',', ' ', '@NonNull', ' ', 'String', ' ', 'resName', ')', ' ', 'throws', ' ', 'ResourceNotFoundException', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'return', ' ', 'context', '.', 'getResources', '(', ')', '.', 'getBoolean', '(', 'getResourceId', '(', '""', 'bool', '""', ',', ' ', 'resName', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'ClassNotFoundException', ' ', 'e', ')', ' ', '{', '}', '\n', '        ', 'return', ' ', 'false', ';', '\n', '    ', '}', '\n', '<END>']"
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,InternalAccessor.java,getColor,"    public static int getColor(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getColor(getResourceId(""color"", resName));
        } catch (ClassNotFoundException e) {}
        return 0;
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    public static int getColor(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getColor(getResourceId(""color"", resName));
        } catch (ClassNotFoundException e) {}
        return 0;
    }
","['    ', 'public', ' ', 'static', ' ', 'int', ' ', 'getColor', '(', 'Context', ' ', 'context', ',', ' ', '@NonNull', ' ', 'String', ' ', 'resName', ')', ' ', 'throws', ' ', 'ResourceNotFoundException', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'return', ' ', 'context', '.', 'getResources', '(', ')', '.', 'getColor', '(', 'getResourceId', '(', '""', 'color', '""', ',', ' ', 'resName', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'ClassNotFoundException', ' ', 'e', ')', ' ', '{', '}', '\n', '        ', 'return', ' ', '0', ';', '\n', '    ', '}', '\n', '<END>']"
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,InternalAccessor.java,getDimension,"    public static float getDimension(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getDimension(getResourceId(""dimen"", resName));
        } catch (ClassNotFoundException e) {}
        return 0;
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    public static float getDimension(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getDimension(getResourceId(""dimen"", resName));
        } catch (ClassNotFoundException e) {}
        return 0;
    }
","['    ', 'public', ' ', 'static', ' ', 'float', ' ', 'getDimension', '(', 'Context', ' ', 'context', ',', ' ', '@NonNull', ' ', 'String', ' ', 'resName', ')', ' ', 'throws', ' ', 'ResourceNotFoundException', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'return', ' ', 'context', '.', 'getResources', '(', ')', '.', 'getDimension', '(', 'getResourceId', '(', '""', 'dimen', '""', ',', ' ', 'resName', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'ClassNotFoundException', ' ', 'e', ')', ' ', '{', '}', '\n', '        ', 'return', ' ', '0', ';', '\n', '    ', '}', '\n', '<END>']"
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,InternalAccessor.java,getInteger,"    public static int getInteger(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getInteger(getResourceId(""integer"", resName));
        } catch (ClassNotFoundException e) {}
        return 0;
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    public static int getInteger(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getInteger(getResourceId(""integer"", resName));
        } catch (ClassNotFoundException e) {}
        return 0;
    }
","['    ', 'public', ' ', 'static', ' ', 'int', ' ', 'getInteger', '(', 'Context', ' ', 'context', ',', ' ', '@NonNull', ' ', 'String', ' ', 'resName', ')', ' ', 'throws', ' ', 'ResourceNotFoundException', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'return', ' ', 'context', '.', 'getResources', '(', ')', '.', 'getInteger', '(', 'getResourceId', '(', '""', 'integer', '""', ',', ' ', 'resName', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'ClassNotFoundException', ' ', 'e', ')', ' ', '{', '}', '\n', '        ', 'return', ' ', '0', ';', '\n', '    ', '}', '\n', '<END>']"
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,InternalAccessor.java,getMipmap,"    public static Drawable getMipmap(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getDrawable(getResourceId(""mipmap"", resName));
        } catch (ClassNotFoundException e) {}
        return null;
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    public static Drawable getMipmap(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().getDrawable(getResourceId(""mipmap"", resName));
        } catch (ClassNotFoundException e) {}
        return null;
    }
","['    ', 'public', ' ', 'static', ' ', 'Drawable', ' ', 'getMipmap', '(', 'Context', ' ', 'context', ',', ' ', '@NonNull', ' ', 'String', ' ', 'resName', ')', ' ', 'throws', ' ', 'ResourceNotFoundException', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'return', ' ', 'context', '.', 'getResources', '(', ')', '.', 'getDrawable', '(', 'getResourceId', '(', '""', 'mipmap', '""', ',', ' ', 'resName', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'ClassNotFoundException', ' ', 'e', ')', ' ', '{', '}', '\n', '        ', 'return', ' ', 'null', ';', '\n', '    ', '}', '\n', '<END>']"
master,165fcf585d1ec29d19d86a75f8e3695675ad5735,InternalAccessor.java,getRaw,"    public static InputStream getRaw(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().openRawResource(getResourceId(""raw"", resName));
        } catch (ClassNotFoundException e) {}
        return null;
    }",https://www.github.com/anggrayudi/android-hidden-api/commit/165fcf585d1ec29d19d86a75f8e3695675ad5735,"    public static InputStream getRaw(Context context, @NonNull String resName) throws ResourceNotFoundException {
        try {
            return context.getResources().openRawResource(getResourceId(""raw"", resName));
        } catch (ClassNotFoundException e) {}
        return null;
    }
","['    ', 'public', ' ', 'static', ' ', 'InputStream', ' ', 'getRaw', '(', 'Context', ' ', 'context', ',', ' ', '@NonNull', ' ', 'String', ' ', 'resName', ')', ' ', 'throws', ' ', 'ResourceNotFoundException', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'return', ' ', 'context', '.', 'getResources', '(', ')', '.', 'openRawResource', '(', 'getResourceId', '(', '""', 'raw', '""', ',', ' ', 'resName', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'ClassNotFoundException', ' ', 'e', ')', ' ', '{', '}', '\n', '        ', 'return', ' ', 'null', ';', '\n', '    ', '}', '\n', '<END>']"
