Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,BaseActivity.java,onCreate,"    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.demo);

        SeekBar duration = (SeekBar) findViewById(R.id.item_animation_duration);
        duration.setMax(4600);
        duration.setProgress(2600);
        duration.setOnSeekBarChangeListener(this);

        materialMenuView = (MaterialMenuView) findViewById(R.id.material_menu_button);
        materialMenuView.setOnClickListener(this);

        findViewById(R.id.switch_item_arrow).setOnClickListener(this);
        findViewById(R.id.switch_item_menu).setOnClickListener(this);
        findViewById(R.id.switch_item_x).setOnClickListener(this);
        findViewById(R.id.animate_item_arrow).setOnClickListener(this);
        findViewById(R.id.animate_item_menu).setOnClickListener(this);
        findViewById(R.id.animate_item_x).setOnClickListener(this);
    }",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.demo);

        SeekBar duration = (SeekBar) findViewById(R.id.item_animation_duration);
        duration.setMax(4600);
        duration.setProgress(2600);
        duration.setOnSeekBarChangeListener(this);

        materialMenuView = (MaterialMenuView) findViewById(R.id.material_menu_button);
        materialMenuView.setOnClickListener(this);

        findViewById(R.id.switch_item_arrow).setOnClickListener(this);
        findViewById(R.id.switch_item_menu).setOnClickListener(this);
        findViewById(R.id.switch_item_x).setOnClickListener(this);
        findViewById(R.id.animate_item_arrow).setOnClickListener(this);
        findViewById(R.id.animate_item_menu).setOnClickListener(this);
        findViewById(R.id.animate_item_x).setOnClickListener(this);
    }
","['    ', 'protected', ' ', 'void', ' ', 'onCreate', '(', 'Bundle', ' ', 'savedInstanceState', ')', ' ', '{', '\n', '        ', 'super', '.', 'onCreate', '(', 'savedInstanceState', ')', ';', '\n', '        ', 'setContentView', '(', 'R', '.', 'layout', '.', 'demo', ')', ';', '\n', '\n', '        ', 'SeekBar', ' ', 'duration', ' ', '=', ' ', '(', 'SeekBar', ')', ' ', 'findViewById', '(', 'R', '.', 'id', '.', 'item_animation_duration', ')', ';', '\n', '        ', 'duration', '.', 'setMax', '(', '4600', ')', ';', '\n', '        ', 'duration', '.', 'setProgress', '(', '2600', ')', ';', '\n', '        ', 'duration', '.', 'setOnSeekBarChangeListener', '(', 'this', ')', ';', '\n', '\n', '        ', 'materialMenuView', ' ', '=', ' ', '(', 'MaterialMenuView', ')', ' ', 'findViewById', '(', 'R', '.', 'id', '.', 'material_menu_button', ')', ';', '\n', '        ', 'materialMenuView', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '\n', '        ', 'findViewById', '(', 'R', '.', 'id', '.', 'switch_item_arrow', ')', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '        ', 'findViewById', '(', 'R', '.', 'id', '.', 'switch_item_menu', ')', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '        ', 'findViewById', '(', 'R', '.', 'id', '.', 'switch_item_x', ')', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '        ', 'findViewById', '(', 'R', '.', 'id', '.', 'animate_item_arrow', ')', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '        ', 'findViewById', '(', 'R', '.', 'id', '.', 'animate_item_menu', ')', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '        ', 'findViewById', '(', 'R', '.', 'id', '.', 'animate_item_x', ')', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '    ', '}', '\n']"
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,BaseActivity.java,onClick,"    @Override public void onClick(View v) {
        final int id = v.getId();
        switch (id) {
            case R.id.animate_item_menu:",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    @Override public void onClick(View v) {
        final int id = v.getId();
        switch (id) {
            case R.id.animate_item_menu:
","['    ', '@Override', ' ', 'public', ' ', 'void', ' ', 'onClick', '(', 'View', ' ', 'v', ')', ' ', '{', '\n', '        ', 'final', ' ', 'int', ' ', 'id', ' ', '=', ' ', 'v', '.', 'getId', '(', ')', ';', '\n', '        ', 'switch', ' ', '(', 'id', ')', ' ', '{', '\n', '            ', 'case', ' ', 'R', '.', 'id', '.', 'animate_item_menu', ':', '\n']"
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,BaseActivity.java,onCreateOptionsMenu,"    public boolean onCreateOptionsMenu(Menu menu) {
        getMenuInflater().inflate(R.menu.home_icon, menu);
        return true;
    }",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    public boolean onCreateOptionsMenu(Menu menu) {
        getMenuInflater().inflate(R.menu.home_icon, menu);
        return true;
    }
","['    ', 'public', ' ', 'boolean', ' ', 'onCreateOptionsMenu', '(', 'Menu', ' ', 'menu', ')', ' ', '{', '\n', '        ', 'getMenuInflater', '(', ')', '.', 'inflate', '(', 'R', '.', 'menu', '.', 'home_icon', ',', ' ', 'menu', ')', ';', '\n', '        ', 'return', ' ', 'true', ';', '\n', '    ', '}', '\n']"
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,BaseActivity.java,onProgressChanged,"    @Override public void onProgressChanged(SeekBar seekBar, int progress, boolean fromUser) {
        materialMenuView.setTransformationDuration(400 + progress);
    }",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    @Override public void onProgressChanged(SeekBar seekBar, int progress, boolean fromUser) {
        materialMenuView.setTransformationDuration(400 + progress);
    }
","['    ', '@Override', ' ', 'public', ' ', 'void', ' ', 'onProgressChanged', '(', 'SeekBar', ' ', 'seekBar', ',', ' ', 'int', ' ', 'progress', ',', ' ', 'boolean', ' ', 'fromUser', ')', ' ', '{', '\n', '        ', 'materialMenuView', '.', 'setTransformationDuration', '(', '400', ' ', '+', ' ', 'progress', ')', ';', '\n', '    ', '}', '\n']"
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,BaseActivity.java,generateState,"    protected int generateState(int previous) {
        int generated = new Random().nextInt(3);
        return generated != previous ? generated : generateState(previous);
    }",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    protected int generateState(int previous) {
        int generated = new Random().nextInt(3);
        return generated != previous ? generated : generateState(previous);
    }
","['    ', 'protected', ' ', 'int', ' ', 'generateState', '(', 'int', ' ', 'previous', ')', ' ', '{', '\n', '        ', 'int', ' ', 'generated', ' ', '=', ' ', 'new', ' ', 'Random', '(', ')', '.', 'nextInt', '(', '3', ')', ';', '\n', '        ', 'return', ' ', 'generated', ' ', '!', '=', ' ', 'previous', ' ', '?', ' ', 'generated', ' ', ':', ' ', 'generateState', '(', 'previous', ')', ';', '\n', '    ', '}', '\n']"
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,BaseActivity.java,intToState,"    protected IconState intToState(int state) {
        switch (state) {
            case 0:
                return IconState.BURGER;
            case 1:
                return IconState.ARROW;
            case 2:
                return IconState.X;
        }
        throw new IllegalArgumentException(""Must be a number [0,3)"");
    }",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    protected IconState intToState(int state) {
        switch (state) {
            case 0:
                return IconState.BURGER;
            case 1:
                return IconState.ARROW;
            case 2:
                return IconState.X;
        }
        throw new IllegalArgumentException(""Must be a number [0,3)"");
    }
","['    ', 'protected', ' ', 'IconState', ' ', 'intToState', '(', 'int', ' ', 'state', ')', ' ', '{', '\n', '        ', 'switch', ' ', '(', 'state', ')', ' ', '{', '\n', '            ', 'case', ' ', '0', ':', '\n', '                ', 'return', ' ', 'IconState', '.', 'BURGER', ';', '\n', '            ', 'case', ' ', '1', ':', '\n', '                ', 'return', ' ', 'IconState', '.', 'ARROW', ';', '\n', '            ', 'case', ' ', '2', ':', '\n', '                ', 'return', ' ', 'IconState', '.', 'X', ';', '\n', '        ', '}', '\n', '        ', 'throw', ' ', 'new', ' ', 'IllegalArgumentException', '(', '""', 'Must be a number [0,3)', '""', ')', ';', '\n', '    ', '}', '\n']"
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,CustomViewActivity.java,onCreate,"    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        initCustomActionBar();
    }",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        initCustomActionBar();
    }
","['    ', 'protected', ' ', 'void', ' ', 'onCreate', '(', 'Bundle', ' ', 'savedInstanceState', ')', ' ', '{', '\n', '        ', 'super', '.', 'onCreate', '(', 'savedInstanceState', ')', ';', '\n', '        ', 'initCustomActionBar', '(', ')', ';', '\n', '    ', '}', '\n']"
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,CustomViewActivity.java,initCustomActionBar,"    private void initCustomActionBar() {
        ActionBar actionBar = getActionBar();
        actionBar.setHomeButtonEnabled(false);
        actionBar.setDisplayShowHomeEnabled(false);
        actionBar.setDisplayShowTitleEnabled(false);
        actionBar.setDisplayHomeAsUpEnabled(false);
        actionBar.setDisplayShowCustomEnabled(true);
        actionBar.setCustomView(R.layout.action_bar);
        materialMenu = (MaterialMenuView) actionBar.getCustomView().findViewById(R.id.action_bar_menu);
        materialMenu.setOnClickListener(this);
    }",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    private void initCustomActionBar() {
        ActionBar actionBar = getActionBar();
        actionBar.setHomeButtonEnabled(false);
        actionBar.setDisplayShowHomeEnabled(false);
        actionBar.setDisplayShowTitleEnabled(false);
        actionBar.setDisplayHomeAsUpEnabled(false);
        actionBar.setDisplayShowCustomEnabled(true);
        actionBar.setCustomView(R.layout.action_bar);
        materialMenu = (MaterialMenuView) actionBar.getCustomView().findViewById(R.id.action_bar_menu);
        materialMenu.setOnClickListener(this);
    }
","['    ', 'private', ' ', 'void', ' ', 'initCustomActionBar', '(', ')', ' ', '{', '\n', '        ', 'ActionBar', ' ', 'actionBar', ' ', '=', ' ', 'getActionBar', '(', ')', ';', '\n', '        ', 'actionBar', '.', 'setHomeButtonEnabled', '(', 'false', ')', ';', '\n', '        ', 'actionBar', '.', 'setDisplayShowHomeEnabled', '(', 'false', ')', ';', '\n', '        ', 'actionBar', '.', 'setDisplayShowTitleEnabled', '(', 'false', ')', ';', '\n', '        ', 'actionBar', '.', 'setDisplayHomeAsUpEnabled', '(', 'false', ')', ';', '\n', '        ', 'actionBar', '.', 'setDisplayShowCustomEnabled', '(', 'true', ')', ';', '\n', '        ', 'actionBar', '.', 'setCustomView', '(', 'R', '.', 'layout', '.', 'action_bar', ')', ';', '\n', '        ', 'materialMenu', ' ', '=', ' ', '(', 'MaterialMenuView', ')', ' ', 'actionBar', '.', 'getCustomView', '(', ')', '.', 'findViewById', '(', 'R', '.', 'id', '.', 'action_bar_menu', ')', ';', '\n', '        ', 'materialMenu', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '    ', '}', '\n']"
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,CustomViewActivity.java,onCreateOptionsMenu,"    public boolean onCreateOptionsMenu(Menu menu) {
        getMenuInflater().inflate(R.menu.custom_view, menu);
        return true;
    }",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    public boolean onCreateOptionsMenu(Menu menu) {
        getMenuInflater().inflate(R.menu.custom_view, menu);
        return true;
    }
","['    ', 'public', ' ', 'boolean', ' ', 'onCreateOptionsMenu', '(', 'Menu', ' ', 'menu', ')', ' ', '{', '\n', '        ', 'getMenuInflater', '(', ')', '.', 'inflate', '(', 'R', '.', 'menu', '.', 'custom_view', ',', ' ', 'menu', ')', ';', '\n', '        ', 'return', ' ', 'true', ';', '\n', '    ', '}', '\n']"
master,fc3f64d4e0d64f7cf2dccb68db65b5421a962695,CustomViewActivity.java,onOptionsItemSelected,"    public boolean onOptionsItemSelected(MenuItem item) {
        int id = item.getItemId();
        if (id == R.id.action_settings) {
            startActivity(new Intent(this, HomeIconActivity.class));
            finish();
            return true;
        }
        return super.onOptionsItemSelected(item);
    }",https://www.github.com/balysv/material-menu/commit/fc3f64d4e0d64f7cf2dccb68db65b5421a962695,"    public boolean onOptionsItemSelected(MenuItem item) {
        int id = item.getItemId();
        if (id == R.id.action_settings) {
            startActivity(new Intent(this, HomeIconActivity.class));
            finish();
            return true;
        }
        return super.onOptionsItemSelected(item);
    }
","['    ', 'public', ' ', 'boolean', ' ', 'onOptionsItemSelected', '(', 'MenuItem', ' ', 'item', ')', ' ', '{', '\n', '        ', 'int', ' ', 'id', ' ', '=', ' ', 'item', '.', 'getItemId', '(', ')', ';', '\n', '        ', 'if', ' ', '(', 'id', ' ', '=', '=', ' ', 'R', '.', 'id', '.', 'action_settings', ')', ' ', '{', '\n', '            ', 'startActivity', '(', 'new', ' ', 'Intent', '(', 'this', ',', ' ', 'HomeIconActivity', '.', 'class', ')', ')', ';', '\n', '            ', 'finish', '(', ')', ';', '\n', '            ', 'return', ' ', 'true', ';', '\n', '        ', '}', '\n', '        ', 'return', ' ', 'super', '.', 'onOptionsItemSelected', '(', 'item', ')', ';', '\n', '    ', '}', '\n']"
