Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,3484cad632a9a39bff70ba7d43f20456ba706369,DemoActivity.java,onCreate,"    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.demo);
        findViewById(R.id.ripple_layout_1).setOnClickListener(this);
        findViewById(R.id.ripple_layout_2).setOnClickListener(this);
        findViewById(R.id.ripple_layout_3).setOnClickListener(this);
    }",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.demo);
        findViewById(R.id.ripple_layout_1).setOnClickListener(this);
        findViewById(R.id.ripple_layout_2).setOnClickListener(this);
        findViewById(R.id.ripple_layout_3).setOnClickListener(this);
    }
","['    ', 'protected', ' ', 'void', ' ', 'onCreate', '(', 'Bundle', ' ', 'savedInstanceState', ')', ' ', '{', '\n', '        ', 'super', '.', 'onCreate', '(', 'savedInstanceState', ')', ';', '\n', '        ', 'setContentView', '(', 'R', '.', 'layout', '.', 'demo', ')', ';', '\n', '        ', 'findViewById', '(', 'R', '.', 'id', '.', 'ripple_layout_1', ')', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '        ', 'findViewById', '(', 'R', '.', 'id', '.', 'ripple_layout_2', ')', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '        ', 'findViewById', '(', 'R', '.', 'id', '.', 'ripple_layout_3', ')', '.', 'setOnClickListener', '(', 'this', ')', ';', '\n', '    ', '}', '\n']"
master,3484cad632a9a39bff70ba7d43f20456ba706369,MaterialRippleLayout.java,onTouchEvent,"    public boolean onTouchEvent(MotionEvent event) {
        eventX = event.getX();
        eventY = event.getY();

        boolean actionUpDetected = event.getActionMasked() == MotionEvent.ACTION_UP;
        boolean actionCancelDetected = event.getActionMasked() == MotionEvent.ACTION_CANCEL;
        boolean actionDownDetected = event.getActionMasked() == MotionEvent.ACTION_DOWN;
        boolean actionMoveDetected = event.getActionMasked() == MotionEvent.ACTION_MOVE;
        boolean isEventInBounds = bounds.contains((int) eventX, (int) eventY);

        if (gestureDetector.onTouchEvent(event)) {
            startRipple();
        } else if (actionUpDetected) {
            if (isEventInBounds) {
                startRipple();
            } else {
                setRadius(0);
            }
        } else if (actionCancelDetected) {
            setRadius(0);
        } else if (rippleHover) {
            if (actionDownDetected) {
                startHover();
            } else if (actionMoveDetected) {
                setRadius(isEventInBounds ? rippleDiameter : 0);
            }
        }
        return true;
    }",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"    public boolean onTouchEvent(MotionEvent event) {
        eventX = event.getX();
        eventY = event.getY();

        boolean actionUpDetected = event.getActionMasked() == MotionEvent.ACTION_UP;
        boolean actionCancelDetected = event.getActionMasked() == MotionEvent.ACTION_CANCEL;
        boolean actionDownDetected = event.getActionMasked() == MotionEvent.ACTION_DOWN;
        boolean actionMoveDetected = event.getActionMasked() == MotionEvent.ACTION_MOVE;
        boolean isEventInBounds = bounds.contains((int) eventX, (int) eventY);

        if (gestureDetector.onTouchEvent(event)) {
            startRipple();
        } else if (actionUpDetected) {
            if (isEventInBounds) {
                startRipple();
            } else {
                setRadius(0);
            }
        } else if (actionCancelDetected) {
            setRadius(0);
        } else if (rippleHover) {
            if (actionDownDetected) {
                startHover();
            } else if (actionMoveDetected) {
                setRadius(isEventInBounds ? rippleDiameter : 0);
            }
        }
        return true;
    }
","['    ', 'public', ' ', 'boolean', ' ', 'onTouchEvent', '(', 'MotionEvent', ' ', 'event', ')', ' ', '{', '\n', '        ', 'eventX', ' ', '=', ' ', 'event', '.', 'getX', '(', ')', ';', '\n', '        ', 'eventY', ' ', '=', ' ', 'event', '.', 'getY', '(', ')', ';', '\n', '\n', '        ', 'boolean', ' ', 'actionUpDetected', ' ', '=', ' ', 'event', '.', 'getActionMasked', '(', ')', ' ', '=', '=', ' ', 'MotionEvent', '.', 'ACTION_UP', ';', '\n', '        ', 'boolean', ' ', 'actionCancelDetected', ' ', '=', ' ', 'event', '.', 'getActionMasked', '(', ')', ' ', '=', '=', ' ', 'MotionEvent', '.', 'ACTION_CANCEL', ';', '\n', '        ', 'boolean', ' ', 'actionDownDetected', ' ', '=', ' ', 'event', '.', 'getActionMasked', '(', ')', ' ', '=', '=', ' ', 'MotionEvent', '.', 'ACTION_DOWN', ';', '\n', '        ', 'boolean', ' ', 'actionMoveDetected', ' ', '=', ' ', 'event', '.', 'getActionMasked', '(', ')', ' ', '=', '=', ' ', 'MotionEvent', '.', 'ACTION_MOVE', ';', '\n', '        ', 'boolean', ' ', 'isEventInBounds', ' ', '=', ' ', 'bounds', '.', 'contains', '(', '(', 'int', ')', ' ', 'eventX', ',', ' ', '(', 'int', ')', ' ', 'eventY', ')', ';', '\n', '\n', '        ', 'if', ' ', '(', 'gestureDetector', '.', 'onTouchEvent', '(', 'event', ')', ')', ' ', '{', '\n', '            ', 'startRipple', '(', ')', ';', '\n', '        ', '}', ' ', 'else', ' ', 'if', ' ', '(', 'actionUpDetected', ')', ' ', '{', '\n', '            ', 'if', ' ', '(', 'isEventInBounds', ')', ' ', '{', '\n', '                ', 'startRipple', '(', ')', ';', '\n', '            ', '}', ' ', 'else', ' ', '{', '\n', '                ', 'setRadius', '(', '0', ')', ';', '\n', '            ', '}', '\n', '        ', '}', ' ', 'else', ' ', 'if', ' ', '(', 'actionCancelDetected', ')', ' ', '{', '\n', '            ', 'setRadius', '(', '0', ')', ';', '\n', '        ', '}', ' ', 'else', ' ', 'if', ' ', '(', 'rippleHover', ')', ' ', '{', '\n', '            ', 'if', ' ', '(', 'actionDownDetected', ')', ' ', '{', '\n', '                ', 'startHover', '(', ')', ';', '\n', '            ', '}', ' ', 'else', ' ', 'if', ' ', '(', 'actionMoveDetected', ')', ' ', '{', '\n', '                ', 'setRadius', '(', 'isEventInBounds', ' ', '?', ' ', 'rippleDiameter', ' ', ':', ' ', '0', ')', ';', '\n', '            ', '}', '\n', '        ', '}', '\n', '        ', 'return', ' ', 'true', ';', '\n', '    ', '}', '\n']"
master,3484cad632a9a39bff70ba7d43f20456ba706369,MaterialRippleLayout.java,startHover,"    private void startHover() {
        if (hoverAnimator != null) {
            hoverAnimator.cancel();
        }
        hoverAnimator = ObjectAnimator.ofFloat(this, radiusProperty, 0, rippleDiameter)
            .setDuration(HOVER_DURATION);
        hoverAnimator.setInterpolator(new AccelerateInterpolator());
        hoverAnimator.start();
    }",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"    private void startHover() {
        if (hoverAnimator != null) {
            hoverAnimator.cancel();
        }
        hoverAnimator = ObjectAnimator.ofFloat(this, radiusProperty, 0, rippleDiameter)
            .setDuration(HOVER_DURATION);
        hoverAnimator.setInterpolator(new AccelerateInterpolator());
        hoverAnimator.start();
    }
","['    ', 'private', ' ', 'void', ' ', 'startHover', '(', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'hoverAnimator', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'hoverAnimator', '.', 'cancel', '(', ')', ';', '\n', '        ', '}', '\n', '        ', 'hoverAnimator', ' ', '=', ' ', 'ObjectAnimator', '.', 'ofFloat', '(', 'this', ',', ' ', 'radiusProperty', ',', ' ', '0', ',', ' ', 'rippleDiameter', ')', '\n', '            ', '.', 'setDuration', '(', 'HOVER_DURATION', ')', ';', '\n', '        ', 'hoverAnimator', '.', 'setInterpolator', '(', 'new', ' ', 'AccelerateInterpolator', '(', ')', ')', ';', '\n', '        ', 'hoverAnimator', '.', 'start', '(', ')', ';', '\n', '    ', '}', '\n']"
master,3484cad632a9a39bff70ba7d43f20456ba706369,MaterialRippleLayout.java,startRipple,"    private void startRipple() {
        if (childView != null && childClickListener != null) {
            childClickListener.onClick(childView);
        }

        final int width = getWidth();
        final int height = getHeight();

        final int halfWidth = width / 2;
        final int halfHeight = height / 2;

        final float radiusX = halfWidth > eventX ? width - eventX : eventX;
        final float radiusY = halfHeight > eventY ? height - eventY : eventY;

        float endRadius = (float) Math.sqrt(Math.pow(radiusX, 2) + Math.pow(radiusY, 2)) * 1.2f;

        if (rippleAnimator != null) {
            rippleAnimator.cancel();
        }

        if (hoverAnimator != null) {
            hoverAnimator.cancel();
        }

        rippleAnimator = new AnimatorSet();
        rippleAnimator.addListener(new AnimatorListenerAdapter() {
            @Override public void onAnimationEnd(Animator animation) {
                setRadius(0);
                setRippleAlpha(rippleAlpha);
            }
        });

        ObjectAnimator ripple = ObjectAnimator.ofFloat(this, radiusProperty, radius, endRadius);
        ripple.setDuration(rippleDuration);
        ripple.setInterpolator(new DecelerateInterpolator());
        ObjectAnimator fade = ObjectAnimator.ofInt(this, circleAlphaProperty, rippleAlpha, 0);
        fade.setDuration(FADE_DURATION);
        fade.setInterpolator(new AccelerateInterpolator());
        fade.setStartDelay(rippleDuration - FADE_DURATION - FADE_EXTRA_DELAY);

        rippleAnimator.playTogether(ripple, fade);
        rippleAnimator.start();
    }",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"    private void startRipple() {
        if (childView != null && childClickListener != null) {
            childClickListener.onClick(childView);
        }

        final int width = getWidth();
        final int height = getHeight();

        final int halfWidth = width / 2;
        final int halfHeight = height / 2;

        final float radiusX = halfWidth > eventX ? width - eventX : eventX;
        final float radiusY = halfHeight > eventY ? height - eventY : eventY;

        float endRadius = (float) Math.sqrt(Math.pow(radiusX, 2) + Math.pow(radiusY, 2)) * 1.2f;

        if (rippleAnimator != null) {
            rippleAnimator.cancel();
        }

        if (hoverAnimator != null) {
            hoverAnimator.cancel();
        }

        rippleAnimator = new AnimatorSet();
        rippleAnimator.addListener(new AnimatorListenerAdapter() {
            @Override public void onAnimationEnd(Animator animation) {
                setRadius(0);
                setRippleAlpha(rippleAlpha);
            }
        });

        ObjectAnimator ripple = ObjectAnimator.ofFloat(this, radiusProperty, radius, endRadius);
        ripple.setDuration(rippleDuration);
        ripple.setInterpolator(new DecelerateInterpolator());
        ObjectAnimator fade = ObjectAnimator.ofInt(this, circleAlphaProperty, rippleAlpha, 0);
        fade.setDuration(FADE_DURATION);
        fade.setInterpolator(new AccelerateInterpolator());
        fade.setStartDelay(rippleDuration - FADE_DURATION - FADE_EXTRA_DELAY);

        rippleAnimator.playTogether(ripple, fade);
        rippleAnimator.start();
    }
","['    ', 'private', ' ', 'void', ' ', 'startRipple', '(', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'childView', ' ', '!', '=', ' ', 'null', ' ', '&', '&', ' ', 'childClickListener', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'childClickListener', '.', 'onClick', '(', 'childView', ')', ';', '\n', '        ', '}', '\n', '\n', '        ', 'final', ' ', 'int', ' ', 'width', ' ', '=', ' ', 'getWidth', '(', ')', ';', '\n', '        ', 'final', ' ', 'int', ' ', 'height', ' ', '=', ' ', 'getHeight', '(', ')', ';', '\n', '\n', '        ', 'final', ' ', 'int', ' ', 'halfWidth', ' ', '=', ' ', 'width', ' ', '/', ' ', '2', ';', '\n', '        ', 'final', ' ', 'int', ' ', 'halfHeight', ' ', '=', ' ', 'height', ' ', '/', ' ', '2', ';', '\n', '\n', '        ', 'final', ' ', 'float', ' ', 'radiusX', ' ', '=', ' ', 'halfWidth', ' ', '>', ' ', 'eventX', ' ', '?', ' ', 'width', ' ', '-', ' ', 'eventX', ' ', ':', ' ', 'eventX', ';', '\n', '        ', 'final', ' ', 'float', ' ', 'radiusY', ' ', '=', ' ', 'halfHeight', ' ', '>', ' ', 'eventY', ' ', '?', ' ', 'height', ' ', '-', ' ', 'eventY', ' ', ':', ' ', 'eventY', ';', '\n', '\n', '        ', 'float', ' ', 'endRadius', ' ', '=', ' ', '(', 'float', ')', ' ', 'Math', '.', 'sqrt', '(', 'Math', '.', 'pow', '(', 'radiusX', ',', ' ', '2', ')', ' ', '+', ' ', 'Math', '.', 'pow', '(', 'radiusY', ',', ' ', '2', ')', ')', ' ', '*', ' ', '1.2f', ';', '\n', '\n', '        ', 'if', ' ', '(', 'rippleAnimator', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'rippleAnimator', '.', 'cancel', '(', ')', ';', '\n', '        ', '}', '\n', '\n', '        ', 'if', ' ', '(', 'hoverAnimator', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'hoverAnimator', '.', 'cancel', '(', ')', ';', '\n', '        ', '}', '\n', '\n', '        ', 'rippleAnimator', ' ', '=', ' ', 'new', ' ', 'AnimatorSet', '(', ')', ';', '\n', '        ', 'rippleAnimator', '.', 'addListener', '(', 'new', ' ', 'AnimatorListenerAdapter', '(', ')', ' ', '{', '\n', '            ', '@Override', ' ', 'public', ' ', 'void', ' ', 'onAnimationEnd', '(', 'Animator', ' ', 'animation', ')', ' ', '{', '\n', '                ', 'setRadius', '(', '0', ')', ';', '\n', '                ', 'setRippleAlpha', '(', 'rippleAlpha', ')', ';', '\n', '            ', '}', '\n', '        ', '}', ')', ';', '\n', '\n', '        ', 'ObjectAnimator', ' ', 'ripple', ' ', '=', ' ', 'ObjectAnimator', '.', 'ofFloat', '(', 'this', ',', ' ', 'radiusProperty', ',', ' ', 'radius', ',', ' ', 'endRadius', ')', ';', '\n', '        ', 'ripple', '.', 'setDuration', '(', 'rippleDuration', ')', ';', '\n', '        ', 'ripple', '.', 'setInterpolator', '(', 'new', ' ', 'DecelerateInterpolator', '(', ')', ')', ';', '\n', '        ', 'ObjectAnimator', ' ', 'fade', ' ', '=', ' ', 'ObjectAnimator', '.', 'ofInt', '(', 'this', ',', ' ', 'circleAlphaProperty', ',', ' ', 'rippleAlpha', ',', ' ', '0', ')', ';', '\n', '        ', 'fade', '.', 'setDuration', '(', 'FADE_DURATION', ')', ';', '\n', '        ', 'fade', '.', 'setInterpolator', '(', 'new', ' ', 'AccelerateInterpolator', '(', ')', ')', ';', '\n', '        ', 'fade', '.', 'setStartDelay', '(', 'rippleDuration', ' ', '-', ' ', 'FADE_DURATION', ' ', '-', ' ', 'FADE_EXTRA_DELAY', ')', ';', '\n', '\n', '        ', 'rippleAnimator', '.', 'playTogether', '(', 'ripple', ',', ' ', 'fade', ')', ';', '\n', '        ', 'rippleAnimator', '.', 'start', '(', ')', ';', '\n', '    ', '}', '\n']"
master,3484cad632a9a39bff70ba7d43f20456ba706369,MaterialRippleLayout.java,onAnimationEnd,"            @Override public void onAnimationEnd(Animator animation) {
                setRadius(0);
                setRippleAlpha(rippleAlpha);
            }",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"            @Override public void onAnimationEnd(Animator animation) {
                setRadius(0);
                setRippleAlpha(rippleAlpha);
            }
","['            ', '@Override', ' ', 'public', ' ', 'void', ' ', 'onAnimationEnd', '(', 'Animator', ' ', 'animation', ')', ' ', '{', '\n', '                ', 'setRadius', '(', '0', ')', ';', '\n', '                ', 'setRippleAlpha', '(', 'rippleAlpha', ')', ';', '\n', '            ', '}', '\n']"
master,3484cad632a9a39bff70ba7d43f20456ba706369,MaterialRippleLayout.java,onSizeChanged,"    protected void onSizeChanged(int w, int h, int oldw, int oldh) {
        super.onSizeChanged(w, h, oldw, oldh);
        bounds.set(0, 0, w, h);
        rippleBackground.setBounds(bounds);
    }",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"    protected void onSizeChanged(int w, int h, int oldw, int oldh) {
        super.onSizeChanged(w, h, oldw, oldh);
        bounds.set(0, 0, w, h);
        rippleBackground.setBounds(bounds);
    }
","['    ', 'protected', ' ', 'void', ' ', 'onSizeChanged', '(', 'int', ' ', 'w', ',', ' ', 'int', ' ', 'h', ',', ' ', 'int', ' ', 'oldw', ',', ' ', 'int', ' ', 'oldh', ')', ' ', '{', '\n', '        ', 'super', '.', 'onSizeChanged', '(', 'w', ',', ' ', 'h', ',', ' ', 'oldw', ',', ' ', 'oldh', ')', ';', '\n', '        ', 'bounds', '.', 'set', '(', '0', ',', ' ', '0', ',', ' ', 'w', ',', ' ', 'h', ')', ';', '\n', '        ', 'rippleBackground', '.', 'setBounds', '(', 'bounds', ')', ';', '\n', '    ', '}', '\n']"
master,3484cad632a9a39bff70ba7d43f20456ba706369,MaterialRippleLayout.java,draw,"    public void draw(Canvas canvas) {
        if (rippleOverlay) {
            rippleBackground.draw(canvas);",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"    public void draw(Canvas canvas) {
        if (rippleOverlay) {
            rippleBackground.draw(canvas);
","['    ', 'public', ' ', 'void', ' ', 'draw', '(', 'Canvas', ' ', 'canvas', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'rippleOverlay', ')', ' ', '{', '\n', '            ', 'rippleBackground', '.', 'draw', '(', 'canvas', ')', ';', '\n']"
master,3484cad632a9a39bff70ba7d43f20456ba706369,MaterialRippleLayout.java,get,"        public Float get(MaterialRippleLayout object) {
            return object.getRadius();
        }",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"        public Float get(MaterialRippleLayout object) {
            return object.getRadius();
        }
","['        ', 'public', ' ', 'Float', ' ', 'get', '(', 'MaterialRippleLayout', ' ', 'object', ')', ' ', '{', '\n', '            ', 'return', ' ', 'object', '.', 'getRadius', '(', ')', ';', '\n', '        ', '}', '\n']"
master,3484cad632a9a39bff70ba7d43f20456ba706369,MaterialRippleLayout.java,set,"        public void set(MaterialRippleLayout object, Float value) {
            object.setRadius(value);
        }",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"        public void set(MaterialRippleLayout object, Float value) {
            object.setRadius(value);
        }
","['        ', 'public', ' ', 'void', ' ', 'set', '(', 'MaterialRippleLayout', ' ', 'object', ',', ' ', 'Float', ' ', 'value', ')', ' ', '{', '\n', '            ', 'object', '.', 'setRadius', '(', 'value', ')', ';', '\n', '        ', '}', '\n']"
master,3484cad632a9a39bff70ba7d43f20456ba706369,MaterialRippleLayout.java,get,"        public Integer get(MaterialRippleLayout object) {
            return object.getRippleAlpha();
        }",https://www.github.com/balysv/material-ripple/commit/3484cad632a9a39bff70ba7d43f20456ba706369,"        public Integer get(MaterialRippleLayout object) {
            return object.getRippleAlpha();
        }
","['        ', 'public', ' ', 'Integer', ' ', 'get', '(', 'MaterialRippleLayout', ' ', 'object', ')', ' ', '{', '\n', '            ', 'return', ' ', 'object', '.', 'getRippleAlpha', '(', ')', ';', '\n', '        ', '}', '\n']"
