Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,fb2841581ff2a912771ce92e4f8ee1e8602fdcaf,ExampleInstrumentedTest.java,useAppContext,"    public void useAppContext() {
        // Context of the app under test.
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""com.example.bluetoothplugin"", appContext.getPackageName());
    }",https://www.github.com/bentalebahmed/BlueUnity/commit/fb2841581ff2a912771ce92e4f8ee1e8602fdcaf,"    public void useAppContext() {
        
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""com.example.bluetoothplugin"", appContext.getPackageName());
    }
","['    ', 'public', ' ', 'void', ' ', 'useAppContext', '(', ')', ' ', '{', '\n', '        ', '\n', '        ', 'Context', ' ', 'appContext', ' ', '=', ' ', 'InstrumentationRegistry', '.', 'getTargetContext', '(', ')', ';', '\n', '\n', '        ', 'assertEquals', '(', '""', 'com.example.bluetoothplugin', '""', ',', ' ', 'appContext', '.', 'getPackageName', '(', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,fb2841581ff2a912771ce92e4f8ee1e8602fdcaf,ExampleUnitTest.java,addition_isCorrect,"    public void addition_isCorrect() {
        assertEquals(4, 2 + 2);
    }",https://www.github.com/bentalebahmed/BlueUnity/commit/fb2841581ff2a912771ce92e4f8ee1e8602fdcaf,"    public void addition_isCorrect() {
        assertEquals(4, 2 + 2);
    }
","['    ', 'public', ' ', 'void', ' ', 'addition_isCorrect', '(', ')', ' ', '{', '\n', '        ', 'assertEquals', '(', '4', ',', ' ', '2', ' ', '+', ' ', '2', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,88efabb34dc6043ef7e7e83f878b690c41335c4d,BluetoothConnector.java,GetBluetoothDevices,"    public String[] GetBluetoothDevices(){
        try{
            devices_true.clear();",https://www.github.com/bentalebahmed/BlueUnity/commit/88efabb34dc6043ef7e7e83f878b690c41335c4d,"    public String[] GetBluetoothDevices(){
        try{
            devices_true.clear();
","['    ', 'public', ' ', 'String', '[', ']', ' ', 'GetBluetoothDevices', '(', ')', '{', '\n', '        ', 'try', '{', '\n', '            ', 'devices_true', '.', 'clear', '(', ')', ';', '\n', '<END>']"
master,88efabb34dc6043ef7e7e83f878b690c41335c4d,BluetoothConnector.java,StartBluetoothConnection,"    public String StartBluetoothConnection(String DeviceName){
        try{
            devices_true.clear();",https://www.github.com/bentalebahmed/BlueUnity/commit/88efabb34dc6043ef7e7e83f878b690c41335c4d,"    public String StartBluetoothConnection(String DeviceName){
        try{
            devices_true.clear();
","['    ', 'public', ' ', 'String', ' ', 'StartBluetoothConnection', '(', 'String', ' ', 'DeviceName', ')', '{', '\n', '        ', 'try', '{', '\n', '            ', 'devices_true', '.', 'clear', '(', ')', ';', '\n', '<END>']"
master,88efabb34dc6043ef7e7e83f878b690c41335c4d,BluetoothConnector.java,ReadData,"    public String ReadData(){

        try {
            if(inputStream.available() > 0){",https://www.github.com/bentalebahmed/BlueUnity/commit/88efabb34dc6043ef7e7e83f878b690c41335c4d,"    public String ReadData(){

        try {
            if(inputStream.available() > 0){
","['    ', 'public', ' ', 'String', ' ', 'ReadData', '(', ')', '{', '\n', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'if', '(', 'inputStream', '.', 'available', '(', ')', ' ', '>', ' ', '0', ')', '{', '\n', '<END>']"
master,88efabb34dc6043ef7e7e83f878b690c41335c4d,BluetoothConnector.java,WriteData,"    public void WriteData(String data){
        try {
            outputStream.write(data.getBytes());",https://www.github.com/bentalebahmed/BlueUnity/commit/88efabb34dc6043ef7e7e83f878b690c41335c4d,"    public void WriteData(String data){
        try {
            outputStream.write(data.getBytes());
","['    ', 'public', ' ', 'void', ' ', 'WriteData', '(', 'String', ' ', 'data', ')', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'outputStream', '.', 'write', '(', 'data', '.', 'getBytes', '(', ')', ')', ';', '\n', '<END>']"
master,88efabb34dc6043ef7e7e83f878b690c41335c4d,BluetoothConnector.java,StopBluetoothConnection,"    public void StopBluetoothConnection(){
        try {
            if(inputStream != null) inputStream.close();",https://www.github.com/bentalebahmed/BlueUnity/commit/88efabb34dc6043ef7e7e83f878b690c41335c4d,"    public void StopBluetoothConnection(){
        try {
            if(inputStream != null) inputStream.close();
","['    ', 'public', ' ', 'void', ' ', 'StopBluetoothConnection', '(', ')', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'if', '(', 'inputStream', ' ', '!', '=', ' ', 'null', ')', ' ', 'inputStream', '.', 'close', '(', ')', ';', '\n', '<END>']"
master,88efabb34dc6043ef7e7e83f878b690c41335c4d,BluetoothConnector.java,PrintOnScreen,"    public void PrintOnScreen(Context context, String info){
        Toast.makeText(context, info,Toast.LENGTH_SHORT).show();
    }",https://www.github.com/bentalebahmed/BlueUnity/commit/88efabb34dc6043ef7e7e83f878b690c41335c4d,"    public void PrintOnScreen(Context context, String info){
        Toast.makeText(context, info,Toast.LENGTH_SHORT).show();
    }
","['    ', 'public', ' ', 'void', ' ', 'PrintOnScreen', '(', 'Context', ' ', 'context', ',', ' ', 'String', ' ', 'info', ')', '{', '\n', '        ', 'Toast', '.', 'makeText', '(', 'context', ',', ' ', 'info', ',', 'Toast', '.', 'LENGTH_SHORT', ')', '.', 'show', '(', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,e865354c98e536990c0645ac08566b5d558a4a57,BluetoothConnector.java,onReceive,"            public void onReceive(Context context, Intent intent) {
                String action = intent.getAction();
                if (BluetoothDevice.ACTION_FOUND.equals(action)) {
                    BluetoothDevice device = intent.getParcelableExtra(BluetoothDevice.EXTRA_DEVICE);",https://www.github.com/bentalebahmed/BlueUnity/commit/e865354c98e536990c0645ac08566b5d558a4a57,"            public void onReceive(Context context, Intent intent) {
                String action = intent.getAction();
                if (BluetoothDevice.ACTION_FOUND.equals(action)) {
                    BluetoothDevice device = intent.getParcelableExtra(BluetoothDevice.EXTRA_DEVICE);
","['            ', 'public', ' ', 'void', ' ', 'onReceive', '(', 'Context', ' ', 'context', ',', ' ', 'Intent', ' ', 'intent', ')', ' ', '{', '\n', '                ', 'String', ' ', 'action', ' ', '=', ' ', 'intent', '.', 'getAction', '(', ')', ';', '\n', '                ', 'if', ' ', '(', 'BluetoothDevice', '.', 'ACTION_FOUND', '.', 'equals', '(', 'action', ')', ')', ' ', '{', '\n', '                    ', 'BluetoothDevice', ' ', 'device', ' ', '=', ' ', 'intent', '.', 'getParcelableExtra', '(', 'BluetoothDevice', '.', 'EXTRA_DEVICE', ')', ';', '\n', '<END>']"
master,e865354c98e536990c0645ac08566b5d558a4a57,BluetoothConnector.java,StopScanDevices,"    private static void StopScanDevices() {
        // Check if discovery is already in progress, and cancel if so
        if (mBluetoothAdapter.isDiscovering()) {
            mBluetoothAdapter.cancelDiscovery();",https://www.github.com/bentalebahmed/BlueUnity/commit/e865354c98e536990c0645ac08566b5d558a4a57,"    private static void StopScanDevices() {
        
        if (mBluetoothAdapter.isDiscovering()) {
            mBluetoothAdapter.cancelDiscovery();
","['    ', 'private', ' ', 'static', ' ', 'void', ' ', 'StopScanDevices', '(', ')', ' ', '{', '\n', '        ', '\n', '        ', 'if', ' ', '(', 'mBluetoothAdapter', '.', 'isDiscovering', '(', ')', ')', ' ', '{', '\n', '            ', 'mBluetoothAdapter', '.', 'cancelDiscovery', '(', ')', ';', '\n', '<END>']"
