Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,d7d15806a76df57a1e259e5e14da952be25119c5,SystemThemeDetector.java,isWin10,"    static boolean isWin10() {
        return System.getProperty(""os.name"").startsWith(""Windows"") &&
                Double.parseDouble(System.getProperty(""os.version"")) >= 10;",https://www.github.com/dansoftowner/jsystemthemedetector/commit/d7d15806a76df57a1e259e5e14da952be25119c5,"    static boolean isWin10() {
        return System.getProperty(""os.name"").startsWith(""Windows"") &&
                Double.parseDouble(System.getProperty(""os.version"")) >= 10;
","['    ', 'static', ' ', 'boolean', ' ', 'isWin10', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'System', '.', 'getProperty', '(', '""', 'os.name', '""', ')', '.', 'startsWith', '(', '""', 'Windows', '""', ')', ' ', '&', '&', '\n', '                ', 'Double', '.', 'parseDouble', '(', 'System', '.', 'getProperty', '(', '""', 'os.version', '""', ')', ')', ' ', '>', '=', ' ', '10', ';', '\n']"
master,d7d15806a76df57a1e259e5e14da952be25119c5,SystemThemeDetector.java,isDark,"        public boolean isDark() {
            RegistryValue registryValue = registryPath.getValue(REGISTRY_VALUE);
            if (registryValue != null) {
                byte[] byteData = registryValue.getByteData();
                if (byteData.length > 0) {
                    int value = byteData[0];
                    return value == 0;
                }
            }
            return false;
        }",https://www.github.com/dansoftowner/jsystemthemedetector/commit/d7d15806a76df57a1e259e5e14da952be25119c5,"        public boolean isDark() {
            RegistryValue registryValue = registryPath.getValue(REGISTRY_VALUE);
            if (registryValue != null) {
                byte[] byteData = registryValue.getByteData();
                if (byteData.length > 0) {
                    int value = byteData[0];
                    return value == 0;
                }
            }
            return false;
        }
","['        ', 'public', ' ', 'boolean', ' ', 'isDark', '(', ')', ' ', '{', '\n', '            ', 'RegistryValue', ' ', 'registryValue', ' ', '=', ' ', 'registryPath', '.', 'getValue', '(', 'REGISTRY_VALUE', ')', ';', '\n', '            ', 'if', ' ', '(', 'registryValue', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '                ', 'byte', '[', ']', ' ', 'byteData', ' ', '=', ' ', 'registryValue', '.', 'getByteData', '(', ')', ';', '\n', '                ', 'if', ' ', '(', 'byteData', '.', 'length', ' ', '>', ' ', '0', ')', ' ', '{', '\n', '                    ', 'int', ' ', 'value', ' ', '=', ' ', 'byteData', '[', '0', ']', ';', '\n', '                    ', 'return', ' ', 'value', ' ', '=', '=', ' ', '0', ';', '\n', '                ', '}', '\n', '            ', '}', '\n', '            ', 'return', ' ', 'false', ';', '\n', '        ', '}', '\n']"
master,d7d15806a76df57a1e259e5e14da952be25119c5,SystemThemeDetector.java,registerListener,"        public void registerListener(Consumer<Boolean> darkThemeListener) {
            RegistryListener registryListener = registryEvent -> {
                RegistryKey key = registryEvent.getKey();
                if (key.equals(registryPath)) {
                    darkThemeListener.accept(isDark());
                }
            };
            RegistryWatcher.addRegistryListener(registryListener);
            RegistryWatcher.watchKey(registryPath);
            listeners.put(darkThemeListener, registryListener);
",https://www.github.com/dansoftowner/jsystemthemedetector/commit/d7d15806a76df57a1e259e5e14da952be25119c5,"        public void registerListener(Consumer<Boolean> darkThemeListener) {
            RegistryListener registryListener = registryEvent -> {
                RegistryKey key = registryEvent.getKey();
                if (key.equals(registryPath)) {
                    darkThemeListener.accept(isDark());
                }
            };
            RegistryWatcher.addRegistryListener(registryListener);
            RegistryWatcher.watchKey(registryPath);
            listeners.put(darkThemeListener, registryListener);
","['        ', 'public', ' ', 'void', ' ', 'registerListener', '(', 'Consumer', '<', 'Boolean', '>', ' ', 'darkThemeListener', ')', ' ', '{', '\n', '            ', 'RegistryListener', ' ', 'registryListener', ' ', '=', ' ', 'registryEvent', ' ', '-', '>', ' ', '{', '\n', '                ', 'RegistryKey', ' ', 'key', ' ', '=', ' ', 'registryEvent', '.', 'getKey', '(', ')', ';', '\n', '                ', 'if', ' ', '(', 'key', '.', 'equals', '(', 'registryPath', ')', ')', ' ', '{', '\n', '                    ', 'darkThemeListener', '.', 'accept', '(', 'isDark', '(', ')', ')', ';', '\n', '                ', '}', '\n', '            ', '}', ';', '\n', '            ', 'RegistryWatcher', '.', 'addRegistryListener', '(', 'registryListener', ')', ';', '\n', '            ', 'RegistryWatcher', '.', 'watchKey', '(', 'registryPath', ')', ';', '\n', '            ', 'listeners', '.', 'put', '(', 'darkThemeListener', ',', ' ', 'registryListener', ')', ';', '\n']"
master,d7d15806a76df57a1e259e5e14da952be25119c5,SystemThemeDetector.java,removeListener,"        public void removeListener(Consumer<Boolean> darkThemeListener) {
            RegistryListener removed = listeners.remove(darkThemeListener);
            RegistryWatcher.removeRegistryListener(removed);
            if (listeners.isEmpty()) {
                RegistryWatcher.removeKey(registryPath);",https://www.github.com/dansoftowner/jsystemthemedetector/commit/d7d15806a76df57a1e259e5e14da952be25119c5,"        public void removeListener(Consumer<Boolean> darkThemeListener) {
            RegistryListener removed = listeners.remove(darkThemeListener);
            RegistryWatcher.removeRegistryListener(removed);
            if (listeners.isEmpty()) {
                RegistryWatcher.removeKey(registryPath);
","['        ', 'public', ' ', 'void', ' ', 'removeListener', '(', 'Consumer', '<', 'Boolean', '>', ' ', 'darkThemeListener', ')', ' ', '{', '\n', '            ', 'RegistryListener', ' ', 'removed', ' ', '=', ' ', 'listeners', '.', 'remove', '(', 'darkThemeListener', ')', ';', '\n', '            ', 'RegistryWatcher', '.', 'removeRegistryListener', '(', 'removed', ')', ';', '\n', '            ', 'if', ' ', '(', 'listeners', '.', 'isEmpty', '(', ')', ')', ' ', '{', '\n', '                ', 'RegistryWatcher', '.', 'removeKey', '(', 'registryPath', ')', ';', '\n']"
master,d7d15806a76df57a1e259e5e14da952be25119c5,SystemThemeDetector.java,removeAllListeners,"        public void removeAllListeners() {
            this.listeners.values().forEach(RegistryWatcher::removeRegistryListener);
            this.listeners.clear();
        }",https://www.github.com/dansoftowner/jsystemthemedetector/commit/d7d15806a76df57a1e259e5e14da952be25119c5,"        public void removeAllListeners() {
            this.listeners.values().forEach(RegistryWatcher::removeRegistryListener);
            this.listeners.clear();
        }
","['        ', 'public', ' ', 'void', ' ', 'removeAllListeners', '(', ')', ' ', '{', '\n', '            ', 'this', '.', 'listeners', '.', 'values', '(', ')', '.', 'forEach', '(', 'RegistryWatcher', ':', ':', 'removeRegistryListener', ')', ';', '\n', '            ', 'this', '.', 'listeners', '.', 'clear', '(', ')', ';', '\n', '        ', '}', '\n']"
master,d7d15806a76df57a1e259e5e14da952be25119c5,SystemThemeDetector.java,isDark,"        public boolean isDark() {
            return false;
        }",https://www.github.com/dansoftowner/jsystemthemedetector/commit/d7d15806a76df57a1e259e5e14da952be25119c5,"        public boolean isDark() {
            return false;
        }
","['        ', 'public', ' ', 'boolean', ' ', 'isDark', '(', ')', ' ', '{', '\n', '            ', 'return', ' ', 'false', ';', '\n', '        ', '}', '\n']"
master,d7d15806a76df57a1e259e5e14da952be25119c5,SystemThemeDetector.java,registerListener,"        public void registerListener(Consumer<Boolean> darkThemeListener) {
        }

        @Override
        public void removeListener(Consumer<Boolean> darkThemeListener) {
        }

        @Override
        public void removeAllListeners() {
        }
    }

}",https://www.github.com/dansoftowner/jsystemthemedetector/commit/d7d15806a76df57a1e259e5e14da952be25119c5,"        public void registerListener(Consumer<Boolean> darkThemeListener) {
        }

        @Override
        public void removeListener(Consumer<Boolean> darkThemeListener) {
        }

        @Override
        public void removeAllListeners() {
        }
    }

}
","['        ', 'public', ' ', 'void', ' ', 'registerListener', '(', 'Consumer', '<', 'Boolean', '>', ' ', 'darkThemeListener', ')', ' ', '{', '\n', '        ', '}', '\n', '\n', '        ', '@Override', '\n', '        ', 'public', ' ', 'void', ' ', 'removeListener', '(', 'Consumer', '<', 'Boolean', '>', ' ', 'darkThemeListener', ')', ' ', '{', '\n', '        ', '}', '\n', '\n', '        ', '@Override', '\n', '        ', 'public', ' ', 'void', ' ', 'removeAllListeners', '(', ')', ' ', '{', '\n', '        ', '}', '\n', '    ', '}', '\n', '\n', '}', '\n']"
master,d7d15806a76df57a1e259e5e14da952be25119c5,SystemThemeDetector.java,removeListener,"        public void removeListener(Consumer<Boolean> darkThemeListener) {
        }

        @Override
        public void removeAllListeners() {
        }
    }

}",https://www.github.com/dansoftowner/jsystemthemedetector/commit/d7d15806a76df57a1e259e5e14da952be25119c5,"        public void removeListener(Consumer<Boolean> darkThemeListener) {
        }

        @Override
        public void removeAllListeners() {
        }
    }

}
","['        ', 'public', ' ', 'void', ' ', 'removeListener', '(', 'Consumer', '<', 'Boolean', '>', ' ', 'darkThemeListener', ')', ' ', '{', '\n', '        ', '}', '\n', '\n', '        ', '@Override', '\n', '        ', 'public', ' ', 'void', ' ', 'removeAllListeners', '(', ')', ' ', '{', '\n', '        ', '}', '\n', '    ', '}', '\n', '\n', '}', '\n']"
master,d7d15806a76df57a1e259e5e14da952be25119c5,Demo.java,main,"    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.println(""Watching system theme change:"");
        SystemThemeDetector detector = SystemThemeDetector.getDetector();
        detector.registerListener(isDark -> System.out.println(isDark ? ""It's just switched to DARK"" : ""It's just switched to LIGHT""));
        while(true) {
            String line = scanner.nextLine();",https://www.github.com/dansoftowner/jsystemthemedetector/commit/d7d15806a76df57a1e259e5e14da952be25119c5,"    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.println(""Watching system theme change:"");
        SystemThemeDetector detector = SystemThemeDetector.getDetector();
        detector.registerListener(isDark -> System.out.println(isDark ? ""It's just switched to DARK"" : ""It's just switched to LIGHT""));
        while(true) {
            String line = scanner.nextLine();
","['    ', 'public', ' ', 'static', ' ', 'void', ' ', 'main', '(', 'String', '[', ']', ' ', 'args', ')', ' ', '{', '\n', '        ', 'Scanner', ' ', 'scanner', ' ', '=', ' ', 'new', ' ', 'Scanner', '(', 'System', '.', 'in', ')', ';', '\n', '        ', 'System', '.', 'out', '.', 'println', '(', '""', 'Watching system theme change:', '""', ')', ';', '\n', '        ', 'SystemThemeDetector', ' ', 'detector', ' ', '=', ' ', 'SystemThemeDetector', '.', 'getDetector', '(', ')', ';', '\n', '        ', 'detector', '.', 'registerListener', '(', 'isDark', ' ', '-', '>', ' ', 'System', '.', 'out', '.', 'println', '(', 'isDark', ' ', '?', ' ', '""', ""It's just switched to DARK"", '""', ' ', ':', ' ', '""', ""It's just switched to LIGHT"", '""', ')', ')', ';', '\n', '        ', 'while', '(', 'true', ')', ' ', '{', '\n', '            ', 'String', ' ', 'line', ' ', '=', ' ', 'scanner', '.', 'nextLine', '(', ')', ';', '\n']"
master,985d1f21fbf752c040aec740c4346989a71da9e5,SystemThemeDetector.java,isDark,"        public boolean isDark() {
            try {
                return Advapi32Util.registryValueExists(WinReg.HKEY_CURRENT_USER, REGISTRY_PATH, REGISTRY_VALUE) &&",https://www.github.com/dansoftowner/jsystemthemedetector/commit/985d1f21fbf752c040aec740c4346989a71da9e5,"        public boolean isDark() {
            try {
                return Advapi32Util.registryValueExists(WinReg.HKEY_CURRENT_USER, REGISTRY_PATH, REGISTRY_VALUE) &&
","['        ', 'public', ' ', 'boolean', ' ', 'isDark', '(', ')', ' ', '{', '\n', '            ', 'try', ' ', '{', '\n', '                ', 'return', ' ', 'Advapi32Util', '.', 'registryValueExists', '(', 'WinReg', '.', 'HKEY_CURRENT_USER', ',', ' ', 'REGISTRY_PATH', ',', ' ', 'REGISTRY_VALUE', ')', ' ', '&', '&', '\n']"
