Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,c29fbac926a3e55752dfe653095bb492fca92016,AppE.java,getTokenizerProperties,"    public static Properties getTokenizerProperties() throws IOException {
        final Properties properties = new Properties();
        properties.load(AppE.class.getResourceAsStream(""/vi-tokenizer.properties""));
        Enumeration e = properties.propertyNames();
        final Properties tokenizerProperties = new Properties();
        for (; e.hasMoreElements(); ) {
            final Object key = e.nextElement();
            final String value = String.valueOf(properties.get(key));
           tokenizerProperties.put(key, AppE.class.getResource(value).getFile());
        }
        return tokenizerProperties;
    }",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"    public static Properties getTokenizerProperties() throws IOException {
        final Properties properties = new Properties();
        properties.load(AppE.class.getResourceAsStream(""/vi-tokenizer.properties""));
        Enumeration e = properties.propertyNames();
        final Properties tokenizerProperties = new Properties();
        for (; e.hasMoreElements(); ) {
            final Object key = e.nextElement();
            final String value = String.valueOf(properties.get(key));
           tokenizerProperties.put(key, AppE.class.getResource(value).getFile());
        }
        return tokenizerProperties;
    }
","['    ', 'public', ' ', 'static', ' ', 'Properties', ' ', 'getTokenizerProperties', '(', ')', ' ', 'throws', ' ', 'IOException', ' ', '{', '\n', '        ', 'final', ' ', 'Properties', ' ', 'properties', ' ', '=', ' ', 'new', ' ', 'Properties', '(', ')', ';', '\n', '        ', 'properties', '.', 'load', '(', 'AppE', '.', 'class', '.', 'getResourceAsStream', '(', '""', '/vi-tokenizer.properties', '""', ')', ')', ';', '\n', '        ', 'Enumeration', ' ', 'e', ' ', '=', ' ', 'properties', '.', 'propertyNames', '(', ')', ';', '\n', '        ', 'final', ' ', 'Properties', ' ', 'tokenizerProperties', ' ', '=', ' ', 'new', ' ', 'Properties', '(', ')', ';', '\n', '        ', 'for', ' ', '(', ';', ' ', 'e', '.', 'hasMoreElements', '(', ')', ';', ' ', ')', ' ', '{', '\n', '            ', 'final', ' ', 'Object', ' ', 'key', ' ', '=', ' ', 'e', '.', 'nextElement', '(', ')', ';', '\n', '            ', 'final', ' ', 'String', ' ', 'value', ' ', '=', ' ', 'String', '.', 'valueOf', '(', 'properties', '.', 'get', '(', 'key', ')', ')', ';', '\n', '           ', 'tokenizerProperties', '.', 'put', '(', 'key', ',', ' ', 'AppE', '.', 'class', '.', 'getResource', '(', 'value', ')', '.', 'getFile', '(', ')', ')', ';', '\n', '        ', '}', '\n', '        ', 'return', ' ', 'tokenizerProperties', ';', '\n', '    ', '}', '\n']"
master,c29fbac926a3e55752dfe653095bb492fca92016,AppE.java,extractWords,"    static void extractWords(String target, BreakIterator wordIterator) {

        wordIterator.setText(target);
        int start = wordIterator.first();
        int end = wordIterator.next();

        while (end != BreakIterator.DONE) {
            String word = target.substring(start,end);",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"    static void extractWords(String target, BreakIterator wordIterator) {

        wordIterator.setText(target);
        int start = wordIterator.first();
        int end = wordIterator.next();

        while (end != BreakIterator.DONE) {
            String word = target.substring(start,end);
","['    ', 'static', ' ', 'void', ' ', 'extractWords', '(', 'String', ' ', 'target', ',', ' ', 'BreakIterator', ' ', 'wordIterator', ')', ' ', '{', '\n', '\n', '        ', 'wordIterator', '.', 'setText', '(', 'target', ')', ';', '\n', '        ', 'int', ' ', 'start', ' ', '=', ' ', 'wordIterator', '.', 'first', '(', ')', ';', '\n', '        ', 'int', ' ', 'end', ' ', '=', ' ', 'wordIterator', '.', 'next', '(', ')', ';', '\n', '\n', '        ', 'while', ' ', '(', 'end', ' ', '!', '=', ' ', 'BreakIterator', '.', 'DONE', ')', ' ', '{', '\n', '            ', 'String', ' ', 'word', ' ', '=', ' ', 'target', '.', 'substring', '(', 'start', ',', 'end', ')', ';', '\n']"
master,c29fbac926a3e55752dfe653095bb492fca92016,VietnameseAnalysisBinderProcessor.java,processAnalyzers,"    public void processAnalyzers(AnalyzersBindings analyzersBindings) {
        analyzersBindings.processAnalyzer(""vi_analyzer"", VietnameseAnalyzerProvider.class);
    }",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"    public void processAnalyzers(AnalyzersBindings analyzersBindings) {
        analyzersBindings.processAnalyzer(""vi_analyzer"", VietnameseAnalyzerProvider.class);
    }
","['    ', 'public', ' ', 'void', ' ', 'processAnalyzers', '(', 'AnalyzersBindings', ' ', 'analyzersBindings', ')', ' ', '{', '\n', '        ', 'analyzersBindings', '.', 'processAnalyzer', '(', '""', 'vi_analyzer', '""', ',', ' ', 'VietnameseAnalyzerProvider', '.', 'class', ')', ';', '\n', '    ', '}', '\n']"
master,c29fbac926a3e55752dfe653095bb492fca92016,VietnameseAnalysisBinderProcessor.java,processTokenizers,"    public void processTokenizers(TokenizersBindings tokenizersBindings) {
        tokenizersBindings.processTokenizer(""vi_tokenizer"", VietnameseTokenizerFactory.class);
    }",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"    public void processTokenizers(TokenizersBindings tokenizersBindings) {
        tokenizersBindings.processTokenizer(""vi_tokenizer"", VietnameseTokenizerFactory.class);
    }
","['    ', 'public', ' ', 'void', ' ', 'processTokenizers', '(', 'TokenizersBindings', ' ', 'tokenizersBindings', ')', ' ', '{', '\n', '        ', 'tokenizersBindings', '.', 'processTokenizer', '(', '""', 'vi_tokenizer', '""', ',', ' ', 'VietnameseTokenizerFactory', '.', 'class', ')', ';', '\n', '    ', '}', '\n']"
master,c29fbac926a3e55752dfe653095bb492fca92016,VietnameseAnalyzerProvider.java,get,"    public VietnameseAnalyzer get() {
        return analyzer;
    }",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"    public VietnameseAnalyzer get() {
        return analyzer;
    }
","['    ', 'public', ' ', 'VietnameseAnalyzer', ' ', 'get', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'analyzer', ';', '\n', '    ', '}', '\n']"
master,c29fbac926a3e55752dfe653095bb492fca92016,VietnameseTokenizerFactory.java,create,"    public Tokenizer create(Reader reader) {
        return new VietnameseTokenizer(reader);
    }",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"    public Tokenizer create(Reader reader) {
        return new VietnameseTokenizer(reader);
    }
","['    ', 'public', ' ', 'Tokenizer', ' ', 'create', '(', 'Reader', ' ', 'reader', ')', ' ', '{', '\n', '        ', 'return', ' ', 'new', ' ', 'VietnameseTokenizer', '(', 'reader', ')', ';', '\n', '    ', '}', '\n']"
master,c29fbac926a3e55752dfe653095bb492fca92016,VietnameseIndicesAnalysis.java,name,"                    public String name() {
                        return ""vi_tokenizer"";
                    }",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"                    public String name() {
                        return ""vi_tokenizer"";
                    }
","['                    ', 'public', ' ', 'String', ' ', 'name', '(', ')', ' ', '{', '\n', '                        ', 'return', ' ', '""', 'vi_tokenizer', '""', ';', '\n', '                    ', '}', '\n']"
master,c29fbac926a3e55752dfe653095bb492fca92016,VietnameseIndicesAnalysis.java,create,"                    public Tokenizer create(Reader reader) {
                        return new VietnameseTokenizer(reader);
                    }",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"                    public Tokenizer create(Reader reader) {
                        return new VietnameseTokenizer(reader);
                    }
","['                    ', 'public', ' ', 'Tokenizer', ' ', 'create', '(', 'Reader', ' ', 'reader', ')', ' ', '{', '\n', '                        ', 'return', ' ', 'new', ' ', 'VietnameseTokenizer', '(', 'reader', ')', ';', '\n', '                    ', '}', '\n']"
master,c29fbac926a3e55752dfe653095bb492fca92016,VietnameseIndicesModule.java,configure,"    protected void configure() {
        bind(VietnameseIndicesAnalysis.class).asEagerSingleton();
    }",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"    protected void configure() {
        bind(VietnameseIndicesAnalysis.class).asEagerSingleton();
    }
","['    ', 'protected', ' ', 'void', ' ', 'configure', '(', ')', ' ', '{', '\n', '        ', 'bind', '(', 'VietnameseIndicesAnalysis', '.', 'class', ')', '.', 'asEagerSingleton', '(', ')', ';', '\n', '    ', '}', '\n']"
master,c29fbac926a3e55752dfe653095bb492fca92016,AnalysisVietnamesePlugin.java,name,"    public String name() {
        return ""analysis-vietnamese"";
    }",https://www.github.com/duydo/elasticsearch-analysis-vietnamese/commit/c29fbac926a3e55752dfe653095bb492fca92016,"    public String name() {
        return ""analysis-vietnamese"";
    }
","['    ', 'public', ' ', 'String', ' ', 'name', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', '""', 'analysis-vietnamese', '""', ';', '\n', '    ', '}', '\n']"
