Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,2af516cd89e00b7a806d7baeb28b869ec05ef329,ChatgptAutoConfiguration.java,chatgptService,"    public ChatgptService chatgptService(){
        return new DefaultChatgptService(chatgptProperties);
    }",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/2af516cd89e00b7a806d7baeb28b869ec05ef329,"    public ChatgptService chatgptService(){
        return new DefaultChatgptService(chatgptProperties);
    }
","['    ', 'public', ' ', 'ChatgptService', ' ', 'chatgptService', '(', ')', '{', '\n', '        ', 'return', ' ', 'new', ' ', 'DefaultChatgptService', '(', 'chatgptProperties', ')', ';', '\n', '    ', '}', '\n']"
master,2af516cd89e00b7a806d7baeb28b869ec05ef329,ChatgptService.java,sendMessage,"    String sendMessage(String message);

    ChatResponse sendChatRequest(ChatRequest request);

}",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/2af516cd89e00b7a806d7baeb28b869ec05ef329,"    String sendMessage(String message);

    ChatResponse sendChatRequest(ChatRequest request);

}
","['    ', 'String', ' ', 'sendMessage', '(', 'String', ' ', 'message', ')', ';', '\n', '\n', '    ', 'ChatResponse', ' ', 'sendChatRequest', '(', 'ChatRequest', ' ', 'request', ')', ';', '\n', '\n', '}', '\n']"
master,2af516cd89e00b7a806d7baeb28b869ec05ef329,ChatgptService.java,sendChatRequest,"    ChatResponse sendChatRequest(ChatRequest request);

}",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/2af516cd89e00b7a806d7baeb28b869ec05ef329,"    ChatResponse sendChatRequest(ChatRequest request);

}
","['    ', 'ChatResponse', ' ', 'sendChatRequest', '(', 'ChatRequest', ' ', 'request', ')', ';', '\n', '\n', '}', '\n']"
master,2af516cd89e00b7a806d7baeb28b869ec05ef329,DefaultChatgptService.java,sendMessage,"    public String sendMessage(String message) {
        ChatRequest chatRequest = new ChatRequest(chatgptProperties.getModel(), message,
                chatgptProperties.getMaxTokens(), chatgptProperties.getTemperature(), chatgptProperties.getTopP());
        ChatResponse chatResponse = this.getResponse(this.buildHttpEntity(chatRequest));
        try {
            return chatResponse.getChoices().get(0).getText();",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/2af516cd89e00b7a806d7baeb28b869ec05ef329,"    public String sendMessage(String message) {
        ChatRequest chatRequest = new ChatRequest(chatgptProperties.getModel(), message,
                chatgptProperties.getMaxTokens(), chatgptProperties.getTemperature(), chatgptProperties.getTopP());
        ChatResponse chatResponse = this.getResponse(this.buildHttpEntity(chatRequest));
        try {
            return chatResponse.getChoices().get(0).getText();
","['    ', 'public', ' ', 'String', ' ', 'sendMessage', '(', 'String', ' ', 'message', ')', ' ', '{', '\n', '        ', 'ChatRequest', ' ', 'chatRequest', ' ', '=', ' ', 'new', ' ', 'ChatRequest', '(', 'chatgptProperties', '.', 'getModel', '(', ')', ',', ' ', 'message', ',', '\n', '                ', 'chatgptProperties', '.', 'getMaxTokens', '(', ')', ',', ' ', 'chatgptProperties', '.', 'getTemperature', '(', ')', ',', ' ', 'chatgptProperties', '.', 'getTopP', '(', ')', ')', ';', '\n', '        ', 'ChatResponse', ' ', 'chatResponse', ' ', '=', ' ', 'this', '.', 'getResponse', '(', 'this', '.', 'buildHttpEntity', '(', 'chatRequest', ')', ')', ';', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'return', ' ', 'chatResponse', '.', 'getChoices', '(', ')', '.', 'get', '(', '0', ')', '.', 'getText', '(', ')', ';', '\n']"
master,2af516cd89e00b7a806d7baeb28b869ec05ef329,DefaultChatgptService.java,sendChatRequest,"    public ChatResponse sendChatRequest(ChatRequest chatRequest) {
        return this.getResponse(this.buildHttpEntity(chatRequest));
    }",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/2af516cd89e00b7a806d7baeb28b869ec05ef329,"    public ChatResponse sendChatRequest(ChatRequest chatRequest) {
        return this.getResponse(this.buildHttpEntity(chatRequest));
    }
","['    ', 'public', ' ', 'ChatResponse', ' ', 'sendChatRequest', '(', 'ChatRequest', ' ', 'chatRequest', ')', ' ', '{', '\n', '        ', 'return', ' ', 'this', '.', 'getResponse', '(', 'this', '.', 'buildHttpEntity', '(', 'chatRequest', ')', ')', ';', '\n', '    ', '}', '\n']"
master,2af516cd89e00b7a806d7baeb28b869ec05ef329,DefaultChatgptService.java,buildHttpEntity,"    public HttpEntity<ChatRequest> buildHttpEntity(ChatRequest chatRequest) {
        HttpHeaders headers = new HttpHeaders();
        headers.setContentType(MediaType.parseMediaType(""application/json; charset=UTF-8""));
        headers.add(""Authorization"", AUTHORIZATION);
        return new HttpEntity<>(chatRequest, headers);
    }",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/2af516cd89e00b7a806d7baeb28b869ec05ef329,"    public HttpEntity<ChatRequest> buildHttpEntity(ChatRequest chatRequest) {
        HttpHeaders headers = new HttpHeaders();
        headers.setContentType(MediaType.parseMediaType(""application/json; charset=UTF-8""));
        headers.add(""Authorization"", AUTHORIZATION);
        return new HttpEntity<>(chatRequest, headers);
    }
","['    ', 'public', ' ', 'HttpEntity', '<', 'ChatRequest', '>', ' ', 'buildHttpEntity', '(', 'ChatRequest', ' ', 'chatRequest', ')', ' ', '{', '\n', '        ', 'HttpHeaders', ' ', 'headers', ' ', '=', ' ', 'new', ' ', 'HttpHeaders', '(', ')', ';', '\n', '        ', 'headers', '.', 'setContentType', '(', 'MediaType', '.', 'parseMediaType', '(', '""', 'application/json; charset=UTF-8', '""', ')', ')', ';', '\n', '        ', 'headers', '.', 'add', '(', '""', 'Authorization', '""', ',', ' ', 'AUTHORIZATION', ')', ';', '\n', '        ', 'return', ' ', 'new', ' ', 'HttpEntity', '<', '>', '(', 'chatRequest', ',', ' ', 'headers', ')', ';', '\n', '    ', '}', '\n']"
master,1523178d865784ad3a509283f58f19ae29b07130,ChatgptService.java,sendMessage,"    String sendMessage(String message);

    ChatResponse sendChatRequest(ChatRequest request);

    String multiChat(List<MultiChatMessage> messages);

    MultiChatResponse multiChatRequest(MultiChatRequest multiChatRequest);
}",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/1523178d865784ad3a509283f58f19ae29b07130,"    String sendMessage(String message);

    ChatResponse sendChatRequest(ChatRequest request);

    String multiChat(List<MultiChatMessage> messages);

    MultiChatResponse multiChatRequest(MultiChatRequest multiChatRequest);
}
","['    ', 'String', ' ', 'sendMessage', '(', 'String', ' ', 'message', ')', ';', '\n', '\n', '    ', 'ChatResponse', ' ', 'sendChatRequest', '(', 'ChatRequest', ' ', 'request', ')', ';', '\n', '\n', '    ', 'String', ' ', 'multiChat', '(', 'List', '<', 'MultiChatMessage', '>', ' ', 'messages', ')', ';', '\n', '\n', '    ', 'MultiChatResponse', ' ', 'multiChatRequest', '(', 'MultiChatRequest', ' ', 'multiChatRequest', ')', ';', '\n', '}', '\n']"
master,1523178d865784ad3a509283f58f19ae29b07130,ChatgptService.java,sendChatRequest,"    ChatResponse sendChatRequest(ChatRequest request);

    String multiChat(List<MultiChatMessage> messages);

    MultiChatResponse multiChatRequest(MultiChatRequest multiChatRequest);
}",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/1523178d865784ad3a509283f58f19ae29b07130,"    ChatResponse sendChatRequest(ChatRequest request);

    String multiChat(List<MultiChatMessage> messages);

    MultiChatResponse multiChatRequest(MultiChatRequest multiChatRequest);
}
","['    ', 'ChatResponse', ' ', 'sendChatRequest', '(', 'ChatRequest', ' ', 'request', ')', ';', '\n', '\n', '    ', 'String', ' ', 'multiChat', '(', 'List', '<', 'MultiChatMessage', '>', ' ', 'messages', ')', ';', '\n', '\n', '    ', 'MultiChatResponse', ' ', 'multiChatRequest', '(', 'MultiChatRequest', ' ', 'multiChatRequest', ')', ';', '\n', '}', '\n']"
master,1523178d865784ad3a509283f58f19ae29b07130,ChatgptService.java,multiChat,"    String multiChat(List<MultiChatMessage> messages);

    MultiChatResponse multiChatRequest(MultiChatRequest multiChatRequest);
}",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/1523178d865784ad3a509283f58f19ae29b07130,"    String multiChat(List<MultiChatMessage> messages);

    MultiChatResponse multiChatRequest(MultiChatRequest multiChatRequest);
}
","['    ', 'String', ' ', 'multiChat', '(', 'List', '<', 'MultiChatMessage', '>', ' ', 'messages', ')', ';', '\n', '\n', '    ', 'MultiChatResponse', ' ', 'multiChatRequest', '(', 'MultiChatRequest', ' ', 'multiChatRequest', ')', ';', '\n', '}', '\n']"
master,1523178d865784ad3a509283f58f19ae29b07130,ChatgptService.java,multiChatRequest,"    MultiChatResponse multiChatRequest(MultiChatRequest multiChatRequest);
}",https://www.github.com/flashvayne/chatgpt-spring-boot-starter/commit/1523178d865784ad3a509283f58f19ae29b07130,"    MultiChatResponse multiChatRequest(MultiChatRequest multiChatRequest);
}
","['    ', 'MultiChatResponse', ' ', 'multiChatRequest', '(', 'MultiChatRequest', ' ', 'multiChatRequest', ')', ';', '\n', '}', '\n']"
