Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,init,"    public void init(FilterConfig filterConfig) throws ServletException {
        this.filterConfig = filterConfig;
    }",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"    public void init(FilterConfig filterConfig) throws ServletException {
        this.filterConfig = filterConfig;
    }
","['    ', 'public', ' ', 'void', ' ', 'init', '(', 'FilterConfig', ' ', 'filterConfig', ')', ' ', 'throws', ' ', 'ServletException', ' ', '{', '\n', '        ', 'this', '.', 'filterConfig', ' ', '=', ' ', 'filterConfig', ';', '\n', '    ', '}', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,getPrerenderedPageResponse,"    private ResponseResult getPrerenderedPageResponse(HttpServletRequest request) throws IOException {
        final String apiUrl = getApiUrl(request.getRequestURI());
        final HttpClient httpClient = new HttpClient();
        final GetMethod getMethod = new GetMethod(apiUrl);
        setConfig(httpClient);
        setHttpHeader(getMethod);
        final int code = httpClient.executeMethod(getMethod);
        String body = new String(getMethod.getResponseBodyAsString().getBytes(""utf-8""));
        return new ResponseResult(code, body);
    }",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"    private ResponseResult getPrerenderedPageResponse(HttpServletRequest request) throws IOException {
        final String apiUrl = getApiUrl(request.getRequestURI());
        final HttpClient httpClient = new HttpClient();
        final GetMethod getMethod = new GetMethod(apiUrl);
        setConfig(httpClient);
        setHttpHeader(getMethod);
        final int code = httpClient.executeMethod(getMethod);
        String body = new String(getMethod.getResponseBodyAsString().getBytes(""utf-8""));
        return new ResponseResult(code, body);
    }
","['    ', 'private', ' ', 'ResponseResult', ' ', 'getPrerenderedPageResponse', '(', 'HttpServletRequest', ' ', 'request', ')', ' ', 'throws', ' ', 'IOException', ' ', '{', '\n', '        ', 'final', ' ', 'String', ' ', 'apiUrl', ' ', '=', ' ', 'getApiUrl', '(', 'request', '.', 'getRequestURI', '(', ')', ')', ';', '\n', '        ', 'final', ' ', 'HttpClient', ' ', 'httpClient', ' ', '=', ' ', 'new', ' ', 'HttpClient', '(', ')', ';', '\n', '        ', 'final', ' ', 'GetMethod', ' ', 'getMethod', ' ', '=', ' ', 'new', ' ', 'GetMethod', '(', 'apiUrl', ')', ';', '\n', '        ', 'setConfig', '(', 'httpClient', ')', ';', '\n', '        ', 'setHttpHeader', '(', 'getMethod', ')', ';', '\n', '        ', 'final', ' ', 'int', ' ', 'code', ' ', '=', ' ', 'httpClient', '.', 'executeMethod', '(', 'getMethod', ')', ';', '\n', '        ', 'String', ' ', 'body', ' ', '=', ' ', 'new', ' ', 'String', '(', 'getMethod', '.', 'getResponseBodyAsString', '(', ')', '.', 'getBytes', '(', '""', 'utf-8', '""', ')', ')', ';', '\n', '        ', 'return', ' ', 'new', ' ', 'ResponseResult', '(', 'code', ',', ' ', 'body', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,shouldShowPrerenderedPage,"    private boolean shouldShowPrerenderedPage(HttpServletRequest request) throws URISyntaxException {
        final String useAgent = request.getHeader(""User-Agent"");
        final String url = request.getRequestURI();
        final String referer = request.getHeader(""Referer"");

        if (hasEscapedFragment(request)) {
            return true;
        }

        if (StringUtils.isBlank(useAgent) || !isGetMethod(request.getMethod()) || !isInSearchUserAgent(useAgent) || isInResources(url)
                || !isInWhiteList(url) || isInBlackList(url, referer)) {
            return false;
        }

        return true;
    }",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"    private boolean shouldShowPrerenderedPage(HttpServletRequest request) throws URISyntaxException {
        final String useAgent = request.getHeader(""User-Agent"");
        final String url = request.getRequestURI();
        final String referer = request.getHeader(""Referer"");

        if (hasEscapedFragment(request)) {
            return true;
        }

        if (StringUtils.isBlank(useAgent) || !isGetMethod(request.getMethod()) || !isInSearchUserAgent(useAgent) || isInResources(url)
                || !isInWhiteList(url) || isInBlackList(url, referer)) {
            return false;
        }

        return true;
    }
","['    ', 'private', ' ', 'boolean', ' ', 'shouldShowPrerenderedPage', '(', 'HttpServletRequest', ' ', 'request', ')', ' ', 'throws', ' ', 'URISyntaxException', ' ', '{', '\n', '        ', 'final', ' ', 'String', ' ', 'useAgent', ' ', '=', ' ', 'request', '.', 'getHeader', '(', '""', 'User-Agent', '""', ')', ';', '\n', '        ', 'final', ' ', 'String', ' ', 'url', ' ', '=', ' ', 'request', '.', 'getRequestURI', '(', ')', ';', '\n', '        ', 'final', ' ', 'String', ' ', 'referer', ' ', '=', ' ', 'request', '.', 'getHeader', '(', '""', 'Referer', '""', ')', ';', '\n', '\n', '        ', 'if', ' ', '(', 'hasEscapedFragment', '(', 'request', ')', ')', ' ', '{', '\n', '            ', 'return', ' ', 'true', ';', '\n', '        ', '}', '\n', '\n', '        ', 'if', ' ', '(', 'StringUtils', '.', 'isBlank', '(', 'useAgent', ')', ' ', '|', '|', ' ', '!', 'isGetMethod', '(', 'request', '.', 'getMethod', '(', ')', ')', ' ', '|', '|', ' ', '!', 'isInSearchUserAgent', '(', 'useAgent', ')', ' ', '|', '|', ' ', 'isInResources', '(', 'url', ')', '\n', '                ', '|', '|', ' ', '!', 'isInWhiteList', '(', 'url', ')', ' ', '|', '|', ' ', 'isInBlackList', '(', 'url', ',', ' ', 'referer', ')', ')', ' ', '{', '\n', '            ', 'return', ' ', 'false', ';', '\n', '        ', '}', '\n', '\n', '        ', 'return', ' ', 'true', ';', '\n', '    ', '}', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,hasEscapedFragment,"    private boolean hasEscapedFragment(HttpServletRequest request) {
        return StringUtils.isBlank(request.getParameter(""_escaped_fragment_""));
    }",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"    private boolean hasEscapedFragment(HttpServletRequest request) {
        return StringUtils.isBlank(request.getParameter(""_escaped_fragment_""));
    }
","['    ', 'private', ' ', 'boolean', ' ', 'hasEscapedFragment', '(', 'HttpServletRequest', ' ', 'request', ')', ' ', '{', '\n', '        ', 'return', ' ', 'StringUtils', '.', 'isBlank', '(', 'request', '.', 'getParameter', '(', '""', '_escaped_fragment_', '""', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,isGetMethod,"    private boolean isGetMethod(String method) {
        return method.equalsIgnoreCase(""GET"");
    }",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"    private boolean isGetMethod(String method) {
        return method.equalsIgnoreCase(""GET"");
    }
","['    ', 'private', ' ', 'boolean', ' ', 'isGetMethod', '(', 'String', ' ', 'method', ')', ' ', '{', '\n', '        ', 'return', ' ', 'method', '.', 'equalsIgnoreCase', '(', '""', 'GET', '""', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,isInBlackList,"    private boolean isInBlackList(final String url, final String referer) {
        final List<String> blacklist = getBlacklist();

        return blacklist != null && from(blacklist).anyMatch(new Predicate<String>() {
            @Override",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"    private boolean isInBlackList(final String url, final String referer) {
        final List<String> blacklist = getBlacklist();

        return blacklist != null && from(blacklist).anyMatch(new Predicate<String>() {
            @Override
","['    ', 'private', ' ', 'boolean', ' ', 'isInBlackList', '(', 'final', ' ', 'String', ' ', 'url', ',', ' ', 'final', ' ', 'String', ' ', 'referer', ')', ' ', '{', '\n', '        ', 'final', ' ', 'List', '<', 'String', '>', ' ', 'blacklist', ' ', '=', ' ', 'getBlacklist', '(', ')', ';', '\n', '\n', '        ', 'return', ' ', 'blacklist', ' ', '!', '=', ' ', 'null', ' ', '&', '&', ' ', 'from', '(', 'blacklist', ')', '.', 'anyMatch', '(', 'new', ' ', 'Predicate', '<', 'String', '>', '(', ')', ' ', '{', '\n', '            ', '@Override', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,apply,"            public boolean apply(String regex) {
                final Pattern pattern = Pattern.compile(regex);
                return pattern.matcher(url).matches() ||
                        (!StringUtils.isBlank(referer) && pattern.matcher(referer).matches());",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"            public boolean apply(String regex) {
                final Pattern pattern = Pattern.compile(regex);
                return pattern.matcher(url).matches() ||
                        (!StringUtils.isBlank(referer) && pattern.matcher(referer).matches());
","['            ', 'public', ' ', 'boolean', ' ', 'apply', '(', 'String', ' ', 'regex', ')', ' ', '{', '\n', '                ', 'final', ' ', 'Pattern', ' ', 'pattern', ' ', '=', ' ', 'Pattern', '.', 'compile', '(', 'regex', ')', ';', '\n', '                ', 'return', ' ', 'pattern', '.', 'matcher', '(', 'url', ')', '.', 'matches', '(', ')', ' ', '|', '|', '\n', '                        ', '(', '!', 'StringUtils', '.', 'isBlank', '(', 'referer', ')', ' ', '&', '&', ' ', 'pattern', '.', 'matcher', '(', 'referer', ')', '.', 'matches', '(', ')', ')', ';', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,isInWhiteList,"    private boolean isInWhiteList(final String url) {
        final List<String> whitelist = getWhitelist();
        return whitelist == null || from(whitelist).anyMatch(new Predicate<String>() {
            @Override",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"    private boolean isInWhiteList(final String url) {
        final List<String> whitelist = getWhitelist();
        return whitelist == null || from(whitelist).anyMatch(new Predicate<String>() {
            @Override
","['    ', 'private', ' ', 'boolean', ' ', 'isInWhiteList', '(', 'final', ' ', 'String', ' ', 'url', ')', ' ', '{', '\n', '        ', 'final', ' ', 'List', '<', 'String', '>', ' ', 'whitelist', ' ', '=', ' ', 'getWhitelist', '(', ')', ';', '\n', '        ', 'return', ' ', 'whitelist', ' ', '=', '=', ' ', 'null', ' ', '|', '|', ' ', 'from', '(', 'whitelist', ')', '.', 'anyMatch', '(', 'new', ' ', 'Predicate', '<', 'String', '>', '(', ')', ' ', '{', '\n', '            ', '@Override', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,apply,"            public boolean apply(String regex) {
                return Pattern.compile(regex).matcher(url).matches();
            }",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"            public boolean apply(String regex) {
                return Pattern.compile(regex).matcher(url).matches();
            }
","['            ', 'public', ' ', 'boolean', ' ', 'apply', '(', 'String', ' ', 'regex', ')', ' ', '{', '\n', '                ', 'return', ' ', 'Pattern', '.', 'compile', '(', 'regex', ')', '.', 'matcher', '(', 'url', ')', '.', 'matches', '(', ')', ';', '\n', '            ', '}', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,apply,"            public boolean apply(String item) {
                return url.contains(item.toLowerCase());
            }",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"            public boolean apply(String item) {
                return url.contains(item.toLowerCase());
            }
","['            ', 'public', ' ', 'boolean', ' ', 'apply', '(', 'String', ' ', 'item', ')', ' ', '{', '\n', '                ', 'return', ' ', 'url', '.', 'contains', '(', 'item', '.', 'toLowerCase', '(', ')', ')', ';', '\n', '            ', '}', '\n', '<END>']"
master,4f792e32636f5b5c974b723dd0ba5be922251085,PreRenderSEOFilter.java,apply,"            public boolean apply(String item) {
                return item.equalsIgnoreCase(useAgent);
            }",https://www.github.com/greengerong/prerender-java/commit/4f792e32636f5b5c974b723dd0ba5be922251085,"            public boolean apply(String item) {
                return item.equalsIgnoreCase(useAgent);
            }
","['            ', 'public', ' ', 'boolean', ' ', 'apply', '(', 'String', ' ', 'item', ')', ' ', '{', '\n', '                ', 'return', ' ', 'item', '.', 'equalsIgnoreCase', '(', 'useAgent', ')', ';', '\n', '            ', '}', '\n', '<END>']"
