Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,4930f594e040e7c3f1ceefe77dabbd9647331d89,TelegramAlertModule.java,configure,"    protected void configure() {
        addAlarmCallback(TelegramAlertNotification.class);
    }",https://www.github.com/irgendwr/telegramalert/commit/4930f594e040e7c3f1ceefe77dabbd9647331d89,"    protected void configure() {
        addAlarmCallback(TelegramAlertNotification.class);
    }
","['    ', 'protected', ' ', 'void', ' ', 'configure', '(', ')', ' ', '{', '\n', '        ', 'addAlarmCallback', '(', 'TelegramAlertNotification', '.', 'class', ')', ';', '\n', '    ', '}', '\n']"
master,4930f594e040e7c3f1ceefe77dabbd9647331d89,TelegramAlertNotification.java,initialize,"    public void initialize(Configuration cfg) throws AlarmCallbackConfigurationException {
        this.cfg = cfg;
        log = Logger.getLogger(""TelegramAlert"");
        String logPath = cfg.getString(LOG_FILE);
        
        if (!logPath.isEmpty()) {
	        try {
	        	FileHandler handler = new FileHandler(logPath, true);
	            log.addHandler(handler);
	            handler.setFormatter(new SimpleFormatter());
	        } catch (IOException | SecurityException ex) {
	            ex.printStackTrace();
	        }
        }
        
        log.info(""Alert was initialized successfully"");
    }",https://www.github.com/irgendwr/telegramalert/commit/4930f594e040e7c3f1ceefe77dabbd9647331d89,"    public void initialize(Configuration cfg) throws AlarmCallbackConfigurationException {
        this.cfg = cfg;
        log = Logger.getLogger(""TelegramAlert"");
        String logPath = cfg.getString(LOG_FILE);
        
        if (!logPath.isEmpty()) {
	        try {
	        	FileHandler handler = new FileHandler(logPath, true);
	            log.addHandler(handler);
	            handler.setFormatter(new SimpleFormatter());
	        } catch (IOException | SecurityException ex) {
	            ex.printStackTrace();
	        }
        }
        
        log.info(""Alert was initialized successfully"");
    }
","['    ', 'public', ' ', 'void', ' ', 'initialize', '(', 'Configuration', ' ', 'cfg', ')', ' ', 'throws', ' ', 'AlarmCallbackConfigurationException', ' ', '{', '\n', '        ', 'this', '.', 'cfg', ' ', '=', ' ', 'cfg', ';', '\n', '        ', 'log', ' ', '=', ' ', 'Logger', '.', 'getLogger', '(', '""', 'TelegramAlert', '""', ')', ';', '\n', '        ', 'String', ' ', 'logPath', ' ', '=', ' ', 'cfg', '.', 'getString', '(', 'LOG_FILE', ')', ';', '\n', '        ', '\n', '        ', 'if', ' ', '(', '!', 'logPath', '.', 'isEmpty', '(', ')', ')', ' ', '{', '\n', '\t        ', 'try', ' ', '{', '\n', '\t        \t', 'FileHandler', ' ', 'handler', ' ', '=', ' ', 'new', ' ', 'FileHandler', '(', 'logPath', ',', ' ', 'true', ')', ';', '\n', '\t            ', 'log', '.', 'addHandler', '(', 'handler', ')', ';', '\n', '\t            ', 'handler', '.', 'setFormatter', '(', 'new', ' ', 'SimpleFormatter', '(', ')', ')', ';', '\n', '\t        ', '}', ' ', 'catch', ' ', '(', 'IOException', ' ', '|', ' ', 'SecurityException', ' ', 'ex', ')', ' ', '{', '\n', '\t            ', 'ex', '.', 'printStackTrace', '(', ')', ';', '\n', '\t        ', '}', '\n', '        ', '}', '\n', '        ', '\n', '        ', 'log', '.', 'info', '(', '""', 'Alert was initialized successfully', '""', ')', ';', '\n', '    ', '}', '\n']"
master,4930f594e040e7c3f1ceefe77dabbd9647331d89,TelegramAlertNotification.java,createRequestMsg,"    private String createRequestMsg(Stream stream, AlertCondition.CheckResult checkResult) {
        String description = checkResult.getResultDescription();
        String title = stream.getTitle();
        if (title != null) {
            description = description.replace(""Stream"", title);
		}
		description = description.replace(""\"""", ""'"");
		List<String> backlog = getAlarmBacklog(checkResult);
		StringBuilder sb = new StringBuilder(""\"""");
		sb.append(description);
		sb.append("":\\n"");
        for (String message : backlog) {
			String msg = message.replace(""\"""", ""'"");
            sb.append(msg);
            sb.append(""\\n"");
        }
		sb.append(""\"""");
		return sb.toString();
    }",https://www.github.com/irgendwr/telegramalert/commit/4930f594e040e7c3f1ceefe77dabbd9647331d89,"    private String createRequestMsg(Stream stream, AlertCondition.CheckResult checkResult) {
        String description = checkResult.getResultDescription();
        String title = stream.getTitle();
        if (title != null) {
            description = description.replace(""Stream"", title);
		}
		description = description.replace(""\"""", ""'"");
		List<String> backlog = getAlarmBacklog(checkResult);
		StringBuilder sb = new StringBuilder(""\"""");
		sb.append(description);
		sb.append("":\\n"");
        for (String message : backlog) {
			String msg = message.replace(""\"""", ""'"");
            sb.append(msg);
            sb.append(""\\n"");
        }
		sb.append(""\"""");
		return sb.toString();
    }
","['    ', 'private', ' ', 'String', ' ', 'createRequestMsg', '(', 'Stream', ' ', 'stream', ',', ' ', 'AlertCondition', '.', 'CheckResult', ' ', 'checkResult', ')', ' ', '{', '\n', '        ', 'String', ' ', 'description', ' ', '=', ' ', 'checkResult', '.', 'getResultDescription', '(', ')', ';', '\n', '        ', 'String', ' ', 'title', ' ', '=', ' ', 'stream', '.', 'getTitle', '(', ')', ';', '\n', '        ', 'if', ' ', '(', 'title', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'description', ' ', '=', ' ', 'description', '.', 'replace', '(', '""', 'Stream', '""', ',', ' ', 'title', ')', ';', '\n', '\t\t', '}', '\n', '\t\t', 'description', ' ', '=', ' ', 'description', '.', 'replace', '(', '""', '\\""', '""', ',', ' ', '""', ""'"", '""', ')', ';', '\n', '\t\t', 'List', '<', 'String', '>', ' ', 'backlog', ' ', '=', ' ', 'getAlarmBacklog', '(', 'checkResult', ')', ';', '\n', '\t\t', 'StringBuilder', ' ', 'sb', ' ', '=', ' ', 'new', ' ', 'StringBuilder', '(', '""', '\\""', '""', ')', ';', '\n', '\t\t', 'sb', '.', 'append', '(', 'description', ')', ';', '\n', '\t\t', 'sb', '.', 'append', '(', '""', ':', '\\\\', 'n', '""', ')', ';', '\n', '        ', 'for', ' ', '(', 'String', ' ', 'message', ' ', ':', ' ', 'backlog', ')', ' ', '{', '\n', '\t\t\t', 'String', ' ', 'msg', ' ', '=', ' ', 'message', '.', 'replace', '(', '""', '\\""', '""', ',', ' ', '""', ""'"", '""', ')', ';', '\n', '            ', 'sb', '.', 'append', '(', 'msg', ')', ';', '\n', '            ', 'sb', '.', 'append', '(', '""', '\\\\', 'n', '""', ')', ';', '\n', '        ', '}', '\n', '\t\t', 'sb', '.', 'append', '(', '""', '\\""', '""', ')', ';', '\n', '\t\t', 'return', ' ', 'sb', '.', 'toString', '(', ')', ';', '\n', '    ', '}', '\n']"
master,4930f594e040e7c3f1ceefe77dabbd9647331d89,TelegramAlertNotification.java,checkConfiguration,"    public void checkConfiguration() throws ConfigurationException {
        if (!cfg.stringIsSet(TOKEN)) {
            throw new ConfigurationException(""Token is not set."");
        }

        if (!cfg.stringIsSet(CHAT)) {
            throw new ConfigurationException(""Chat ID is not set."");",https://www.github.com/irgendwr/telegramalert/commit/4930f594e040e7c3f1ceefe77dabbd9647331d89,"    public void checkConfiguration() throws ConfigurationException {
        if (!cfg.stringIsSet(TOKEN)) {
            throw new ConfigurationException(""Token is not set."");
        }

        if (!cfg.stringIsSet(CHAT)) {
            throw new ConfigurationException(""Chat ID is not set."");
","['    ', 'public', ' ', 'void', ' ', 'checkConfiguration', '(', ')', ' ', 'throws', ' ', 'ConfigurationException', ' ', '{', '\n', '        ', 'if', ' ', '(', '!', 'cfg', '.', 'stringIsSet', '(', 'TOKEN', ')', ')', ' ', '{', '\n', '            ', 'throw', ' ', 'new', ' ', 'ConfigurationException', '(', '""', 'Token is not set.', '""', ')', ';', '\n', '        ', '}', '\n', '\n', '        ', 'if', ' ', '(', '!', 'cfg', '.', 'stringIsSet', '(', 'CHAT', ')', ')', ' ', '{', '\n', '            ', 'throw', ' ', 'new', ' ', 'ConfigurationException', '(', '""', 'Chat ID is not set.', '""', ')', ';', '\n']"
master,4930f594e040e7c3f1ceefe77dabbd9647331d89,TelegramAlertPlugin.java,metadata,"    public PluginMetaData metadata() {
        return new TelegramAlertMetaData();
    }",https://www.github.com/irgendwr/telegramalert/commit/4930f594e040e7c3f1ceefe77dabbd9647331d89,"    public PluginMetaData metadata() {
        return new TelegramAlertMetaData();
    }
","['    ', 'public', ' ', 'PluginMetaData', ' ', 'metadata', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'new', ' ', 'TelegramAlertMetaData', '(', ')', ';', '\n', '    ', '}', '\n']"
master,4930f594e040e7c3f1ceefe77dabbd9647331d89,TelegramAlertPlugin.java,modules,"    public Collection<PluginModule> modules () {
        return Collections.<PluginModule>singletonList(new TelegramAlertModule());
    }",https://www.github.com/irgendwr/telegramalert/commit/4930f594e040e7c3f1ceefe77dabbd9647331d89,"    public Collection<PluginModule> modules () {
        return Collections.<PluginModule>singletonList(new TelegramAlertModule());
    }
","['    ', 'public', ' ', 'Collection', '<', 'PluginModule', '>', ' ', 'modules', ' ', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'Collections', '.', '<', 'PluginModule', '>', 'singletonList', '(', 'new', ' ', 'TelegramAlertModule', '(', ')', ')', ';', '\n', '    ', '}', '\n']"
master,ad1dedf922a496d796a4f0924f6f7d73172d82df,Emoji.java,toString,"    public String toString() {
        StringBuilder sb = new StringBuilder();

        if (this.firstChar != null) {
            sb.append(this.firstChar);
        }
        if (this.secondChar != null) {
            sb.append(this.secondChar);
        }

        return sb.toString();
    }",https://www.github.com/irgendwr/telegramalert/commit/ad1dedf922a496d796a4f0924f6f7d73172d82df,"    public String toString() {
        StringBuilder sb = new StringBuilder();

        if (this.firstChar != null) {
            sb.append(this.firstChar);
        }
        if (this.secondChar != null) {
            sb.append(this.secondChar);
        }

        return sb.toString();
    }
","['    ', 'public', ' ', 'String', ' ', 'toString', '(', ')', ' ', '{', '\n', '        ', 'StringBuilder', ' ', 'sb', ' ', '=', ' ', 'new', ' ', 'StringBuilder', '(', ')', ';', '\n', '\n', '        ', 'if', ' ', '(', 'this', '.', 'firstChar', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'sb', '.', 'append', '(', 'this', '.', 'firstChar', ')', ';', '\n', '        ', '}', '\n', '        ', 'if', ' ', '(', 'this', '.', 'secondChar', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'sb', '.', 'append', '(', 'this', '.', 'secondChar', ')', ';', '\n', '        ', '}', '\n', '\n', '        ', 'return', ' ', 'sb', '.', 'toString', '(', ')', ';', '\n', '    ', '}', '\n']"
master,ad1dedf922a496d796a4f0924f6f7d73172d82df,TelegramAlertNotification.java,initialize,"    public void initialize(Configuration cfg) throws AlarmCallbackConfigurationException {
        this.cfg = cfg;
        logger = Logger.getLogger(""TelegramAlert"");
        String logPath = cfg.getString(LOG_FILE);
        
        if (!logPath.isEmpty()) {
	        try {
	        	FileHandler handler = new FileHandler(logPath, true);
	            logger.addHandler(handler);
	            handler.setFormatter(new SimpleFormatter());
	        } catch (IOException | SecurityException ex) {
	            ex.printStackTrace();
	        }
        }
        
        ApiContextInitializer.init();
        
        TelegramBotsApi botApi = new TelegramBotsApi();
        chatId = cfg.getInt(CHAT);
    	bot = new TelegramAlertBot(cfg.getString(USERNAME), cfg.getString(TOKEN));
        
        try {
        	botApi.registerBot(bot);
  
        	bot.execute(new SendMessage()
        			.setChatId(chatId)
                    .setText(""Bot loaded successfully! "" + Emoji.SMILING_FACE_WITH_SMILING_EYES
            ));
        } catch (TelegramApiException e) {
            logger.warning(e.getMessage());
        }
        
        logger.info(""Alert was initialized successfully"");
    }",https://www.github.com/irgendwr/telegramalert/commit/ad1dedf922a496d796a4f0924f6f7d73172d82df,"    public void initialize(Configuration cfg) throws AlarmCallbackConfigurationException {
        this.cfg = cfg;
        logger = Logger.getLogger(""TelegramAlert"");
        String logPath = cfg.getString(LOG_FILE);
        
        if (!logPath.isEmpty()) {
	        try {
	        	FileHandler handler = new FileHandler(logPath, true);
	            logger.addHandler(handler);
	            handler.setFormatter(new SimpleFormatter());
	        } catch (IOException | SecurityException ex) {
	            ex.printStackTrace();
	        }
        }
        
        ApiContextInitializer.init();
        
        TelegramBotsApi botApi = new TelegramBotsApi();
        chatId = cfg.getInt(CHAT);
    	bot = new TelegramAlertBot(cfg.getString(USERNAME), cfg.getString(TOKEN));
        
        try {
        	botApi.registerBot(bot);
  
        	bot.execute(new SendMessage()
        			.setChatId(chatId)
                    .setText(""Bot loaded successfully! "" + Emoji.SMILING_FACE_WITH_SMILING_EYES
            ));
        } catch (TelegramApiException e) {
            logger.warning(e.getMessage());
        }
        
        logger.info(""Alert was initialized successfully"");
    }
","['    ', 'public', ' ', 'void', ' ', 'initialize', '(', 'Configuration', ' ', 'cfg', ')', ' ', 'throws', ' ', 'AlarmCallbackConfigurationException', ' ', '{', '\n', '        ', 'this', '.', 'cfg', ' ', '=', ' ', 'cfg', ';', '\n', '        ', 'logger', ' ', '=', ' ', 'Logger', '.', 'getLogger', '(', '""', 'TelegramAlert', '""', ')', ';', '\n', '        ', 'String', ' ', 'logPath', ' ', '=', ' ', 'cfg', '.', 'getString', '(', 'LOG_FILE', ')', ';', '\n', '        ', '\n', '        ', 'if', ' ', '(', '!', 'logPath', '.', 'isEmpty', '(', ')', ')', ' ', '{', '\n', '\t        ', 'try', ' ', '{', '\n', '\t        \t', 'FileHandler', ' ', 'handler', ' ', '=', ' ', 'new', ' ', 'FileHandler', '(', 'logPath', ',', ' ', 'true', ')', ';', '\n', '\t            ', 'logger', '.', 'addHandler', '(', 'handler', ')', ';', '\n', '\t            ', 'handler', '.', 'setFormatter', '(', 'new', ' ', 'SimpleFormatter', '(', ')', ')', ';', '\n', '\t        ', '}', ' ', 'catch', ' ', '(', 'IOException', ' ', '|', ' ', 'SecurityException', ' ', 'ex', ')', ' ', '{', '\n', '\t            ', 'ex', '.', 'printStackTrace', '(', ')', ';', '\n', '\t        ', '}', '\n', '        ', '}', '\n', '        ', '\n', '        ', 'ApiContextInitializer', '.', 'init', '(', ')', ';', '\n', '        ', '\n', '        ', 'TelegramBotsApi', ' ', 'botApi', ' ', '=', ' ', 'new', ' ', 'TelegramBotsApi', '(', ')', ';', '\n', '        ', 'chatId', ' ', '=', ' ', 'cfg', '.', 'getInt', '(', 'CHAT', ')', ';', '\n', '    \t', 'bot', ' ', '=', ' ', 'new', ' ', 'TelegramAlertBot', '(', 'cfg', '.', 'getString', '(', 'USERNAME', ')', ',', ' ', 'cfg', '.', 'getString', '(', 'TOKEN', ')', ')', ';', '\n', '        ', '\n', '        ', 'try', ' ', '{', '\n', '        \t', 'botApi', '.', 'registerBot', '(', 'bot', ')', ';', '\n', '  ', '\n', '        \t', 'bot', '.', 'execute', '(', 'new', ' ', 'SendMessage', '(', ')', '\n', '        \t\t\t', '.', 'setChatId', '(', 'chatId', ')', '\n', '                    ', '.', 'setText', '(', '""', 'Bot loaded successfully! ', '""', ' ', '+', ' ', 'Emoji', '.', 'SMILING_FACE_WITH_SMILING_EYES', '\n', '            ', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'TelegramApiException', ' ', 'e', ')', ' ', '{', '\n', '            ', 'logger', '.', 'warning', '(', 'e', '.', 'getMessage', '(', ')', ')', ';', '\n', '        ', '}', '\n', '        ', '\n', '        ', 'logger', '.', 'info', '(', '""', 'Alert was initialized successfully', '""', ')', ';', '\n', '    ', '}', '\n']"
master,ad1dedf922a496d796a4f0924f6f7d73172d82df,TelegramAlertNotification.java,call,"    public void call(Stream stream, AlertCondition.CheckResult checkResult) throws AlarmCallbackException {
    	try {
        	bot.execute(new SendMessage()",https://www.github.com/irgendwr/telegramalert/commit/ad1dedf922a496d796a4f0924f6f7d73172d82df,"    public void call(Stream stream, AlertCondition.CheckResult checkResult) throws AlarmCallbackException {
    	try {
        	bot.execute(new SendMessage()
","['    ', 'public', ' ', 'void', ' ', 'call', '(', 'Stream', ' ', 'stream', ',', ' ', 'AlertCondition', '.', 'CheckResult', ' ', 'checkResult', ')', ' ', 'throws', ' ', 'AlarmCallbackException', ' ', '{', '\n', '    \t', 'try', ' ', '{', '\n', '        \t', 'bot', '.', 'execute', '(', 'new', ' ', 'SendMessage', '(', ')', '\n']"
master,ad1dedf922a496d796a4f0924f6f7d73172d82df,TelegramAlertNotification.java,createRequestMsg,"    private String createRequestMsg(Stream stream, AlertCondition.CheckResult checkResult) {
        String title = stream.getTitle();
		List<String> backlog = getAlarmBacklog(checkResult);
		StringBuilder sb = new StringBuilder("""");
		sb.append(title);
		sb.append("":\n```"");
		
		for (String msg : backlog) {
            sb.append(msg);
            sb.append(""\n"");
        }
		sb.append(""```"");
		return sb.toString();
    }",https://www.github.com/irgendwr/telegramalert/commit/ad1dedf922a496d796a4f0924f6f7d73172d82df,"    private String createRequestMsg(Stream stream, AlertCondition.CheckResult checkResult) {
        String title = stream.getTitle();
		List<String> backlog = getAlarmBacklog(checkResult);
		StringBuilder sb = new StringBuilder("""");
		sb.append(title);
		sb.append("":\n```"");
		
		for (String msg : backlog) {
            sb.append(msg);
            sb.append(""\n"");
        }
		sb.append(""```"");
		return sb.toString();
    }
","['    ', 'private', ' ', 'String', ' ', 'createRequestMsg', '(', 'Stream', ' ', 'stream', ',', ' ', 'AlertCondition', '.', 'CheckResult', ' ', 'checkResult', ')', ' ', '{', '\n', '        ', 'String', ' ', 'title', ' ', '=', ' ', 'stream', '.', 'getTitle', '(', ')', ';', '\n', '\t\t', 'List', '<', 'String', '>', ' ', 'backlog', ' ', '=', ' ', 'getAlarmBacklog', '(', 'checkResult', ')', ';', '\n', '\t\t', 'StringBuilder', ' ', 'sb', ' ', '=', ' ', 'new', ' ', 'StringBuilder', '(', '""', '""', ')', ';', '\n', '\t\t', 'sb', '.', 'append', '(', 'title', ')', ';', '\n', '\t\t', 'sb', '.', 'append', '(', '""', ':', '\\', 'n```', '""', ')', ';', '\n', '\t\t', '\n', '\t\t', 'for', ' ', '(', 'String', ' ', 'msg', ' ', ':', ' ', 'backlog', ')', ' ', '{', '\n', '            ', 'sb', '.', 'append', '(', 'msg', ')', ';', '\n', '            ', 'sb', '.', 'append', '(', '""', '\\', 'n', '""', ')', ';', '\n', '        ', '}', '\n', '\t\t', 'sb', '.', 'append', '(', '""', '```', '""', ')', ';', '\n', '\t\t', 'return', ' ', 'sb', '.', 'toString', '(', ')', ';', '\n', '    ', '}', '\n']"
