Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,IPZone.java,toString,"	public String toString() {
		final StringBuilder builder = new StringBuilder();
		builder.append(""IPZone [ip="").append(ip).append("", country="")
				.append(country).append("", city="").append(city).append(""]"");
		return builder.toString();
	}",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	public String toString() {
		final StringBuilder builder = new StringBuilder();
		builder.append(""IPZone [ip="").append(ip).append("", country="")
				.append(country).append("", city="").append(city).append(""]"");
		return builder.toString();
	}
","['\t', 'public', ' ', 'String', ' ', 'toString', '(', ')', ' ', '{', '\n', '\t\t', 'final', ' ', 'StringBuilder', ' ', 'builder', ' ', '=', ' ', 'new', ' ', 'StringBuilder', '(', ')', ';', '\n', '\t\t', 'builder', '.', 'append', '(', '""', 'IPZone [ip=', '""', ')', '.', 'append', '(', 'ip', ')', '.', 'append', '(', '""', ', country=', '""', ')', '\n', '\t\t\t\t', '.', 'append', '(', 'country', ')', '.', 'append', '(', '""', ', city=', '""', ')', '.', 'append', '(', 'city', ')', '.', 'append', '(', '""', ']', '""', ')', ';', '\n', '\t\t', 'return', ' ', 'builder', '.', 'toString', '(', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,QQWry.java,findIP,"	public IPZone findIP(final String ip) {
		final long ipNum = toNumericIP(ip);
		final QIndex idx = searchIndex(ipNum);
		if (idx == null) {
			return null;
		}
		return readIP(ip, idx);
	}",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	public IPZone findIP(final String ip) {
		final long ipNum = toNumericIP(ip);
		final QIndex idx = searchIndex(ipNum);
		if (idx == null) {
			return null;
		}
		return readIP(ip, idx);
	}
","['\t', 'public', ' ', 'IPZone', ' ', 'findIP', '(', 'final', ' ', 'String', ' ', 'ip', ')', ' ', '{', '\n', '\t\t', 'final', ' ', 'long', ' ', 'ipNum', ' ', '=', ' ', 'toNumericIP', '(', 'ip', ')', ';', '\n', '\t\t', 'final', ' ', 'QIndex', ' ', 'idx', ' ', '=', ' ', 'searchIndex', '(', 'ipNum', ')', ';', '\n', '\t\t', 'if', ' ', '(', 'idx', ' ', '=', '=', ' ', 'null', ')', ' ', '{', '\n', '\t\t\t', 'return', ' ', 'null', ';', '\n', '\t\t', '}', '\n', '\t\t', 'return', ' ', 'readIP', '(', 'ip', ',', ' ', 'idx', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,QQWry.java,readCity,"	private String readCity(final int offset) {
		final byte b = data[offset];
		if ((b == 0x01) || (b == 0x02)) {
			final int areaOffset = readInt24(offset + 1);",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	private String readCity(final int offset) {
		final byte b = data[offset];
		if ((b == 0x01) || (b == 0x02)) {
			final int areaOffset = readInt24(offset + 1);
","['\t', 'private', ' ', 'String', ' ', 'readCity', '(', 'final', ' ', 'int', ' ', 'offset', ')', ' ', '{', '\n', '\t\t', 'final', ' ', 'byte', ' ', 'b', ' ', '=', ' ', 'data', '[', 'offset', ']', ';', '\n', '\t\t', 'if', ' ', '(', '(', 'b', ' ', '=', '=', ' ', '0x01', ')', ' ', '|', '|', ' ', '(', 'b', ' ', '=', '=', ' ', '0x02', ')', ')', ' ', '{', '\n', '\t\t\t', 'final', ' ', 'int', ' ', 'areaOffset', ' ', '=', ' ', 'readInt24', '(', 'offset', ' ', '+', ' ', '1', ')', ';', '\n', '<END>']"
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,QQWry.java,readIndex,"	private QIndex readIndex(final int offset) {
		final long min = readLong32(offset);
		final int record = readInt24(offset + 4);
		final long max = readLong32(record);
		return new QIndex(min, max, record);
	}",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	private QIndex readIndex(final int offset) {
		final long min = readLong32(offset);
		final int record = readInt24(offset + 4);
		final long max = readLong32(record);
		return new QIndex(min, max, record);
	}
","['\t', 'private', ' ', 'QIndex', ' ', 'readIndex', '(', 'final', ' ', 'int', ' ', 'offset', ')', ' ', '{', '\n', '\t\t', 'final', ' ', 'long', ' ', 'min', ' ', '=', ' ', 'readLong32', '(', 'offset', ')', ';', '\n', '\t\t', 'final', ' ', 'int', ' ', 'record', ' ', '=', ' ', 'readInt24', '(', 'offset', ' ', '+', ' ', '4', ')', ';', '\n', '\t\t', 'final', ' ', 'long', ' ', 'max', ' ', '=', ' ', 'readLong32', '(', 'record', ')', ';', '\n', '\t\t', 'return', ' ', 'new', ' ', 'QIndex', '(', 'min', ',', ' ', 'max', ',', ' ', 'record', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,QQWry.java,readInt24,"	private int readInt24(final int offset) {
		int v = data[offset] & 0xFF;
		v |= ((data[offset + 1] << 8) & 0xFF00);
		v |= ((data[offset + 2] << 16) & 0xFF0000);
		return v;
	}",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	private int readInt24(final int offset) {
		int v = data[offset] & 0xFF;
		v |= ((data[offset + 1] << 8) & 0xFF00);
		v |= ((data[offset + 2] << 16) & 0xFF0000);
		return v;
	}
","['\t', 'private', ' ', 'int', ' ', 'readInt24', '(', 'final', ' ', 'int', ' ', 'offset', ')', ' ', '{', '\n', '\t\t', 'int', ' ', 'v', ' ', '=', ' ', 'data', '[', 'offset', ']', ' ', '&', ' ', '0xFF', ';', '\n', '\t\t', 'v', ' ', '|', '=', ' ', '(', '(', 'data', '[', 'offset', ' ', '+', ' ', '1', ']', ' ', '<', '<', ' ', '8', ')', ' ', '&', ' ', '0xFF00', ')', ';', '\n', '\t\t', 'v', ' ', '|', '=', ' ', '(', '(', 'data', '[', 'offset', ' ', '+', ' ', '2', ']', ' ', '<', '<', ' ', '16', ')', ' ', '&', ' ', '0xFF0000', ')', ';', '\n', '\t\t', 'return', ' ', 'v', ';', '\n', '\t', '}', '\n', '<END>']"
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,QQWry.java,readIP,"	private IPZone readIP(final String ip, final QIndex idx) {
		final int mode = data[idx.getRecordOffset() + 4];
		final IPZone z = new IPZone(ip);
		System.out.print(""mode="" + mode + "" "");
		if (mode == 0x01) {
			final int offset = readInt24(idx.getRecordOffset() + 5);
			if (data[offset] == 0x02) {
				readMode2(z, offset);
			} else {
				final WryString country = readString(offset);
				final String city = readCity(offset + country.getLength());
				z.setCountry(country.getString());
				z.setCity(city);
			}
		} else if (mode == 0x02) {
			readMode2(z, idx.getRecordOffset() + 4);
		}
		return z;
	}",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	private IPZone readIP(final String ip, final QIndex idx) {
		final int mode = data[idx.getRecordOffset() + 4];
		final IPZone z = new IPZone(ip);
		System.out.print(""mode="" + mode + "" "");
		if (mode == 0x01) {
			final int offset = readInt24(idx.getRecordOffset() + 5);
			if (data[offset] == 0x02) {
				readMode2(z, offset);
			} else {
				final WryString country = readString(offset);
				final String city = readCity(offset + country.getLength());
				z.setCountry(country.getString());
				z.setCity(city);
			}
		} else if (mode == 0x02) {
			readMode2(z, idx.getRecordOffset() + 4);
		}
		return z;
	}
","['\t', 'private', ' ', 'IPZone', ' ', 'readIP', '(', 'final', ' ', 'String', ' ', 'ip', ',', ' ', 'final', ' ', 'QIndex', ' ', 'idx', ')', ' ', '{', '\n', '\t\t', 'final', ' ', 'int', ' ', 'mode', ' ', '=', ' ', 'data', '[', 'idx', '.', 'getRecordOffset', '(', ')', ' ', '+', ' ', '4', ']', ';', '\n', '\t\t', 'final', ' ', 'IPZone', ' ', 'z', ' ', '=', ' ', 'new', ' ', 'IPZone', '(', 'ip', ')', ';', '\n', '\t\t', 'System', '.', 'out', '.', 'print', '(', '""', 'mode=', '""', ' ', '+', ' ', 'mode', ' ', '+', ' ', '""', ' ', '""', ')', ';', '\n', '\t\t', 'if', ' ', '(', 'mode', ' ', '=', '=', ' ', '0x01', ')', ' ', '{', '\n', '\t\t\t', 'final', ' ', 'int', ' ', 'offset', ' ', '=', ' ', 'readInt24', '(', 'idx', '.', 'getRecordOffset', '(', ')', ' ', '+', ' ', '5', ')', ';', '\n', '\t\t\t', 'if', ' ', '(', 'data', '[', 'offset', ']', ' ', '=', '=', ' ', '0x02', ')', ' ', '{', '\n', '\t\t\t\t', 'readMode2', '(', 'z', ',', ' ', 'offset', ')', ';', '\n', '\t\t\t', '}', ' ', 'else', ' ', '{', '\n', '\t\t\t\t', 'final', ' ', 'WryString', ' ', 'country', ' ', '=', ' ', 'readString', '(', 'offset', ')', ';', '\n', '\t\t\t\t', 'final', ' ', 'String', ' ', 'city', ' ', '=', ' ', 'readCity', '(', 'offset', ' ', '+', ' ', 'country', '.', 'getLength', '(', ')', ')', ';', '\n', '\t\t\t\t', 'z', '.', 'setCountry', '(', 'country', '.', 'getString', '(', ')', ')', ';', '\n', '\t\t\t\t', 'z', '.', 'setCity', '(', 'city', ')', ';', '\n', '\t\t\t', '}', '\n', '\t\t', '}', ' ', 'else', ' ', 'if', ' ', '(', 'mode', ' ', '=', '=', ' ', '0x02', ')', ' ', '{', '\n', '\t\t\t', 'readMode2', '(', 'z', ',', ' ', 'idx', '.', 'getRecordOffset', '(', ')', ' ', '+', ' ', '4', ')', ';', '\n', '\t\t', '}', '\n', '\t\t', 'return', ' ', 'z', ';', '\n', '\t', '}', '\n', '<END>']"
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,QQWry.java,readLong32,"	private long readLong32(final int offset) {
		long v = data[offset] & 0xFF;
		v |= (data[offset + 1] << 8) & 0xFF00;
		v |= ((data[offset + 2] << 16) & 0xFF0000);
		v |= ((data[offset + 3] << 24) & 0xFF000000L);
		return v;
	}",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	private long readLong32(final int offset) {
		long v = data[offset] & 0xFF;
		v |= (data[offset + 1] << 8) & 0xFF00;
		v |= ((data[offset + 2] << 16) & 0xFF0000);
		v |= ((data[offset + 3] << 24) & 0xFF000000L);
		return v;
	}
","['\t', 'private', ' ', 'long', ' ', 'readLong32', '(', 'final', ' ', 'int', ' ', 'offset', ')', ' ', '{', '\n', '\t\t', 'long', ' ', 'v', ' ', '=', ' ', 'data', '[', 'offset', ']', ' ', '&', ' ', '0xFF', ';', '\n', '\t\t', 'v', ' ', '|', '=', ' ', '(', 'data', '[', 'offset', ' ', '+', ' ', '1', ']', ' ', '<', '<', ' ', '8', ')', ' ', '&', ' ', '0xFF00', ';', '\n', '\t\t', 'v', ' ', '|', '=', ' ', '(', '(', 'data', '[', 'offset', ' ', '+', ' ', '2', ']', ' ', '<', '<', ' ', '16', ')', ' ', '&', ' ', '0xFF0000', ')', ';', '\n', '\t\t', 'v', ' ', '|', '=', ' ', '(', '(', 'data', '[', 'offset', ' ', '+', ' ', '3', ']', ' ', '<', '<', ' ', '24', ')', ' ', '&', ' ', '0xFF000000L', ')', ';', '\n', '\t\t', 'return', ' ', 'v', ';', '\n', '\t', '}', '\n', '<END>']"
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,QQWry.java,readMode2,"	private void readMode2(final IPZone z, final int offset) {
		final int countryOffset = readInt24(offset + 1);
		final String country = readString(countryOffset).getString();
		final String city = readCity(offset + 4);
		z.setCountry(country);
		z.setCity(city);
	}",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	private void readMode2(final IPZone z, final int offset) {
		final int countryOffset = readInt24(offset + 1);
		final String country = readString(countryOffset).getString();
		final String city = readCity(offset + 4);
		z.setCountry(country);
		z.setCity(city);
	}
","['\t', 'private', ' ', 'void', ' ', 'readMode2', '(', 'final', ' ', 'IPZone', ' ', 'z', ',', ' ', 'final', ' ', 'int', ' ', 'offset', ')', ' ', '{', '\n', '\t\t', 'final', ' ', 'int', ' ', 'countryOffset', ' ', '=', ' ', 'readInt24', '(', 'offset', ' ', '+', ' ', '1', ')', ';', '\n', '\t\t', 'final', ' ', 'String', ' ', 'country', ' ', '=', ' ', 'readString', '(', 'countryOffset', ')', '.', 'getString', '(', ')', ';', '\n', '\t\t', 'final', ' ', 'String', ' ', 'city', ' ', '=', ' ', 'readCity', '(', 'offset', ' ', '+', ' ', '4', ')', ';', '\n', '\t\t', 'z', '.', 'setCountry', '(', 'country', ')', ';', '\n', '\t\t', 'z', '.', 'setCity', '(', 'city', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,QQWry.java,readString,"	private WryString readString(final int offset) {
		int i = 0;
		for (;; i++) {
			final byte b = data[offset + i];
			if (STRING_END == b) {
				break;
			}
			STRING_BUF[i] = b;
		}
		try {
			return new WryString(new String(STRING_BUF, 0, i, ""GB18030""), i);",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	private WryString readString(final int offset) {
		int i = 0;
		for (;; i++) {
			final byte b = data[offset + i];
			if (STRING_END == b) {
				break;
			}
			STRING_BUF[i] = b;
		}
		try {
			return new WryString(new String(STRING_BUF, 0, i, ""GB18030""), i);
","['\t', 'private', ' ', 'WryString', ' ', 'readString', '(', 'final', ' ', 'int', ' ', 'offset', ')', ' ', '{', '\n', '\t\t', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', '\n', '\t\t', 'for', ' ', '(', ';', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '\t\t\t', 'final', ' ', 'byte', ' ', 'b', ' ', '=', ' ', 'data', '[', 'offset', ' ', '+', ' ', 'i', ']', ';', '\n', '\t\t\t', 'if', ' ', '(', 'STRING_END', ' ', '=', '=', ' ', 'b', ')', ' ', '{', '\n', '\t\t\t\t', 'break', ';', '\n', '\t\t\t', '}', '\n', '\t\t\t', 'STRING_BUF', '[', 'i', ']', ' ', '=', ' ', 'b', ';', '\n', '\t\t', '}', '\n', '\t\t', 'try', ' ', '{', '\n', '\t\t\t', 'return', ' ', 'new', ' ', 'WryString', '(', 'new', ' ', 'String', '(', 'STRING_BUF', ',', ' ', '0', ',', ' ', 'i', ',', ' ', '""', 'GB18030', '""', ')', ',', ' ', 'i', ')', ';', '\n', '<END>']"
master,1ae15d7d2c7d0dba2b7983b0e738094719f719ef,QQWry.java,toNumericIP,"	private long toNumericIP(final String s) {
		final String[] parts = s.split(""\\."");
		if (parts.length != 4) {
			throw new IllegalArgumentException(""ip="" + s);
		}
		long n = Long.parseLong(parts[0].trim()) << 24L;
		n += Long.parseLong(parts[1].trim()) << 16L;
		n += Long.parseLong(parts[2].trim()) << 8L;
		n += Long.parseLong(parts[3].trim());
		return n;
	}",https://www.github.com/jarod/qqwry-java/commit/1ae15d7d2c7d0dba2b7983b0e738094719f719ef,"	private long toNumericIP(final String s) {
		final String[] parts = s.split(""\\."");
		if (parts.length != 4) {
			throw new IllegalArgumentException(""ip="" + s);
		}
		long n = Long.parseLong(parts[0].trim()) << 24L;
		n += Long.parseLong(parts[1].trim()) << 16L;
		n += Long.parseLong(parts[2].trim()) << 8L;
		n += Long.parseLong(parts[3].trim());
		return n;
	}
","['\t', 'private', ' ', 'long', ' ', 'toNumericIP', '(', 'final', ' ', 'String', ' ', 's', ')', ' ', '{', '\n', '\t\t', 'final', ' ', 'String', '[', ']', ' ', 'parts', ' ', '=', ' ', 's', '.', 'split', '(', '""', '\\\\', '.', '""', ')', ';', '\n', '\t\t', 'if', ' ', '(', 'parts', '.', 'length', ' ', '!', '=', ' ', '4', ')', ' ', '{', '\n', '\t\t\t', 'throw', ' ', 'new', ' ', 'IllegalArgumentException', '(', '""', 'ip=', '""', ' ', '+', ' ', 's', ')', ';', '\n', '\t\t', '}', '\n', '\t\t', 'long', ' ', 'n', ' ', '=', ' ', 'Long', '.', 'parseLong', '(', 'parts', '[', '0', ']', '.', 'trim', '(', ')', ')', ' ', '<', '<', ' ', '24L', ';', '\n', '\t\t', 'n', ' ', '+', '=', ' ', 'Long', '.', 'parseLong', '(', 'parts', '[', '1', ']', '.', 'trim', '(', ')', ')', ' ', '<', '<', ' ', '16L', ';', '\n', '\t\t', 'n', ' ', '+', '=', ' ', 'Long', '.', 'parseLong', '(', 'parts', '[', '2', ']', '.', 'trim', '(', ')', ')', ' ', '<', '<', ' ', '8L', ';', '\n', '\t\t', 'n', ' ', '+', '=', ' ', 'Long', '.', 'parseLong', '(', 'parts', '[', '3', ']', '.', 'trim', '(', ')', ')', ';', '\n', '\t\t', 'return', ' ', 'n', ';', '\n', '\t', '}', '\n', '<END>']"
