Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,CasbinRule.java,toPolicy,"    public ArrayList<String> toPolicy() {
        ArrayList<String> policy = new ArrayList<>();
        policy.add(ptype);
        if (!StringUtils.isEmpty(v0)) {
            policy.add(v0);
        }
        if (!StringUtils.isEmpty(v1)) {
            policy.add(v1);
        }
        if (!StringUtils.isEmpty(v2)) {
            policy.add(v2);
        }
        if (!StringUtils.isEmpty(v3)) {
            policy.add(v3);
        }
        if (!StringUtils.isEmpty(v4)) {
            policy.add(v4);
        }
        if (!StringUtils.isEmpty(v5)) {
            policy.add(v5);
        }
        return policy;
    }",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"    public ArrayList<String> toPolicy() {
        ArrayList<String> policy = new ArrayList<>();
        policy.add(ptype);
        if (!StringUtils.isEmpty(v0)) {
            policy.add(v0);
        }
        if (!StringUtils.isEmpty(v1)) {
            policy.add(v1);
        }
        if (!StringUtils.isEmpty(v2)) {
            policy.add(v2);
        }
        if (!StringUtils.isEmpty(v3)) {
            policy.add(v3);
        }
        if (!StringUtils.isEmpty(v4)) {
            policy.add(v4);
        }
        if (!StringUtils.isEmpty(v5)) {
            policy.add(v5);
        }
        return policy;
    }
","['    ', 'public', ' ', 'ArrayList', '<', 'String', '>', ' ', 'toPolicy', '(', ')', ' ', '{', '\n', '        ', 'ArrayList', '<', 'String', '>', ' ', 'policy', ' ', '=', ' ', 'new', ' ', 'ArrayList', '<', '>', '(', ')', ';', '\n', '        ', 'policy', '.', 'add', '(', 'ptype', ')', ';', '\n', '        ', 'if', ' ', '(', '!', 'StringUtils', '.', 'isEmpty', '(', 'v0', ')', ')', ' ', '{', '\n', '            ', 'policy', '.', 'add', '(', 'v0', ')', ';', '\n', '        ', '}', '\n', '        ', 'if', ' ', '(', '!', 'StringUtils', '.', 'isEmpty', '(', 'v1', ')', ')', ' ', '{', '\n', '            ', 'policy', '.', 'add', '(', 'v1', ')', ';', '\n', '        ', '}', '\n', '        ', 'if', ' ', '(', '!', 'StringUtils', '.', 'isEmpty', '(', 'v2', ')', ')', ' ', '{', '\n', '            ', 'policy', '.', 'add', '(', 'v2', ')', ';', '\n', '        ', '}', '\n', '        ', 'if', ' ', '(', '!', 'StringUtils', '.', 'isEmpty', '(', 'v3', ')', ')', ' ', '{', '\n', '            ', 'policy', '.', 'add', '(', 'v3', ')', ';', '\n', '        ', '}', '\n', '        ', 'if', ' ', '(', '!', 'StringUtils', '.', 'isEmpty', '(', 'v4', ')', ')', ' ', '{', '\n', '            ', 'policy', '.', 'add', '(', 'v4', ')', ';', '\n', '        ', '}', '\n', '        ', 'if', ' ', '(', '!', 'StringUtils', '.', 'isEmpty', '(', 'v5', ')', ')', ' ', '{', '\n', '            ', 'policy', '.', 'add', '(', 'v5', ')', ';', '\n', '        ', '}', '\n', '        ', 'return', ' ', 'policy', ';', '\n', '    ', '}', '\n', '<END>']"
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,CasbinRule.java,transformToCasbinRule,"    public static List<CasbinRule> transformToCasbinRule(Model model) {
        Set<CasbinRule> casbinRules = new HashSet<>();
        model.model.values().forEach(x -> x.values().forEach(y -> y.policy.forEach(z -> {
            if (z.isEmpty()) return;
            int size = z.size();
            CasbinRule casbinRule = new CasbinRule();
            casbinRule.setPtype(y.key);
            casbinRule.setV0(z.get(0));
            if (size >= 2) {
                casbinRule.setV1(z.get(1));
            }
            if (size >= 3) {
                casbinRule.setV2(z.get(2));
            }
            if (size >= 4) {
                casbinRule.setV3(z.get(3));
            }
            if (size >= 5) {
                casbinRule.setV4(z.get(4));
            }
            if (size >= 6) {
                casbinRule.setV5(z.get(5));
            }
            casbinRules.add(casbinRule);
        })));
        return new ArrayList<>(casbinRules);
    }",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"    public static List<CasbinRule> transformToCasbinRule(Model model) {
        Set<CasbinRule> casbinRules = new HashSet<>();
        model.model.values().forEach(x -> x.values().forEach(y -> y.policy.forEach(z -> {
            if (z.isEmpty()) return;
            int size = z.size();
            CasbinRule casbinRule = new CasbinRule();
            casbinRule.setPtype(y.key);
            casbinRule.setV0(z.get(0));
            if (size >= 2) {
                casbinRule.setV1(z.get(1));
            }
            if (size >= 3) {
                casbinRule.setV2(z.get(2));
            }
            if (size >= 4) {
                casbinRule.setV3(z.get(3));
            }
            if (size >= 5) {
                casbinRule.setV4(z.get(4));
            }
            if (size >= 6) {
                casbinRule.setV5(z.get(5));
            }
            casbinRules.add(casbinRule);
        })));
        return new ArrayList<>(casbinRules);
    }
","['    ', 'public', ' ', 'static', ' ', 'List', '<', 'CasbinRule', '>', ' ', 'transformToCasbinRule', '(', 'Model', ' ', 'model', ')', ' ', '{', '\n', '        ', 'Set', '<', 'CasbinRule', '>', ' ', 'casbinRules', ' ', '=', ' ', 'new', ' ', 'HashSet', '<', '>', '(', ')', ';', '\n', '        ', 'model', '.', 'model', '.', 'values', '(', ')', '.', 'forEach', '(', 'x', ' ', '-', '>', ' ', 'x', '.', 'values', '(', ')', '.', 'forEach', '(', 'y', ' ', '-', '>', ' ', 'y', '.', 'policy', '.', 'forEach', '(', 'z', ' ', '-', '>', ' ', '{', '\n', '            ', 'if', ' ', '(', 'z', '.', 'isEmpty', '(', ')', ')', ' ', 'return', ';', '\n', '            ', 'int', ' ', 'size', ' ', '=', ' ', 'z', '.', 'size', '(', ')', ';', '\n', '            ', 'CasbinRule', ' ', 'casbinRule', ' ', '=', ' ', 'new', ' ', 'CasbinRule', '(', ')', ';', '\n', '            ', 'casbinRule', '.', 'setPtype', '(', 'y', '.', 'key', ')', ';', '\n', '            ', 'casbinRule', '.', 'setV0', '(', 'z', '.', 'get', '(', '0', ')', ')', ';', '\n', '            ', 'if', ' ', '(', 'size', ' ', '>', '=', ' ', '2', ')', ' ', '{', '\n', '                ', 'casbinRule', '.', 'setV1', '(', 'z', '.', 'get', '(', '1', ')', ')', ';', '\n', '            ', '}', '\n', '            ', 'if', ' ', '(', 'size', ' ', '>', '=', ' ', '3', ')', ' ', '{', '\n', '                ', 'casbinRule', '.', 'setV2', '(', 'z', '.', 'get', '(', '2', ')', ')', ';', '\n', '            ', '}', '\n', '            ', 'if', ' ', '(', 'size', ' ', '>', '=', ' ', '4', ')', ' ', '{', '\n', '                ', 'casbinRule', '.', 'setV3', '(', 'z', '.', 'get', '(', '3', ')', ')', ';', '\n', '            ', '}', '\n', '            ', 'if', ' ', '(', 'size', ' ', '>', '=', ' ', '5', ')', ' ', '{', '\n', '                ', 'casbinRule', '.', 'setV4', '(', 'z', '.', 'get', '(', '4', ')', ')', ';', '\n', '            ', '}', '\n', '            ', 'if', ' ', '(', 'size', ' ', '>', '=', ' ', '6', ')', ' ', '{', '\n', '                ', 'casbinRule', '.', 'setV5', '(', 'z', '.', 'get', '(', '5', ')', ')', ';', '\n', '            ', '}', '\n', '            ', 'casbinRules', '.', 'add', '(', 'casbinRule', ')', ';', '\n', '        ', '}', ')', ')', ')', ';', '\n', '        ', 'return', ' ', 'new', ' ', 'ArrayList', '<', '>', '(', 'casbinRules', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,JdbcAdapter.java,initTable,"    protected void initTable() {
        jdbcTemplate.execute(getInitTableSql());
    }",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"    protected void initTable() {
        jdbcTemplate.execute(getInitTableSql());
    }
","['    ', 'protected', ' ', 'void', ' ', 'initTable', '(', ')', ' ', '{', '\n', '        ', 'jdbcTemplate', '.', 'execute', '(', 'getInitTableSql', '(', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,JdbcAdapter.java,dropTable,"    protected void dropTable() {
        jdbcTemplate.execute(getDropTableSql());
    }",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"    protected void dropTable() {
        jdbcTemplate.execute(getDropTableSql());
    }
","['    ', 'protected', ' ', 'void', ' ', 'dropTable', '(', ')', ' ', '{', '\n', '        ', 'jdbcTemplate', '.', 'execute', '(', 'getDropTableSql', '(', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,JdbcAdapter.java,deleteTableContent,"    protected void deleteTableContent() {
        jdbcTemplate.execute(getDeleteTableContentSql());
    }",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"    protected void deleteTableContent() {
        jdbcTemplate.execute(getDeleteTableContentSql());
    }
","['    ', 'protected', ' ', 'void', ' ', 'deleteTableContent', '(', ')', ' ', '{', '\n', '        ', 'jdbcTemplate', '.', 'execute', '(', 'getDeleteTableContentSql', '(', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,JdbcAdapter.java,setValues,"                    public void setValues(PreparedStatement ps, int i) throws SQLException {
                        ps.setString(1, casbinRules.get(i).getPtype());
                        ps.setString(2, casbinRules.get(i).getV0());
                        ps.setString(3, casbinRules.get(i).getV1());
                        ps.setString(4, casbinRules.get(i).getV2());
                        ps.setString(5, casbinRules.get(i).getV3());
                        ps.setString(6, casbinRules.get(i).getV4());
                        ps.setString(7, casbinRules.get(i).getV5());
                    }",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"                    public void setValues(PreparedStatement ps, int i) throws SQLException {
                        ps.setString(1, casbinRules.get(i).getPtype());
                        ps.setString(2, casbinRules.get(i).getV0());
                        ps.setString(3, casbinRules.get(i).getV1());
                        ps.setString(4, casbinRules.get(i).getV2());
                        ps.setString(5, casbinRules.get(i).getV3());
                        ps.setString(6, casbinRules.get(i).getV4());
                        ps.setString(7, casbinRules.get(i).getV5());
                    }
","['                    ', 'public', ' ', 'void', ' ', 'setValues', '(', 'PreparedStatement', ' ', 'ps', ',', ' ', 'int', ' ', 'i', ')', ' ', 'throws', ' ', 'SQLException', ' ', '{', '\n', '                        ', 'ps', '.', 'setString', '(', '1', ',', ' ', 'casbinRules', '.', 'get', '(', 'i', ')', '.', 'getPtype', '(', ')', ')', ';', '\n', '                        ', 'ps', '.', 'setString', '(', '2', ',', ' ', 'casbinRules', '.', 'get', '(', 'i', ')', '.', 'getV0', '(', ')', ')', ';', '\n', '                        ', 'ps', '.', 'setString', '(', '3', ',', ' ', 'casbinRules', '.', 'get', '(', 'i', ')', '.', 'getV1', '(', ')', ')', ';', '\n', '                        ', 'ps', '.', 'setString', '(', '4', ',', ' ', 'casbinRules', '.', 'get', '(', 'i', ')', '.', 'getV2', '(', ')', ')', ';', '\n', '                        ', 'ps', '.', 'setString', '(', '5', ',', ' ', 'casbinRules', '.', 'get', '(', 'i', ')', '.', 'getV3', '(', ')', ')', ';', '\n', '                        ', 'ps', '.', 'setString', '(', '6', ',', ' ', 'casbinRules', '.', 'get', '(', 'i', ')', '.', 'getV4', '(', ')', ')', ';', '\n', '                        ', 'ps', '.', 'setString', '(', '7', ',', ' ', 'casbinRules', '.', 'get', '(', 'i', ')', '.', 'getV5', '(', ')', ')', ';', '\n', '                    ', '}', '\n', '<END>']"
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,JdbcAdapter.java,addPolicy,"    public void addPolicy(String sec, String ptype, List<String> rule) {
        ArrayList<String> rules = new ArrayList<>(rule);
        rules.add(0, ptype);
        for (int i = 0; i < 6 - rule.size(); i++) {
            rules.add(null);
        }
        int rows = jdbcTemplate.update(INSERT_POLICY_SQL, rules.toArray());
        if (rows != 1) {
            throw new CasbinAdapterException(String.format(""Add policy error, add %d rows, expect %d rows"", rows, 1));",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"    public void addPolicy(String sec, String ptype, List<String> rule) {
        ArrayList<String> rules = new ArrayList<>(rule);
        rules.add(0, ptype);
        for (int i = 0; i < 6 - rule.size(); i++) {
            rules.add(null);
        }
        int rows = jdbcTemplate.update(INSERT_POLICY_SQL, rules.toArray());
        if (rows != 1) {
            throw new CasbinAdapterException(String.format(""Add policy error, add %d rows, expect %d rows"", rows, 1));
","['    ', 'public', ' ', 'void', ' ', 'addPolicy', '(', 'String', ' ', 'sec', ',', ' ', 'String', ' ', 'ptype', ',', ' ', 'List', '<', 'String', '>', ' ', 'rule', ')', ' ', '{', '\n', '        ', 'ArrayList', '<', 'String', '>', ' ', 'rules', ' ', '=', ' ', 'new', ' ', 'ArrayList', '<', '>', '(', 'rule', ')', ';', '\n', '        ', 'rules', '.', 'add', '(', '0', ',', ' ', 'ptype', ')', ';', '\n', '        ', 'for', ' ', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', '6', ' ', '-', ' ', 'rule', '.', 'size', '(', ')', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '            ', 'rules', '.', 'add', '(', 'null', ')', ';', '\n', '        ', '}', '\n', '        ', 'int', ' ', 'rows', ' ', '=', ' ', 'jdbcTemplate', '.', 'update', '(', 'INSERT_POLICY_SQL', ',', ' ', 'rules', '.', 'toArray', '(', ')', ')', ';', '\n', '        ', 'if', ' ', '(', 'rows', ' ', '!', '=', ' ', '1', ')', ' ', '{', '\n', '            ', 'throw', ' ', 'new', ' ', 'CasbinAdapterException', '(', 'String', '.', 'format', '(', '""', 'Add policy error, add %d rows, expect %d rows', '""', ',', ' ', 'rows', ',', ' ', '1', ')', ')', ';', '\n', '<END>']"
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,JdbcAdapter.java,removePolicy,"    public void removePolicy(String sec, String ptype, List<String> rule) {
        if (rule.isEmpty()) return;
        removeFilteredPolicy(sec, ptype, 0, rule.toArray(new String[0]));
    }",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"    public void removePolicy(String sec, String ptype, List<String> rule) {
        if (rule.isEmpty()) return;
        removeFilteredPolicy(sec, ptype, 0, rule.toArray(new String[0]));
    }
","['    ', 'public', ' ', 'void', ' ', 'removePolicy', '(', 'String', ' ', 'sec', ',', ' ', 'String', ' ', 'ptype', ',', ' ', 'List', '<', 'String', '>', ' ', 'rule', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'rule', '.', 'isEmpty', '(', ')', ')', ' ', 'return', ';', '\n', '        ', 'removeFilteredPolicy', '(', 'sec', ',', ' ', 'ptype', ',', ' ', '0', ',', ' ', 'rule', '.', 'toArray', '(', 'new', ' ', 'String', '[', '0', ']', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,JdbcAdapter.java,removeFilteredPolicy,"    public void removeFilteredPolicy(String sec, String ptype, int fieldIndex, String... fieldValues) {
        if (fieldValues.length == 0) return;
        List<String> params = new ArrayList<>(Arrays.asList(fieldValues));
        params.add(0, ptype);
        String delSql = DELETE_POLICY_SQL;
        int columnIndex = fieldIndex;
        for (int i = 0; i < fieldValues.length; i++) {
            delSql = String.format(""%s%s%s%s"", delSql, "" AND v"", columnIndex, "" = ? "");
            columnIndex++;
        }
        int rows = jdbcTemplate.update(delSql, params.toArray());
        if (rows < 1) {
            throw new CasbinAdapterException(String.format(""Remove filtered policy error, remove %d rows, expect least 1 rows"", rows));",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"    public void removeFilteredPolicy(String sec, String ptype, int fieldIndex, String... fieldValues) {
        if (fieldValues.length == 0) return;
        List<String> params = new ArrayList<>(Arrays.asList(fieldValues));
        params.add(0, ptype);
        String delSql = DELETE_POLICY_SQL;
        int columnIndex = fieldIndex;
        for (int i = 0; i < fieldValues.length; i++) {
            delSql = String.format(""%s%s%s%s"", delSql, "" AND v"", columnIndex, "" = ? "");
            columnIndex++;
        }
        int rows = jdbcTemplate.update(delSql, params.toArray());
        if (rows < 1) {
            throw new CasbinAdapterException(String.format(""Remove filtered policy error, remove %d rows, expect least 1 rows"", rows));
","['    ', 'public', ' ', 'void', ' ', 'removeFilteredPolicy', '(', 'String', ' ', 'sec', ',', ' ', 'String', ' ', 'ptype', ',', ' ', 'int', ' ', 'fieldIndex', ',', ' ', 'String', '.', '.', '.', ' ', 'fieldValues', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'fieldValues', '.', 'length', ' ', '=', '=', ' ', '0', ')', ' ', 'return', ';', '\n', '        ', 'List', '<', 'String', '>', ' ', 'params', ' ', '=', ' ', 'new', ' ', 'ArrayList', '<', '>', '(', 'Arrays', '.', 'asList', '(', 'fieldValues', ')', ')', ';', '\n', '        ', 'params', '.', 'add', '(', '0', ',', ' ', 'ptype', ')', ';', '\n', '        ', 'String', ' ', 'delSql', ' ', '=', ' ', 'DELETE_POLICY_SQL', ';', '\n', '        ', 'int', ' ', 'columnIndex', ' ', '=', ' ', 'fieldIndex', ';', '\n', '        ', 'for', ' ', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', 'fieldValues', '.', 'length', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '            ', 'delSql', ' ', '=', ' ', 'String', '.', 'format', '(', '""', '%s%s%s%s', '""', ',', ' ', 'delSql', ',', ' ', '""', ' AND v', '""', ',', ' ', 'columnIndex', ',', ' ', '""', ' = ? ', '""', ')', ';', '\n', '            ', 'columnIndex', '+', '+', ';', '\n', '        ', '}', '\n', '        ', 'int', ' ', 'rows', ' ', '=', ' ', 'jdbcTemplate', '.', 'update', '(', 'delSql', ',', ' ', 'params', '.', 'toArray', '(', ')', ')', ';', '\n', '        ', 'if', ' ', '(', 'rows', ' ', '<', ' ', '1', ')', ' ', '{', '\n', '            ', 'throw', ' ', 'new', ' ', 'CasbinAdapterException', '(', 'String', '.', 'format', '(', '""', 'Remove filtered policy error, remove %d rows, expect least 1 rows', '""', ',', ' ', 'rows', ')', ')', ';', '\n', '<END>']"
master,fa8a09728d8f55260a3fbcdfa150ce432b9385dd,OracleAdapter.java,initTable,"    protected void initTable() {
        Integer count = jdbcTemplate.queryForObject(CHECK_TABLE_EXIST, Integer.class);
        if (count != null && count == 0) {
            super.initTable();",https://www.github.com/jcasbin/casbin-spring-boot-starter/commit/fa8a09728d8f55260a3fbcdfa150ce432b9385dd,"    protected void initTable() {
        Integer count = jdbcTemplate.queryForObject(CHECK_TABLE_EXIST, Integer.class);
        if (count != null && count == 0) {
            super.initTable();
","['    ', 'protected', ' ', 'void', ' ', 'initTable', '(', ')', ' ', '{', '\n', '        ', 'Integer', ' ', 'count', ' ', '=', ' ', 'jdbcTemplate', '.', 'queryForObject', '(', 'CHECK_TABLE_EXIST', ',', ' ', 'Integer', '.', 'class', ')', ';', '\n', '        ', 'if', ' ', '(', 'count', ' ', '!', '=', ' ', 'null', ' ', '&', '&', ' ', 'count', ' ', '=', '=', ' ', '0', ')', ' ', '{', '\n', '            ', 'super', '.', 'initTable', '(', ')', ';', '\n', '<END>']"
