Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,659837f22619274386e7944e0cf78ccb2967f2c3,Command.java,addParams,"	public void addParams(Param... params){
		for(Param param : params){
			addParam(param);",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public void addParams(Param... params){
		for(Param param : params){
			addParam(param);
","['\t', 'public', ' ', 'void', ' ', 'addParams', '(', 'Param', '.', '.', '.', ' ', 'params', ')', '{', '\n', '\t\t', 'for', '(', 'Param', ' ', 'param', ' ', ':', ' ', 'params', ')', '{', '\n', '\t\t\t', 'addParam', '(', 'param', ')', ';', '\n']"
master,659837f22619274386e7944e0cf78ccb2967f2c3,Command.java,addParam,"	public void addParam(Param param){
		params.add(param);
	}",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public void addParam(Param param){
		params.add(param);
	}
","['\t', 'public', ' ', 'void', ' ', 'addParam', '(', 'Param', ' ', 'param', ')', '{', '\n', '\t\t', 'params', '.', 'add', '(', 'param', ')', ';', '\n', '\t', '}', '\n']"
master,659837f22619274386e7944e0cf78ccb2967f2c3,HtmlToPdfUtils.java,execute,"	public static void execute(Pdf pdf){
		
		pdf.getAttrsAsCommandParams();
		
		Runtime rt = Runtime.getRuntime();
		
		Process proc = rt.exec();
		",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public static void execute(Pdf pdf){
		
		pdf.getAttrsAsCommandParams();
		
		Runtime rt = Runtime.getRuntime();
		
		Process proc = rt.exec();
		
","['\t', 'public', ' ', 'static', ' ', 'void', ' ', 'execute', '(', 'Pdf', ' ', 'pdf', ')', '{', '\n', '\t\t', '\n', '\t\t', 'pdf', '.', 'getAttrsAsCommandParams', '(', ')', ';', '\n', '\t\t', '\n', '\t\t', 'Runtime', ' ', 'rt', ' ', '=', ' ', 'Runtime', '.', 'getRuntime', '(', ')', ';', '\n', '\t\t', '\n', '\t\t', 'Process', ' ', 'proc', ' ', '=', ' ', 'rt', '.', 'exec', '(', ')', ';', '\n', '\t\t', '\n']"
master,659837f22619274386e7944e0cf78ccb2967f2c3,Pdf.java,addPage,"	public void addPage(String page) {
		// TODO Auto-generated method stub
		
	}

	/**
	 * TODO
	 * Add a HTML file, a HTML string or a page from a URL
	 */
	public void addCover(String cover) {
		// TODO Auto-generated method stub
		
	}

	/**
	 * TODO
	 * just the TOC option from wkhtmltopdf
	 */
	public void addToc() {
		// TODO Auto-generated method stub
		
	}

	/**
	 * TODO
	 * save file and returns
	 */
	public File saveAs(String path) {
		// TODO Auto-generated method stub
		return null;
	}

}",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public void addPage(String page) {
		
		
	}

	
	public void addCover(String cover) {
		
		
	}

	
	public void addToc() {
		
		
	}

	
	public File saveAs(String path) {
		
		return null;
	}

}
","['\t', 'public', ' ', 'void', ' ', 'addPage', '(', 'String', ' ', 'page', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', '\n', '\t', '}', '\n', '\n', '\t', '\n', '\t', 'public', ' ', 'void', ' ', 'addCover', '(', 'String', ' ', 'cover', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', '\n', '\t', '}', '\n', '\n', '\t', '\n', '\t', 'public', ' ', 'void', ' ', 'addToc', '(', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', '\n', '\t', '}', '\n', '\n', '\t', '\n', '\t', 'public', ' ', 'File', ' ', 'saveAs', '(', 'String', ' ', 'path', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', 'return', ' ', 'null', ';', '\n', '\t', '}', '\n', '\n', '}', '\n']"
master,659837f22619274386e7944e0cf78ccb2967f2c3,Pdf.java,addCover,"	public void addCover(String cover) {
		// TODO Auto-generated method stub
		
	}

	/**
	 * TODO
	 * just the TOC option from wkhtmltopdf
	 */
	public void addToc() {
		// TODO Auto-generated method stub
		
	}

	/**
	 * TODO
	 * save file and returns
	 */
	public File saveAs(String path) {
		// TODO Auto-generated method stub
		return null;
	}

}",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public void addCover(String cover) {
		
		
	}

	
	public void addToc() {
		
		
	}

	
	public File saveAs(String path) {
		
		return null;
	}

}
","['\t', 'public', ' ', 'void', ' ', 'addCover', '(', 'String', ' ', 'cover', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', '\n', '\t', '}', '\n', '\n', '\t', '\n', '\t', 'public', ' ', 'void', ' ', 'addToc', '(', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', '\n', '\t', '}', '\n', '\n', '\t', '\n', '\t', 'public', ' ', 'File', ' ', 'saveAs', '(', 'String', ' ', 'path', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', 'return', ' ', 'null', ';', '\n', '\t', '}', '\n', '\n', '}', '\n']"
master,659837f22619274386e7944e0cf78ccb2967f2c3,Pdf.java,addToc,"	public void addToc() {
		// TODO Auto-generated method stub
		
	}

	/**
	 * TODO
	 * save file and returns
	 */
	public File saveAs(String path) {
		// TODO Auto-generated method stub
		return null;
	}

}",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public void addToc() {
		
		
	}

	
	public File saveAs(String path) {
		
		return null;
	}

}
","['\t', 'public', ' ', 'void', ' ', 'addToc', '(', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', '\n', '\t', '}', '\n', '\n', '\t', '\n', '\t', 'public', ' ', 'File', ' ', 'saveAs', '(', 'String', ' ', 'path', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', 'return', ' ', 'null', ';', '\n', '\t', '}', '\n', '\n', '}', '\n']"
master,659837f22619274386e7944e0cf78ccb2967f2c3,Pdf.java,saveAs,"	public File saveAs(String path) {
		// TODO Auto-generated method stub
		return null;
	}",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public File saveAs(String path) {
		
		return null;
	}
","['\t', 'public', ' ', 'File', ' ', 'saveAs', '(', 'String', ' ', 'path', ')', ' ', '{', '\n', '\t\t', '\n', '\t\t', 'return', ' ', 'null', ';', '\n', '\t', '}', '\n']"
master,659837f22619274386e7944e0cf78ccb2967f2c3,PdfService.java,addPage,"	public void addPage(String page);
	
	public void addCover(String cover);
	
	public void addToc();
	
	public File saveAs(String path);

}",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public void addPage(String page);
	
	public void addCover(String cover);
	
	public void addToc();
	
	public File saveAs(String path);

}
","['\t', 'public', ' ', 'void', ' ', 'addPage', '(', 'String', ' ', 'page', ')', ';', '\n', '\t', '\n', '\t', 'public', ' ', 'void', ' ', 'addCover', '(', 'String', ' ', 'cover', ')', ';', '\n', '\t', '\n', '\t', 'public', ' ', 'void', ' ', 'addToc', '(', ')', ';', '\n', '\t', '\n', '\t', 'public', ' ', 'File', ' ', 'saveAs', '(', 'String', ' ', 'path', ')', ';', '\n', '\n', '}', '\n']"
master,659837f22619274386e7944e0cf78ccb2967f2c3,PdfService.java,addCover,"	public void addCover(String cover);
	
	public void addToc();
	
	public File saveAs(String path);

}",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public void addCover(String cover);
	
	public void addToc();
	
	public File saveAs(String path);

}
","['\t', 'public', ' ', 'void', ' ', 'addCover', '(', 'String', ' ', 'cover', ')', ';', '\n', '\t', '\n', '\t', 'public', ' ', 'void', ' ', 'addToc', '(', ')', ';', '\n', '\t', '\n', '\t', 'public', ' ', 'File', ' ', 'saveAs', '(', 'String', ' ', 'path', ')', ';', '\n', '\n', '}', '\n']"
master,659837f22619274386e7944e0cf78ccb2967f2c3,PdfService.java,addToc,"	public void addToc();
	
	public File saveAs(String path);

}",https://www.github.com/jhonnymertz/java-wkhtmltopdf-wrapper/commit/659837f22619274386e7944e0cf78ccb2967f2c3,"	public void addToc();
	
	public File saveAs(String path);

}
","['\t', 'public', ' ', 'void', ' ', 'addToc', '(', ')', ';', '\n', '\t', '\n', '\t', 'public', ' ', 'File', ' ', 'saveAs', '(', 'String', ' ', 'path', ')', ';', '\n', '\n', '}', '\n']"
