Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,a16e6c6017262100d39ed3793eff199ab1e289bd,FinderApplication.java,main,"	public static void main(String[] args) {
		SpringApplication.run(FinderApplication.class, args);
	}",https://www.github.com/jiayaoo3o/18-comic-finder/commit/a16e6c6017262100d39ed3793eff199ab1e289bd,"	public static void main(String[] args) {
		SpringApplication.run(FinderApplication.class, args);
	}
","['\t', 'public', ' ', 'static', ' ', 'void', ' ', 'main', '(', 'String', '[', ']', ' ', 'args', ')', ' ', '{', '\n', '\t\t', 'SpringApplication', '.', 'run', '(', 'FinderApplication', '.', 'class', ',', ' ', 'args', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,4b321431e056c11765c8aa080bf91d494d6c9f47,ComicController.java,download,"    public String download(@RequestParam(""homePage"") String homePage) {
        ComicEntity comicInfo = comicService.getComicInfo(homePage);
        comicService.downloadComic(comicInfo);
        return comicInfo.toString();
    }",https://www.github.com/jiayaoo3o/18-comic-finder/commit/4b321431e056c11765c8aa080bf91d494d6c9f47,"    public String download(@RequestParam(""homePage"") String homePage) {
        ComicEntity comicInfo = comicService.getComicInfo(homePage);
        comicService.downloadComic(comicInfo);
        return comicInfo.toString();
    }
","['    ', 'public', ' ', 'String', ' ', 'download', '(', '@RequestParam', '(', '""', 'homePage', '""', ')', ' ', 'String', ' ', 'homePage', ')', ' ', '{', '\n', '        ', 'ComicEntity', ' ', 'comicInfo', ' ', '=', ' ', 'comicService', '.', 'getComicInfo', '(', 'homePage', ')', ';', '\n', '        ', 'comicService', '.', 'downloadComic', '(', 'comicInfo', ')', ';', '\n', '        ', 'return', ' ', 'comicInfo', '.', 'toString', '(', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,4b321431e056c11765c8aa080bf91d494d6c9f47,ComicService.java,reverseImage,"    private BufferedImage reverseImage(BufferedImage bufferedImage) {
        int height = bufferedImage.getHeight();
        int width = bufferedImage.getWidth();
        int preImgHeight = height / 10;
        BufferedImage result = new BufferedImage(width, height, BufferedImage.TYPE_INT_RGB);
        Graphics2D graphics = result.createGraphics();
        for(int i = 0; i < 10; i++) {
            BufferedImage subimage = bufferedImage.getSubimage(0, i * preImgHeight, width, preImgHeight);
            graphics.drawImage(subimage, null, 0, height - (i + 1) * preImgHeight);
        }
        return result;
    }",https://www.github.com/jiayaoo3o/18-comic-finder/commit/4b321431e056c11765c8aa080bf91d494d6c9f47,"    private BufferedImage reverseImage(BufferedImage bufferedImage) {
        int height = bufferedImage.getHeight();
        int width = bufferedImage.getWidth();
        int preImgHeight = height / 10;
        BufferedImage result = new BufferedImage(width, height, BufferedImage.TYPE_INT_RGB);
        Graphics2D graphics = result.createGraphics();
        for(int i = 0; i < 10; i++) {
            BufferedImage subimage = bufferedImage.getSubimage(0, i * preImgHeight, width, preImgHeight);
            graphics.drawImage(subimage, null, 0, height - (i + 1) * preImgHeight);
        }
        return result;
    }
","['    ', 'private', ' ', 'BufferedImage', ' ', 'reverseImage', '(', 'BufferedImage', ' ', 'bufferedImage', ')', ' ', '{', '\n', '        ', 'int', ' ', 'height', ' ', '=', ' ', 'bufferedImage', '.', 'getHeight', '(', ')', ';', '\n', '        ', 'int', ' ', 'width', ' ', '=', ' ', 'bufferedImage', '.', 'getWidth', '(', ')', ';', '\n', '        ', 'int', ' ', 'preImgHeight', ' ', '=', ' ', 'height', ' ', '/', ' ', '10', ';', '\n', '        ', 'BufferedImage', ' ', 'result', ' ', '=', ' ', 'new', ' ', 'BufferedImage', '(', 'width', ',', ' ', 'height', ',', ' ', 'BufferedImage', '.', 'TYPE_INT_RGB', ')', ';', '\n', '        ', 'Graphics2D', ' ', 'graphics', ' ', '=', ' ', 'result', '.', 'createGraphics', '(', ')', ';', '\n', '        ', 'for', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', '10', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '            ', 'BufferedImage', ' ', 'subimage', ' ', '=', ' ', 'bufferedImage', '.', 'getSubimage', '(', '0', ',', ' ', 'i', ' ', '*', ' ', 'preImgHeight', ',', ' ', 'width', ',', ' ', 'preImgHeight', ')', ';', '\n', '            ', 'graphics', '.', 'drawImage', '(', 'subimage', ',', ' ', 'null', ',', ' ', '0', ',', ' ', 'height', ' ', '-', ' ', '(', 'i', ' ', '+', ' ', '1', ')', ' ', '*', ' ', 'preImgHeight', ')', ';', '\n', '        ', '}', '\n', '        ', 'return', ' ', 'result', ';', '\n', '    ', '}', '\n', '<END>']"
master,4b321431e056c11765c8aa080bf91d494d6c9f47,ComicService.java,saveImage,"    private void saveImage(Map<String, BufferedImage> imageMap) {
        for(Map.Entry<String, BufferedImage> imageEntry : imageMap.entrySet()) {
            String image = imageEntry.getKey();",https://www.github.com/jiayaoo3o/18-comic-finder/commit/4b321431e056c11765c8aa080bf91d494d6c9f47,"    private void saveImage(Map<String, BufferedImage> imageMap) {
        for(Map.Entry<String, BufferedImage> imageEntry : imageMap.entrySet()) {
            String image = imageEntry.getKey();
","['    ', 'private', ' ', 'void', ' ', 'saveImage', '(', 'Map', '<', 'String', ',', ' ', 'BufferedImage', '>', ' ', 'imageMap', ')', ' ', '{', '\n', '        ', 'for', '(', 'Map', '.', 'Entry', '<', 'String', ',', ' ', 'BufferedImage', '>', ' ', 'imageEntry', ' ', ':', ' ', 'imageMap', '.', 'entrySet', '(', ')', ')', ' ', '{', '\n', '            ', 'String', ' ', 'image', ' ', '=', ' ', 'imageEntry', '.', 'getKey', '(', ')', ';', '\n', '<END>']"
master,fac1ec551f82a9e4676c89fad242f1b9fe345f28,AsyncTaskService.java,reverseImage,"    public Future<BufferedImage> reverseImage(BufferedImage bufferedImage) {
        int height = bufferedImage.getHeight();
        int width = bufferedImage.getWidth();
        int preImgHeight = height / 10;
        BufferedImage result = new BufferedImage(width, height, BufferedImage.TYPE_INT_RGB);
        Graphics2D graphics = result.createGraphics();
        for(int i = 0; i < 10; i++) {
            BufferedImage subimage = bufferedImage.getSubimage(0, i * preImgHeight, width, preImgHeight);
            graphics.drawImage(subimage, null, 0, height - (i + 1) * preImgHeight);
        }
        return new AsyncResult<>(result);
    }",https://www.github.com/jiayaoo3o/18-comic-finder/commit/fac1ec551f82a9e4676c89fad242f1b9fe345f28,"    public Future<BufferedImage> reverseImage(BufferedImage bufferedImage) {
        int height = bufferedImage.getHeight();
        int width = bufferedImage.getWidth();
        int preImgHeight = height / 10;
        BufferedImage result = new BufferedImage(width, height, BufferedImage.TYPE_INT_RGB);
        Graphics2D graphics = result.createGraphics();
        for(int i = 0; i < 10; i++) {
            BufferedImage subimage = bufferedImage.getSubimage(0, i * preImgHeight, width, preImgHeight);
            graphics.drawImage(subimage, null, 0, height - (i + 1) * preImgHeight);
        }
        return new AsyncResult<>(result);
    }
","['    ', 'public', ' ', 'Future', '<', 'BufferedImage', '>', ' ', 'reverseImage', '(', 'BufferedImage', ' ', 'bufferedImage', ')', ' ', '{', '\n', '        ', 'int', ' ', 'height', ' ', '=', ' ', 'bufferedImage', '.', 'getHeight', '(', ')', ';', '\n', '        ', 'int', ' ', 'width', ' ', '=', ' ', 'bufferedImage', '.', 'getWidth', '(', ')', ';', '\n', '        ', 'int', ' ', 'preImgHeight', ' ', '=', ' ', 'height', ' ', '/', ' ', '10', ';', '\n', '        ', 'BufferedImage', ' ', 'result', ' ', '=', ' ', 'new', ' ', 'BufferedImage', '(', 'width', ',', ' ', 'height', ',', ' ', 'BufferedImage', '.', 'TYPE_INT_RGB', ')', ';', '\n', '        ', 'Graphics2D', ' ', 'graphics', ' ', '=', ' ', 'result', '.', 'createGraphics', '(', ')', ';', '\n', '        ', 'for', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', '10', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '            ', 'BufferedImage', ' ', 'subimage', ' ', '=', ' ', 'bufferedImage', '.', 'getSubimage', '(', '0', ',', ' ', 'i', ' ', '*', ' ', 'preImgHeight', ',', ' ', 'width', ',', ' ', 'preImgHeight', ')', ';', '\n', '            ', 'graphics', '.', 'drawImage', '(', 'subimage', ',', ' ', 'null', ',', ' ', '0', ',', ' ', 'height', ' ', '-', ' ', '(', 'i', ' ', '+', ' ', '1', ')', ' ', '*', ' ', 'preImgHeight', ')', ';', '\n', '        ', '}', '\n', '        ', 'return', ' ', 'new', ' ', 'AsyncResult', '<', '>', '(', 'result', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,fac1ec551f82a9e4676c89fad242f1b9fe345f28,AsyncTaskService.java,saveImage,"    public void saveImage(String path, BufferedImage bufferedImage) {
        try {
            ImageIO.write(bufferedImage, ""jpg"", FileUtil.file(path));",https://www.github.com/jiayaoo3o/18-comic-finder/commit/fac1ec551f82a9e4676c89fad242f1b9fe345f28,"    public void saveImage(String path, BufferedImage bufferedImage) {
        try {
            ImageIO.write(bufferedImage, ""jpg"", FileUtil.file(path));
","['    ', 'public', ' ', 'void', ' ', 'saveImage', '(', 'String', ' ', 'path', ',', ' ', 'BufferedImage', ' ', 'bufferedImage', ')', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'ImageIO', '.', 'write', '(', 'bufferedImage', ',', ' ', '""', 'jpg', '""', ',', ' ', 'FileUtil', '.', 'file', '(', 'path', ')', ')', ';', '\n', '<END>']"
master,fac1ec551f82a9e4676c89fad242f1b9fe345f28,ComicService.java,getComicInfo,"    public ComicEntity getComicInfo(String comicHomePage) throws ExecutionException, InterruptedException {
        ComicEntity comicEntity = new ComicEntity();
        HttpResponse httpResponse = HttpUtil.createPost(comicHomePage).cookie(cookie).setHttpProxy(proxyHost, proxyPort).execute();
        String body = httpResponse.body();
        String title = StrUtil.subBetween(body, ""<div itemprop=\""name\"" class=\""pull-left\"">\n"", ""\n</div>"");
        title = StrUtil.replaceChars(title, new char[]{'/', '\\'}, StrUtil.DASHED);
        comicEntity.setTitle(title);
        List<ChapterEntity> chapterEntities = taskService.getChapterInfo(body, comicHomePage).get();
        for(ChapterEntity chapterEntity : chapterEntities) {
            chapterEntity.setPhotos(taskService.getPhotoInfo(chapterEntity).get());
        }
        comicEntity.setChapters(chapterEntities);
        log.info(comicEntity.toString());
        return comicEntity;
    }",https://www.github.com/jiayaoo3o/18-comic-finder/commit/fac1ec551f82a9e4676c89fad242f1b9fe345f28,"    public ComicEntity getComicInfo(String comicHomePage) throws ExecutionException, InterruptedException {
        ComicEntity comicEntity = new ComicEntity();
        HttpResponse httpResponse = HttpUtil.createPost(comicHomePage).cookie(cookie).setHttpProxy(proxyHost, proxyPort).execute();
        String body = httpResponse.body();
        String title = StrUtil.subBetween(body, ""<div itemprop=\""name\"" class=\""pull-left\"">\n"", ""\n</div>"");
        title = StrUtil.replaceChars(title, new char[]{'/', '\\'}, StrUtil.DASHED);
        comicEntity.setTitle(title);
        List<ChapterEntity> chapterEntities = taskService.getChapterInfo(body, comicHomePage).get();
        for(ChapterEntity chapterEntity : chapterEntities) {
            chapterEntity.setPhotos(taskService.getPhotoInfo(chapterEntity).get());
        }
        comicEntity.setChapters(chapterEntities);
        log.info(comicEntity.toString());
        return comicEntity;
    }
","['    ', 'public', ' ', 'ComicEntity', ' ', 'getComicInfo', '(', 'String', ' ', 'comicHomePage', ')', ' ', 'throws', ' ', 'ExecutionException', ',', ' ', 'InterruptedException', ' ', '{', '\n', '        ', 'ComicEntity', ' ', 'comicEntity', ' ', '=', ' ', 'new', ' ', 'ComicEntity', '(', ')', ';', '\n', '        ', 'HttpResponse', ' ', 'httpResponse', ' ', '=', ' ', 'HttpUtil', '.', 'createPost', '(', 'comicHomePage', ')', '.', 'cookie', '(', 'cookie', ')', '.', 'setHttpProxy', '(', 'proxyHost', ',', ' ', 'proxyPort', ')', '.', 'execute', '(', ')', ';', '\n', '        ', 'String', ' ', 'body', ' ', '=', ' ', 'httpResponse', '.', 'body', '(', ')', ';', '\n', '        ', 'String', ' ', 'title', ' ', '=', ' ', 'StrUtil', '.', 'subBetween', '(', 'body', ',', ' ', '""', '<div itemprop=', '\\""', 'name', '\\""', ' class=', '\\""', 'pull-left', '\\""', '>', '\\', 'n', '""', ',', ' ', '""', '\\', 'n</div>', '""', ')', ';', '\n', '        ', 'title', ' ', '=', ' ', 'StrUtil', '.', 'replaceChars', '(', 'title', ',', ' ', 'new', ' ', 'char', '[', ']', '{', ""'/'"", ',', ' ', ""'\\\\'"", '}', ',', ' ', 'StrUtil', '.', 'DASHED', ')', ';', '\n', '        ', 'comicEntity', '.', 'setTitle', '(', 'title', ')', ';', '\n', '        ', 'List', '<', 'ChapterEntity', '>', ' ', 'chapterEntities', ' ', '=', ' ', 'taskService', '.', 'getChapterInfo', '(', 'body', ',', ' ', 'comicHomePage', ')', '.', 'get', '(', ')', ';', '\n', '        ', 'for', '(', 'ChapterEntity', ' ', 'chapterEntity', ' ', ':', ' ', 'chapterEntities', ')', ' ', '{', '\n', '            ', 'chapterEntity', '.', 'setPhotos', '(', 'taskService', '.', 'getPhotoInfo', '(', 'chapterEntity', ')', '.', 'get', '(', ')', ')', ';', '\n', '        ', '}', '\n', '        ', 'comicEntity', '.', 'setChapters', '(', 'chapterEntities', ')', ';', '\n', '        ', 'log', '.', 'info', '(', 'comicEntity', '.', 'toString', '(', ')', ')', ';', '\n', '        ', 'return', ' ', 'comicEntity', ';', '\n', '    ', '}', '\n', '<END>']"
master,a6d34278654849d519b1c6044134d581b6b90237,AsyncTaskService.java,createPost,"    public HttpRequest createPost(String url) {
        HttpRequest post = HttpUtil.createPost(url);
        if((proxyHost != null && proxyPort == 0)) {
            post.setHttpProxy(proxyHost, proxyPort);
        }
        if(cookie != null) {
            post.cookie(cookie);
        }
        return post;
    }",https://www.github.com/jiayaoo3o/18-comic-finder/commit/a6d34278654849d519b1c6044134d581b6b90237,"    public HttpRequest createPost(String url) {
        HttpRequest post = HttpUtil.createPost(url);
        if((proxyHost != null && proxyPort == 0)) {
            post.setHttpProxy(proxyHost, proxyPort);
        }
        if(cookie != null) {
            post.cookie(cookie);
        }
        return post;
    }
","['    ', 'public', ' ', 'HttpRequest', ' ', 'createPost', '(', 'String', ' ', 'url', ')', ' ', '{', '\n', '        ', 'HttpRequest', ' ', 'post', ' ', '=', ' ', 'HttpUtil', '.', 'createPost', '(', 'url', ')', ';', '\n', '        ', 'if', '(', '(', 'proxyHost', ' ', '!', '=', ' ', 'null', ' ', '&', '&', ' ', 'proxyPort', ' ', '=', '=', ' ', '0', ')', ')', ' ', '{', '\n', '            ', 'post', '.', 'setHttpProxy', '(', 'proxyHost', ',', ' ', 'proxyPort', ')', ';', '\n', '        ', '}', '\n', '        ', 'if', '(', 'cookie', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'post', '.', 'cookie', '(', 'cookie', ')', ';', '\n', '        ', '}', '\n', '        ', 'return', ' ', 'post', ';', '\n', '    ', '}', '\n', '<END>']"
master,a6d34278654849d519b1c6044134d581b6b90237,ComicService.java,getComicInfo,"    public ComicEntity getComicInfo(String comicHomePage) throws ExecutionException, InterruptedException {
        ComicEntity comicEntity = new ComicEntity();
        HttpResponse httpResponse = taskService.createPost(comicHomePage).execute();
        String body = httpResponse.body();
        String title = StrUtil.subBetween(body, ""<div itemprop=\""name\"" class=\""pull-left\"">\n"", ""\n</div>"");
        title = StrUtil.replaceChars(title, new char[]{'/', '\\'}, StrUtil.DASHED);
        comicEntity.setTitle(title);
        List<ChapterEntity> chapterEntities = taskService.getChapterInfo(body, comicHomePage).get();
        for(ChapterEntity chapterEntity : chapterEntities) {
            chapterEntity.setPhotos(taskService.getPhotoInfo(chapterEntity).get());
        }
        comicEntity.setChapters(chapterEntities);
        log.info(comicEntity.toString());
        return comicEntity;
    }",https://www.github.com/jiayaoo3o/18-comic-finder/commit/a6d34278654849d519b1c6044134d581b6b90237,"    public ComicEntity getComicInfo(String comicHomePage) throws ExecutionException, InterruptedException {
        ComicEntity comicEntity = new ComicEntity();
        HttpResponse httpResponse = taskService.createPost(comicHomePage).execute();
        String body = httpResponse.body();
        String title = StrUtil.subBetween(body, ""<div itemprop=\""name\"" class=\""pull-left\"">\n"", ""\n</div>"");
        title = StrUtil.replaceChars(title, new char[]{'/', '\\'}, StrUtil.DASHED);
        comicEntity.setTitle(title);
        List<ChapterEntity> chapterEntities = taskService.getChapterInfo(body, comicHomePage).get();
        for(ChapterEntity chapterEntity : chapterEntities) {
            chapterEntity.setPhotos(taskService.getPhotoInfo(chapterEntity).get());
        }
        comicEntity.setChapters(chapterEntities);
        log.info(comicEntity.toString());
        return comicEntity;
    }
","['    ', 'public', ' ', 'ComicEntity', ' ', 'getComicInfo', '(', 'String', ' ', 'comicHomePage', ')', ' ', 'throws', ' ', 'ExecutionException', ',', ' ', 'InterruptedException', ' ', '{', '\n', '        ', 'ComicEntity', ' ', 'comicEntity', ' ', '=', ' ', 'new', ' ', 'ComicEntity', '(', ')', ';', '\n', '        ', 'HttpResponse', ' ', 'httpResponse', ' ', '=', ' ', 'taskService', '.', 'createPost', '(', 'comicHomePage', ')', '.', 'execute', '(', ')', ';', '\n', '        ', 'String', ' ', 'body', ' ', '=', ' ', 'httpResponse', '.', 'body', '(', ')', ';', '\n', '        ', 'String', ' ', 'title', ' ', '=', ' ', 'StrUtil', '.', 'subBetween', '(', 'body', ',', ' ', '""', '<div itemprop=', '\\""', 'name', '\\""', ' class=', '\\""', 'pull-left', '\\""', '>', '\\', 'n', '""', ',', ' ', '""', '\\', 'n</div>', '""', ')', ';', '\n', '        ', 'title', ' ', '=', ' ', 'StrUtil', '.', 'replaceChars', '(', 'title', ',', ' ', 'new', ' ', 'char', '[', ']', '{', ""'/'"", ',', ' ', ""'\\\\'"", '}', ',', ' ', 'StrUtil', '.', 'DASHED', ')', ';', '\n', '        ', 'comicEntity', '.', 'setTitle', '(', 'title', ')', ';', '\n', '        ', 'List', '<', 'ChapterEntity', '>', ' ', 'chapterEntities', ' ', '=', ' ', 'taskService', '.', 'getChapterInfo', '(', 'body', ',', ' ', 'comicHomePage', ')', '.', 'get', '(', ')', ';', '\n', '        ', 'for', '(', 'ChapterEntity', ' ', 'chapterEntity', ' ', ':', ' ', 'chapterEntities', ')', ' ', '{', '\n', '            ', 'chapterEntity', '.', 'setPhotos', '(', 'taskService', '.', 'getPhotoInfo', '(', 'chapterEntity', ')', '.', 'get', '(', ')', ')', ';', '\n', '        ', '}', '\n', '        ', 'comicEntity', '.', 'setChapters', '(', 'chapterEntities', ')', ';', '\n', '        ', 'log', '.', 'info', '(', 'comicEntity', '.', 'toString', '(', ')', ')', ';', '\n', '        ', 'return', ' ', 'comicEntity', ';', '\n', '    ', '}', '\n', '<END>']"
master,95de6be85b76e1ca3c3a9ed79d3d06da49b51ab1,AsyncTaskService.java,createPost,"    public HttpRequest createPost(String url) {
        HttpRequest post = HttpUtil.createPost(url);
        if((proxyHost != null && proxyPort != 0)) {
            post.setHttpProxy(proxyHost, proxyPort);
        }
        if(cookie != null) {
            post.cookie(cookie);
        }
        return post;
    }",https://www.github.com/jiayaoo3o/18-comic-finder/commit/95de6be85b76e1ca3c3a9ed79d3d06da49b51ab1,"    public HttpRequest createPost(String url) {
        HttpRequest post = HttpUtil.createPost(url);
        if((proxyHost != null && proxyPort != 0)) {
            post.setHttpProxy(proxyHost, proxyPort);
        }
        if(cookie != null) {
            post.cookie(cookie);
        }
        return post;
    }
","['    ', 'public', ' ', 'HttpRequest', ' ', 'createPost', '(', 'String', ' ', 'url', ')', ' ', '{', '\n', '        ', 'HttpRequest', ' ', 'post', ' ', '=', ' ', 'HttpUtil', '.', 'createPost', '(', 'url', ')', ';', '\n', '        ', 'if', '(', '(', 'proxyHost', ' ', '!', '=', ' ', 'null', ' ', '&', '&', ' ', 'proxyPort', ' ', '!', '=', ' ', '0', ')', ')', ' ', '{', '\n', '            ', 'post', '.', 'setHttpProxy', '(', 'proxyHost', ',', ' ', 'proxyPort', ')', ';', '\n', '        ', '}', '\n', '        ', 'if', '(', 'cookie', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'post', '.', 'cookie', '(', 'cookie', ')', ';', '\n', '        ', '}', '\n', '        ', 'return', ' ', 'post', ';', '\n', '    ', '}', '\n', '<END>']"
