Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,processPage,"    protected void processPage(PDPage page, COSStream content ) throws IOException {
        PDRectangle pageRectangle = page.findMediaBox(); 
        if (pageRectangle!= null) {
            this.setCurrentPageWidth(pageRectangle.getWidth());",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    protected void processPage(PDPage page, COSStream content ) throws IOException {
        PDRectangle pageRectangle = page.findMediaBox(); 
        if (pageRectangle!= null) {
            this.setCurrentPageWidth(pageRectangle.getWidth());
","['    ', 'protected', ' ', 'void', ' ', 'processPage', '(', 'PDPage', ' ', 'page', ',', ' ', 'COSStream', ' ', 'content', ' ', ')', ' ', 'throws', ' ', 'IOException', ' ', '{', '\n', '        ', 'PDRectangle', ' ', 'pageRectangle', ' ', '=', ' ', 'page', '.', 'findMediaBox', '(', ')', ';', ' ', '\n', '        ', 'if', ' ', '(', 'pageRectangle', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'this', '.', 'setCurrentPageWidth', '(', 'pageRectangle', '.', 'getWidth', '(', ')', ')', ';', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,writePage,"    protected void writePage() throws IOException {
        Vector<List<TextPosition>> charactersByArticle = super.getCharactersByArticle();
        for( int i = 0; i < charactersByArticle.size(); i++) {
           List<TextPosition> textList = charactersByArticle.get(i);
           this.sortTextPositionList(textList);
           this.iterateThroughTextList(textList.iterator()) ;
        }
        this.writeToOutputStream(this.getTextLineList());
    }",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    protected void writePage() throws IOException {
        Vector<List<TextPosition>> charactersByArticle = super.getCharactersByArticle();
        for( int i = 0; i < charactersByArticle.size(); i++) {
           List<TextPosition> textList = charactersByArticle.get(i);
           this.sortTextPositionList(textList);
           this.iterateThroughTextList(textList.iterator()) ;
        }
        this.writeToOutputStream(this.getTextLineList());
    }
","['    ', 'protected', ' ', 'void', ' ', 'writePage', '(', ')', ' ', 'throws', ' ', 'IOException', ' ', '{', '\n', '        ', 'Vector', '<', 'List', '<', 'TextPosition', '>', '>', ' ', 'charactersByArticle', ' ', '=', ' ', 'super', '.', 'getCharactersByArticle', '(', ')', ';', '\n', '        ', 'for', '(', ' ', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', 'charactersByArticle', '.', 'size', '(', ')', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '           ', 'List', '<', 'TextPosition', '>', ' ', 'textList', ' ', '=', ' ', 'charactersByArticle', '.', 'get', '(', 'i', ')', ';', '\n', '           ', 'this', '.', 'sortTextPositionList', '(', 'textList', ')', ';', '\n', '           ', 'this', '.', 'iterateThroughTextList', '(', 'textList', '.', 'iterator', '(', ')', ')', ' ', ';', '\n', '        ', '}', '\n', '        ', 'this', '.', 'writeToOutputStream', '(', 'this', '.', 'getTextLineList', '(', ')', ')', ';', '\n', '    ', '}', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,writeToOutputStream,"    private void writeToOutputStream(final List<TextLine> textLineList) throws IOException {
        for (TextLine textLine : textLineList) {
            char[] line = textLine.getLine().toCharArray();",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    private void writeToOutputStream(final List<TextLine> textLineList) throws IOException {
        for (TextLine textLine : textLineList) {
            char[] line = textLine.getLine().toCharArray();
","['    ', 'private', ' ', 'void', ' ', 'writeToOutputStream', '(', 'final', ' ', 'List', '<', 'TextLine', '>', ' ', 'textLineList', ')', ' ', 'throws', ' ', 'IOException', ' ', '{', '\n', '        ', 'for', ' ', '(', 'TextLine', ' ', 'textLine', ' ', ':', ' ', 'textLineList', ')', ' ', '{', '\n', '            ', 'char', '[', ']', ' ', 'line', ' ', '=', ' ', 'textLine', '.', 'getLine', '(', ')', '.', 'toCharArray', '(', ')', ';', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,sortTextPositionList,"    private void sortTextPositionList(final List<TextPosition> textList) {
        TextPositionComparator comparator = new TextPositionComparator();
        Collections.sort(textList, comparator);
    }",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    private void sortTextPositionList(final List<TextPosition> textList) {
        TextPositionComparator comparator = new TextPositionComparator();
        Collections.sort(textList, comparator);
    }
","['    ', 'private', ' ', 'void', ' ', 'sortTextPositionList', '(', 'final', ' ', 'List', '<', 'TextPosition', '>', ' ', 'textList', ')', ' ', '{', '\n', '        ', 'TextPositionComparator', ' ', 'comparator', ' ', '=', ' ', 'new', ' ', 'TextPositionComparator', '(', ')', ';', '\n', '        ', 'Collections', '.', 'sort', '(', 'textList', ',', ' ', 'comparator', ')', ';', '\n', '    ', '}', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,computeAverageCharacterWidth,"    private int computeAverageCharacterWidth(final List<TextPosition> textPositionList) {
        if (textPositionList.size() == 0) {
            return 0;",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    private int computeAverageCharacterWidth(final List<TextPosition> textPositionList) {
        if (textPositionList.size() == 0) {
            return 0;
","['    ', 'private', ' ', 'int', ' ', 'computeAverageCharacterWidth', '(', 'final', ' ', 'List', '<', 'TextPosition', '>', ' ', 'textPositionList', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'textPositionList', '.', 'size', '(', ')', ' ', '=', '=', ' ', '0', ')', ' ', '{', '\n', '            ', 'return', ' ', '0', ';', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,writeLine,"    private void writeLine(final List<TextPosition> textPositionList) {
        if ( textPositionList.size() > 0 ) {
            TextLine textLine = this.addNewLine();",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    private void writeLine(final List<TextPosition> textPositionList) {
        if ( textPositionList.size() > 0 ) {
            TextLine textLine = this.addNewLine();
","['    ', 'private', ' ', 'void', ' ', 'writeLine', '(', 'final', ' ', 'List', '<', 'TextPosition', '>', ' ', 'textPositionList', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', ' ', 'textPositionList', '.', 'size', '(', ')', ' ', '>', ' ', '0', ' ', ')', ' ', '{', '\n', '            ', 'TextLine', ' ', 'textLine', ' ', '=', ' ', 'this', '.', 'addNewLine', '(', ')', ';', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,iterateThroughTextList,"    private void iterateThroughTextList(Iterator<TextPosition> textIterator) {
        List<TextPosition> textPositionList = new ArrayList<TextPosition>();
        
        while ( textIterator.hasNext() ) {
            TextPosition textPosition = (TextPosition)textIterator.next();",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    private void iterateThroughTextList(Iterator<TextPosition> textIterator) {
        List<TextPosition> textPositionList = new ArrayList<TextPosition>();
        
        while ( textIterator.hasNext() ) {
            TextPosition textPosition = (TextPosition)textIterator.next();
","['    ', 'private', ' ', 'void', ' ', 'iterateThroughTextList', '(', 'Iterator', '<', 'TextPosition', '>', ' ', 'textIterator', ')', ' ', '{', '\n', '        ', 'List', '<', 'TextPosition', '>', ' ', 'textPositionList', ' ', '=', ' ', 'new', ' ', 'ArrayList', '<', 'TextPosition', '>', '(', ')', ';', '\n', '        ', '\n', '        ', 'while', ' ', '(', ' ', 'textIterator', '.', 'hasNext', '(', ')', ' ', ')', ' ', '{', '\n', '            ', 'TextPosition', ' ', 'textPosition', ' ', '=', ' ', '(', 'TextPosition', ')', 'textIterator', '.', 'next', '(', ')', ';', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,writeTextPositionList,"    private void writeTextPositionList(final List<TextPosition> textPositionList) {
        this.writeLine(textPositionList);
        textPositionList.clear();
    }",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    private void writeTextPositionList(final List<TextPosition> textPositionList) {
        this.writeLine(textPositionList);
        textPositionList.clear();
    }
","['    ', 'private', ' ', 'void', ' ', 'writeTextPositionList', '(', 'final', ' ', 'List', '<', 'TextPosition', '>', ' ', 'textPositionList', ')', ' ', '{', '\n', '        ', 'this', '.', 'writeLine', '(', 'textPositionList', ')', ';', '\n', '        ', 'textPositionList', '.', 'clear', '(', ')', ';', '\n', '    ', '}', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,createNewEmptyNewLines,"    private void createNewEmptyNewLines(int numberOfNewLines) {
        for (int i = 0; i < numberOfNewLines - 1; ++i) {
            this.addNewLine();",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    private void createNewEmptyNewLines(int numberOfNewLines) {
        for (int i = 0; i < numberOfNewLines - 1; ++i) {
            this.addNewLine();
","['    ', 'private', ' ', 'void', ' ', 'createNewEmptyNewLines', '(', 'int', ' ', 'numberOfNewLines', ')', ' ', '{', '\n', '        ', 'for', ' ', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', 'numberOfNewLines', ' ', '-', ' ', '1', ';', ' ', '+', '+', 'i', ')', ' ', '{', '\n', '            ', 'this', '.', 'addNewLine', '(', ')', ';', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,addNewLine,"    private TextLine addNewLine() {
        TextLine textLine = new TextLine(this.getCurrentPageWidth());
        textLineList.add(textLine);
        return textLine;
    }",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    private TextLine addNewLine() {
        TextLine textLine = new TextLine(this.getCurrentPageWidth());
        textLineList.add(textLine);
        return textLine;
    }
","['    ', 'private', ' ', 'TextLine', ' ', 'addNewLine', '(', ')', ' ', '{', '\n', '        ', 'TextLine', ' ', 'textLine', ' ', '=', ' ', 'new', ' ', 'TextLine', '(', 'this', '.', 'getCurrentPageWidth', '(', ')', ')', ';', '\n', '        ', 'textLineList', '.', 'add', '(', 'textLine', ')', ';', '\n', '        ', 'return', ' ', 'textLine', ';', '\n', '    ', '}', '\n']"
master,fa272ca6b7db2236a999ce0b0c2f770d9d09d888,PDFLayoutTextStripper.java,writeCharacterAtIndex,"    public void writeCharacterAtIndex(final Character character) {
        character.setIndex(this.computeIndexForCharacter(character));
        int index = character.getIndex();
        char characterValue = character.getCharacterValue();
        if ( this.indexIsInBounds(index) && this.line.charAt(index) == SPACE_CHARACTER) {
            this.line = this.line.substring(0, index) + characterValue + this.line.substring(index + 1, this.getLineLength());",https://www.github.com/jonathanlink/pdflayouttextstripper/commit/fa272ca6b7db2236a999ce0b0c2f770d9d09d888,"    public void writeCharacterAtIndex(final Character character) {
        character.setIndex(this.computeIndexForCharacter(character));
        int index = character.getIndex();
        char characterValue = character.getCharacterValue();
        if ( this.indexIsInBounds(index) && this.line.charAt(index) == SPACE_CHARACTER) {
            this.line = this.line.substring(0, index) + characterValue + this.line.substring(index + 1, this.getLineLength());
","['    ', 'public', ' ', 'void', ' ', 'writeCharacterAtIndex', '(', 'final', ' ', 'Character', ' ', 'character', ')', ' ', '{', '\n', '        ', 'character', '.', 'setIndex', '(', 'this', '.', 'computeIndexForCharacter', '(', 'character', ')', ')', ';', '\n', '        ', 'int', ' ', 'index', ' ', '=', ' ', 'character', '.', 'getIndex', '(', ')', ';', '\n', '        ', 'char', ' ', 'characterValue', ' ', '=', ' ', 'character', '.', 'getCharacterValue', '(', ')', ';', '\n', '        ', 'if', ' ', '(', ' ', 'this', '.', 'indexIsInBounds', '(', 'index', ')', ' ', '&', '&', ' ', 'this', '.', 'line', '.', 'charAt', '(', 'index', ')', ' ', '=', '=', ' ', 'SPACE_CHARACTER', ')', ' ', '{', '\n', '            ', 'this', '.', 'line', ' ', '=', ' ', 'this', '.', 'line', '.', 'substring', '(', '0', ',', ' ', 'index', ')', ' ', '+', ' ', 'characterValue', ' ', '+', ' ', 'this', '.', 'line', '.', 'substring', '(', 'index', ' ', '+', ' ', '1', ',', ' ', 'this', '.', 'getLineLength', '(', ')', ')', ';', '\n']"
