Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,fromJarToFs,"   private void fromJarToFs(String jarPath, String filePath) throws IOException {
      File file = new File(filePath);
      if (file.exists()) {
         boolean success = file.delete();
         if (!success) {
            throw new IOException(""couldn't delete "" + filePath);
         }
      }
      InputStream is = null;
      OutputStream os = null;
      try {
         is = ClassLoader.getSystemClassLoader().getResourceAsStream(jarPath);",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   private void fromJarToFs(String jarPath, String filePath) throws IOException {
      File file = new File(filePath);
      if (file.exists()) {
         boolean success = file.delete();
         if (!success) {
            throw new IOException(""couldn't delete "" + filePath);
         }
      }
      InputStream is = null;
      OutputStream os = null;
      try {
         is = ClassLoader.getSystemClassLoader().getResourceAsStream(jarPath);
","['   ', 'private', ' ', 'void', ' ', 'fromJarToFs', '(', 'String', ' ', 'jarPath', ',', ' ', 'String', ' ', 'filePath', ')', ' ', 'throws', ' ', 'IOException', ' ', '{', '\n', '      ', 'File', ' ', 'file', ' ', '=', ' ', 'new', ' ', 'File', '(', 'filePath', ')', ';', '\n', '      ', 'if', ' ', '(', 'file', '.', 'exists', '(', ')', ')', ' ', '{', '\n', '         ', 'boolean', ' ', 'success', ' ', '=', ' ', 'file', '.', 'delete', '(', ')', ';', '\n', '         ', 'if', ' ', '(', '!', 'success', ')', ' ', '{', '\n', '            ', 'throw', ' ', 'new', ' ', 'IOException', '(', '""', ""couldn't delete "", '""', ' ', '+', ' ', 'filePath', ')', ';', '\n', '         ', '}', '\n', '      ', '}', '\n', '      ', 'InputStream', ' ', 'is', ' ', '=', ' ', 'null', ';', '\n', '      ', 'OutputStream', ' ', 'os', ' ', '=', ' ', 'null', ';', '\n', '      ', 'try', ' ', '{', '\n', '         ', 'is', ' ', '=', ' ', 'ClassLoader', '.', 'getSystemClassLoader', '(', ')', '.', 'getResourceAsStream', '(', 'jarPath', ')', ';', '\n', '<END>']"
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,addHotKeyListener,"   public void addHotKeyListener(HotkeyListener listener) {
      hotkeyListeners.add(listener);
   }",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   public void addHotKeyListener(HotkeyListener listener) {
      hotkeyListeners.add(listener);
   }
","['   ', 'public', ' ', 'void', ' ', 'addHotKeyListener', '(', 'HotkeyListener', ' ', 'listener', ')', ' ', '{', '\n', '      ', 'hotkeyListeners', '.', 'add', '(', 'listener', ')', ';', '\n', '   ', '}', '\n', '<END>']"
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,addIntellitypeListener,"   public void addIntellitypeListener(IntellitypeListener listener) {
      intellitypeListeners.add(listener);
   }",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   public void addIntellitypeListener(IntellitypeListener listener) {
      intellitypeListeners.add(listener);
   }
","['   ', 'public', ' ', 'void', ' ', 'addIntellitypeListener', '(', 'IntellitypeListener', ' ', 'listener', ')', ' ', '{', '\n', '      ', 'intellitypeListeners', '.', 'add', '(', 'listener', ')', ';', '\n', '   ', '}', '\n', '<END>']"
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,registerHotKey,"   public void registerHotKey(int identifier, int modifier, int keycode) {
      try {
         int modifiers = swingToIntelliType(modifier);",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   public void registerHotKey(int identifier, int modifier, int keycode) {
      try {
         int modifiers = swingToIntelliType(modifier);
","['   ', 'public', ' ', 'void', ' ', 'registerHotKey', '(', 'int', ' ', 'identifier', ',', ' ', 'int', ' ', 'modifier', ',', ' ', 'int', ' ', 'keycode', ')', ' ', '{', '\n', '      ', 'try', ' ', '{', '\n', '         ', 'int', ' ', 'modifiers', ' ', '=', ' ', 'swingToIntelliType', '(', 'modifier', ')', ';', '\n', '<END>']"
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,registerSwingHotKey,"   public void registerSwingHotKey(int identifier, int modifier, int keycode) {
      try {
         regHotKey(identifier, swingToIntelliType(modifier), keycode);",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   public void registerSwingHotKey(int identifier, int modifier, int keycode) {
      try {
         regHotKey(identifier, swingToIntelliType(modifier), keycode);
","['   ', 'public', ' ', 'void', ' ', 'registerSwingHotKey', '(', 'int', ' ', 'identifier', ',', ' ', 'int', ' ', 'modifier', ',', ' ', 'int', ' ', 'keycode', ')', ' ', '{', '\n', '      ', 'try', ' ', '{', '\n', '         ', 'regHotKey', '(', 'identifier', ',', ' ', 'swingToIntelliType', '(', 'modifier', ')', ',', ' ', 'keycode', ')', ';', '\n', '<END>']"
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,registerHotKey,"   public void registerHotKey(int identifier, String modifierAndKeyCode) {
      String[] split = modifierAndKeyCode.split(""\\+"");
      int mask = 0;
      int keycode = 0;

      for (int i = 0; i < split.length; i++) {
         if (""ALT"".equalsIgnoreCase(split[i])) {
            mask += JIntellitype.MOD_ALT;
         } else if (""CTRL"".equalsIgnoreCase(split[i]) || ""CONTROL"".equalsIgnoreCase(split[i])) {
            mask += JIntellitype.MOD_CONTROL;
         } else if (""SHIFT"".equalsIgnoreCase(split[i])) {
            mask += JIntellitype.MOD_SHIFT;
         } else if (""WIN"".equalsIgnoreCase(split[i])) {
            mask += JIntellitype.MOD_WIN;
         } else if (keycodeMap.containsKey(split[i].toLowerCase())) {
            keycode = keycodeMap.get(split[i].toLowerCase());
         }
      }
      registerHotKey(identifier, mask, keycode);
   }",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   public void registerHotKey(int identifier, String modifierAndKeyCode) {
      String[] split = modifierAndKeyCode.split(""\\+"");
      int mask = 0;
      int keycode = 0;

      for (int i = 0; i < split.length; i++) {
         if (""ALT"".equalsIgnoreCase(split[i])) {
            mask += JIntellitype.MOD_ALT;
         } else if (""CTRL"".equalsIgnoreCase(split[i]) || ""CONTROL"".equalsIgnoreCase(split[i])) {
            mask += JIntellitype.MOD_CONTROL;
         } else if (""SHIFT"".equalsIgnoreCase(split[i])) {
            mask += JIntellitype.MOD_SHIFT;
         } else if (""WIN"".equalsIgnoreCase(split[i])) {
            mask += JIntellitype.MOD_WIN;
         } else if (keycodeMap.containsKey(split[i].toLowerCase())) {
            keycode = keycodeMap.get(split[i].toLowerCase());
         }
      }
      registerHotKey(identifier, mask, keycode);
   }
","['   ', 'public', ' ', 'void', ' ', 'registerHotKey', '(', 'int', ' ', 'identifier', ',', ' ', 'String', ' ', 'modifierAndKeyCode', ')', ' ', '{', '\n', '      ', 'String', '[', ']', ' ', 'split', ' ', '=', ' ', 'modifierAndKeyCode', '.', 'split', '(', '""', '\\\\', '+', '""', ')', ';', '\n', '      ', 'int', ' ', 'mask', ' ', '=', ' ', '0', ';', '\n', '      ', 'int', ' ', 'keycode', ' ', '=', ' ', '0', ';', '\n', '\n', '      ', 'for', ' ', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', 'split', '.', 'length', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '         ', 'if', ' ', '(', '""', 'ALT', '""', '.', 'equalsIgnoreCase', '(', 'split', '[', 'i', ']', ')', ')', ' ', '{', '\n', '            ', 'mask', ' ', '+', '=', ' ', 'JIntellitype', '.', 'MOD_ALT', ';', '\n', '         ', '}', ' ', 'else', ' ', 'if', ' ', '(', '""', 'CTRL', '""', '.', 'equalsIgnoreCase', '(', 'split', '[', 'i', ']', ')', ' ', '|', '|', ' ', '""', 'CONTROL', '""', '.', 'equalsIgnoreCase', '(', 'split', '[', 'i', ']', ')', ')', ' ', '{', '\n', '            ', 'mask', ' ', '+', '=', ' ', 'JIntellitype', '.', 'MOD_CONTROL', ';', '\n', '         ', '}', ' ', 'else', ' ', 'if', ' ', '(', '""', 'SHIFT', '""', '.', 'equalsIgnoreCase', '(', 'split', '[', 'i', ']', ')', ')', ' ', '{', '\n', '            ', 'mask', ' ', '+', '=', ' ', 'JIntellitype', '.', 'MOD_SHIFT', ';', '\n', '         ', '}', ' ', 'else', ' ', 'if', ' ', '(', '""', 'WIN', '""', '.', 'equalsIgnoreCase', '(', 'split', '[', 'i', ']', ')', ')', ' ', '{', '\n', '            ', 'mask', ' ', '+', '=', ' ', 'JIntellitype', '.', 'MOD_WIN', ';', '\n', '         ', '}', ' ', 'else', ' ', 'if', ' ', '(', 'keycodeMap', '.', 'containsKey', '(', 'split', '[', 'i', ']', '.', 'toLowerCase', '(', ')', ')', ')', ' ', '{', '\n', '            ', 'keycode', ' ', '=', ' ', 'keycodeMap', '.', 'get', '(', 'split', '[', 'i', ']', '.', 'toLowerCase', '(', ')', ')', ';', '\n', '         ', '}', '\n', '      ', '}', '\n', '      ', 'registerHotKey', '(', 'identifier', ',', ' ', 'mask', ',', ' ', 'keycode', ')', ';', '\n', '   ', '}', '\n', '<END>']"
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,removeHotKeyListener,"   public void removeHotKeyListener(HotkeyListener listener) {
      hotkeyListeners.remove(listener);
   }",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   public void removeHotKeyListener(HotkeyListener listener) {
      hotkeyListeners.remove(listener);
   }
","['   ', 'public', ' ', 'void', ' ', 'removeHotKeyListener', '(', 'HotkeyListener', ' ', 'listener', ')', ' ', '{', '\n', '      ', 'hotkeyListeners', '.', 'remove', '(', 'listener', ')', ';', '\n', '   ', '}', '\n', '<END>']"
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,removeIntellitypeListener,"   public void removeIntellitypeListener(IntellitypeListener listener) {
      intellitypeListeners.remove(listener);
   }",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   public void removeIntellitypeListener(IntellitypeListener listener) {
      intellitypeListeners.remove(listener);
   }
","['   ', 'public', ' ', 'void', ' ', 'removeIntellitypeListener', '(', 'IntellitypeListener', ' ', 'listener', ')', ' ', '{', '\n', '      ', 'intellitypeListeners', '.', 'remove', '(', 'listener', ')', ';', '\n', '   ', '}', '\n', '<END>']"
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,unregisterHotKey,"   public void unregisterHotKey(int identifier) {
      try {
         unregHotKey(identifier);",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   public void unregisterHotKey(int identifier) {
      try {
         unregHotKey(identifier);
","['   ', 'public', ' ', 'void', ' ', 'unregisterHotKey', '(', 'int', ' ', 'identifier', ')', ' ', '{', '\n', '      ', 'try', ' ', '{', '\n', '         ', 'unregHotKey', '(', 'identifier', ')', ';', '\n', '<END>']"
master,e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,JIntellitype.java,checkInstanceAlreadyRunning,"   public static boolean checkInstanceAlreadyRunning(String appTitle) {
      return getInstance().isRunning(appTitle);
   }",https://www.github.com/melloware/jintellitype/commit/e84dfb8abf7db08436046e00aed3fd8cc4be3ae3,"   public static boolean checkInstanceAlreadyRunning(String appTitle) {
      return getInstance().isRunning(appTitle);
   }
","['   ', 'public', ' ', 'static', ' ', 'boolean', ' ', 'checkInstanceAlreadyRunning', '(', 'String', ' ', 'appTitle', ')', ' ', '{', '\n', '      ', 'return', ' ', 'getInstance', '(', ')', '.', 'isRunning', '(', 'appTitle', ')', ';', '\n', '   ', '}', '\n', '<END>']"
