Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,fc8492b9ebe2f4f2c24b6ac2986b3a4b0f78ac48,EhcacheCache.java,createCacheManager,"    private static CacheManager createCacheManager() {
        CacheManager cacheManager;
        InputStream input = EhcacheCache.class.getResourceAsStream(""/ehcache.xml"");

        if (input != null) {
            try {
                cacheManager = CacheManager.create(input);
            } catch (Throwable t) {
                cacheManager = CacheManager.create();
            } finally {
                try {
                    input.close();
                } catch (IOException e) {
                }
            }
        } else {
            cacheManager = CacheManager.create();
        }

        return cacheManager;
    }",https://www.github.com/mybatis/ehcache-cache/commit/fc8492b9ebe2f4f2c24b6ac2986b3a4b0f78ac48,"    private static CacheManager createCacheManager() {
        CacheManager cacheManager;
        InputStream input = EhcacheCache.class.getResourceAsStream(""/ehcache.xml"");

        if (input != null) {
            try {
                cacheManager = CacheManager.create(input);
            } catch (Throwable t) {
                cacheManager = CacheManager.create();
            } finally {
                try {
                    input.close();
                } catch (IOException e) {
                }
            }
        } else {
            cacheManager = CacheManager.create();
        }

        return cacheManager;
    }
","['    ', 'private', ' ', 'static', ' ', 'CacheManager', ' ', 'createCacheManager', '(', ')', ' ', '{', '\n', '        ', 'CacheManager', ' ', 'cacheManager', ';', '\n', '        ', 'InputStream', ' ', 'input', ' ', '=', ' ', 'EhcacheCache', '.', 'class', '.', 'getResourceAsStream', '(', '""', '/ehcache.xml', '""', ')', ';', '\n', '\n', '        ', 'if', ' ', '(', 'input', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'try', ' ', '{', '\n', '                ', 'cacheManager', ' ', '=', ' ', 'CacheManager', '.', 'create', '(', 'input', ')', ';', '\n', '            ', '}', ' ', 'catch', ' ', '(', 'Throwable', ' ', 't', ')', ' ', '{', '\n', '                ', 'cacheManager', ' ', '=', ' ', 'CacheManager', '.', 'create', '(', ')', ';', '\n', '            ', '}', ' ', 'finally', ' ', '{', '\n', '                ', 'try', ' ', '{', '\n', '                    ', 'input', '.', 'close', '(', ')', ';', '\n', '                ', '}', ' ', 'catch', ' ', '(', 'IOException', ' ', 'e', ')', ' ', '{', '\n', '                ', '}', '\n', '            ', '}', '\n', '        ', '}', ' ', 'else', ' ', '{', '\n', '            ', 'cacheManager', ' ', '=', ' ', 'CacheManager', '.', 'create', '(', ')', ';', '\n', '        ', '}', '\n', '\n', '        ', 'return', ' ', 'cacheManager', ';', '\n', '    ', '}', '\n']"
master,fc8492b9ebe2f4f2c24b6ac2986b3a4b0f78ac48,EhcacheCache.java,clear,"    public void clear() {
        this.getCache().removeAll();
    }",https://www.github.com/mybatis/ehcache-cache/commit/fc8492b9ebe2f4f2c24b6ac2986b3a4b0f78ac48,"    public void clear() {
        this.getCache().removeAll();
    }
","['    ', 'public', ' ', 'void', ' ', 'clear', '(', ')', ' ', '{', '\n', '        ', 'this', '.', 'getCache', '(', ')', '.', 'removeAll', '(', ')', ';', '\n', '    ', '}', '\n']"
master,fc8492b9ebe2f4f2c24b6ac2986b3a4b0f78ac48,EhcacheCache.java,putObject,"    public void putObject(Object key, Object value) {
        try {
            this.getCache().put(new Element(key, value));",https://www.github.com/mybatis/ehcache-cache/commit/fc8492b9ebe2f4f2c24b6ac2986b3a4b0f78ac48,"    public void putObject(Object key, Object value) {
        try {
            this.getCache().put(new Element(key, value));
","['    ', 'public', ' ', 'void', ' ', 'putObject', '(', 'Object', ' ', 'key', ',', ' ', 'Object', ' ', 'value', ')', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'this', '.', 'getCache', '(', ')', '.', 'put', '(', 'new', ' ', 'Element', '(', 'key', ',', ' ', 'value', ')', ')', ';', '\n']"
master,fc8492b9ebe2f4f2c24b6ac2986b3a4b0f78ac48,EhcacheCache.java,removeObject,"    public Object removeObject(Object key) {
        try {
            Object obj = this.getObject(key);",https://www.github.com/mybatis/ehcache-cache/commit/fc8492b9ebe2f4f2c24b6ac2986b3a4b0f78ac48,"    public Object removeObject(Object key) {
        try {
            Object obj = this.getObject(key);
","['    ', 'public', ' ', 'Object', ' ', 'removeObject', '(', 'Object', ' ', 'key', ')', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'Object', ' ', 'obj', ' ', '=', ' ', 'this', '.', 'getObject', '(', 'key', ')', ';', '\n']"
master,090bbefa903c4ce317e99f430076438f02afe13b,EhcacheCache.java,equals,"    public boolean equals(Object obj) {
        if (this == obj) {
            return true;
        }
        if (obj == null) {
            return false;
        }
        if (!(obj instanceof Cache)) {
            return false;
        }

        Cache otherCache = (Cache) obj;
        return this.id.equals(otherCache.getId());
    }",https://www.github.com/mybatis/ehcache-cache/commit/090bbefa903c4ce317e99f430076438f02afe13b,"    public boolean equals(Object obj) {
        if (this == obj) {
            return true;
        }
        if (obj == null) {
            return false;
        }
        if (!(obj instanceof Cache)) {
            return false;
        }

        Cache otherCache = (Cache) obj;
        return this.id.equals(otherCache.getId());
    }
","['    ', 'public', ' ', 'boolean', ' ', 'equals', '(', 'Object', ' ', 'obj', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'this', ' ', '=', '=', ' ', 'obj', ')', ' ', '{', '\n', '            ', 'return', ' ', 'true', ';', '\n', '        ', '}', '\n', '        ', 'if', ' ', '(', 'obj', ' ', '=', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'return', ' ', 'false', ';', '\n', '        ', '}', '\n', '        ', 'if', ' ', '(', '!', '(', 'obj', ' ', 'instanceof', ' ', 'Cache', ')', ')', ' ', '{', '\n', '            ', 'return', ' ', 'false', ';', '\n', '        ', '}', '\n', '\n', '        ', 'Cache', ' ', 'otherCache', ' ', '=', ' ', '(', 'Cache', ')', ' ', 'obj', ';', '\n', '        ', 'return', ' ', 'this', '.', 'id', '.', 'equals', '(', 'otherCache', '.', 'getId', '(', ')', ')', ';', '\n', '    ', '}', '\n']"
master,090bbefa903c4ce317e99f430076438f02afe13b,EhcacheCache.java,hashCode,"    public int hashCode() {
        return this.id.hashCode();
    }",https://www.github.com/mybatis/ehcache-cache/commit/090bbefa903c4ce317e99f430076438f02afe13b,"    public int hashCode() {
        return this.id.hashCode();
    }
","['    ', 'public', ' ', 'int', ' ', 'hashCode', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'this', '.', 'id', '.', 'hashCode', '(', ')', ';', '\n', '    ', '}', '\n']"
master,090bbefa903c4ce317e99f430076438f02afe13b,EhcacheCache.java,toString,"    public String toString() {
        return ""EHCache {""
                + this.id",https://www.github.com/mybatis/ehcache-cache/commit/090bbefa903c4ce317e99f430076438f02afe13b,"    public String toString() {
        return ""EHCache {""
                + this.id
","['    ', 'public', ' ', 'String', ' ', 'toString', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', '""', 'EHCache {', '""', '\n', '                ', '+', ' ', 'this', '.', 'id', '\n']"
master,039e9851a07d055915cf5f7a702883bf586b38eb,EhcacheTestCase.java,newCache,"    private static Cache newCache() {
        return new EhcacheCache(DEFAULT_ID);
    }",https://www.github.com/mybatis/ehcache-cache/commit/039e9851a07d055915cf5f7a702883bf586b38eb,"    private static Cache newCache() {
        return new EhcacheCache(DEFAULT_ID);
    }
","['    ', 'private', ' ', 'static', ' ', 'Cache', ' ', 'newCache', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'new', ' ', 'EhcacheCache', '(', 'DEFAULT_ID', ')', ';', '\n', '    ', '}', '\n']"
master,039e9851a07d055915cf5f7a702883bf586b38eb,EhcacheTestCase.java,shouldDemonstrateHowAllObjectsAreKept,"    public void shouldDemonstrateHowAllObjectsAreKept() {
        Cache cache = newCache();
        for (int i = 0; i < 100000; i++) {
            cache.putObject(i, i);
            assertEquals(i, cache.getObject(i));
        }
        assertEquals(100000, cache.getSize());
    }",https://www.github.com/mybatis/ehcache-cache/commit/039e9851a07d055915cf5f7a702883bf586b38eb,"    public void shouldDemonstrateHowAllObjectsAreKept() {
        Cache cache = newCache();
        for (int i = 0; i < 100000; i++) {
            cache.putObject(i, i);
            assertEquals(i, cache.getObject(i));
        }
        assertEquals(100000, cache.getSize());
    }
","['    ', 'public', ' ', 'void', ' ', 'shouldDemonstrateHowAllObjectsAreKept', '(', ')', ' ', '{', '\n', '        ', 'Cache', ' ', 'cache', ' ', '=', ' ', 'newCache', '(', ')', ';', '\n', '        ', 'for', ' ', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', '100000', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '            ', 'cache', '.', 'putObject', '(', 'i', ',', ' ', 'i', ')', ';', '\n', '            ', 'assertEquals', '(', 'i', ',', ' ', 'cache', '.', 'getObject', '(', 'i', ')', ')', ';', '\n', '        ', '}', '\n', '        ', 'assertEquals', '(', '100000', ',', ' ', 'cache', '.', 'getSize', '(', ')', ')', ';', '\n', '    ', '}', '\n']"
master,039e9851a07d055915cf5f7a702883bf586b38eb,EhcacheTestCase.java,shouldDemonstrateCopiesAreEqual,"    public void shouldDemonstrateCopiesAreEqual() {
        Cache cache = newCache();
        for (int i = 0; i < 1000; i++) {
            cache.putObject(i, i);",https://www.github.com/mybatis/ehcache-cache/commit/039e9851a07d055915cf5f7a702883bf586b38eb,"    public void shouldDemonstrateCopiesAreEqual() {
        Cache cache = newCache();
        for (int i = 0; i < 1000; i++) {
            cache.putObject(i, i);
","['    ', 'public', ' ', 'void', ' ', 'shouldDemonstrateCopiesAreEqual', '(', ')', ' ', '{', '\n', '        ', 'Cache', ' ', 'cache', ' ', '=', ' ', 'newCache', '(', ')', ';', '\n', '        ', 'for', ' ', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', '1000', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '            ', 'cache', '.', 'putObject', '(', 'i', ',', ' ', 'i', ')', ';', '\n']"
