Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,Main.java,premain,"	public static void premain(String agentArgs, Instrumentation inst) {
		String secretsFile;
		if (agentArgs != null && !agentArgs.isEmpty()) {
			secretsFile = agentArgs;
		} else {
			secretsFile = DEFAULT_SECRETS_FILE;
		}
		MasterSecretCallback.setSecretsFileName(secretsFile);
		inst.addTransformer(new Transformer());
	}",https://www.github.com/neykov/extract-tls-secrets/commit/f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,"	public static void premain(String agentArgs, Instrumentation inst) {
		String secretsFile;
		if (agentArgs != null && !agentArgs.isEmpty()) {
			secretsFile = agentArgs;
		} else {
			secretsFile = DEFAULT_SECRETS_FILE;
		}
		MasterSecretCallback.setSecretsFileName(secretsFile);
		inst.addTransformer(new Transformer());
	}
","['\t', 'public', ' ', 'static', ' ', 'void', ' ', 'premain', '(', 'String', ' ', 'agentArgs', ',', ' ', 'Instrumentation', ' ', 'inst', ')', ' ', '{', '\n', '\t\t', 'String', ' ', 'secretsFile', ';', '\n', '\t\t', 'if', ' ', '(', 'agentArgs', ' ', '!', '=', ' ', 'null', ' ', '&', '&', ' ', '!', 'agentArgs', '.', 'isEmpty', '(', ')', ')', ' ', '{', '\n', '\t\t\t', 'secretsFile', ' ', '=', ' ', 'agentArgs', ';', '\n', '\t\t', '}', ' ', 'else', ' ', '{', '\n', '\t\t\t', 'secretsFile', ' ', '=', ' ', 'DEFAULT_SECRETS_FILE', ';', '\n', '\t\t', '}', '\n', '\t\t', 'MasterSecretCallback', '.', 'setSecretsFileName', '(', 'secretsFile', ')', ';', '\n', '\t\t', 'inst', '.', 'addTransformer', '(', 'new', ' ', 'Transformer', '(', ')', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,MasterSecretCallback.java,onMasterSecret,"	public static void onMasterSecret(SSLSession sslSession, Key masterSecret) {
		try {
			String sessionKey = bytesToHex(sslSession.getId());",https://www.github.com/neykov/extract-tls-secrets/commit/f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,"	public static void onMasterSecret(SSLSession sslSession, Key masterSecret) {
		try {
			String sessionKey = bytesToHex(sslSession.getId());
","['\t', 'public', ' ', 'static', ' ', 'void', ' ', 'onMasterSecret', '(', 'SSLSession', ' ', 'sslSession', ',', ' ', 'Key', ' ', 'masterSecret', ')', ' ', '{', '\n', '\t\t', 'try', ' ', '{', '\n', '\t\t\t', 'String', ' ', 'sessionKey', ' ', '=', ' ', 'bytesToHex', '(', 'sslSession', '.', 'getId', '(', ')', ')', ';', '\n', '<END>']"
master,f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,MasterSecretCallback.java,bytesToHex,"	public static String bytesToHex(byte[] bytes) {
	    char[] hexChars = new char[bytes.length * 2];
	    for ( int j = 0; j < bytes.length; j++ ) {
	        int v = bytes[j] & 0xFF;
	        hexChars[j * 2] = hexArray[v >>> 4];
	        hexChars[j * 2 + 1] = hexArray[v & 0x0F];
	    }
	    return new String(hexChars);
	}",https://www.github.com/neykov/extract-tls-secrets/commit/f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,"	public static String bytesToHex(byte[] bytes) {
	    char[] hexChars = new char[bytes.length * 2];
	    for ( int j = 0; j < bytes.length; j++ ) {
	        int v = bytes[j] & 0xFF;
	        hexChars[j * 2] = hexArray[v >>> 4];
	        hexChars[j * 2 + 1] = hexArray[v & 0x0F];
	    }
	    return new String(hexChars);
	}
","['\t', 'public', ' ', 'static', ' ', 'String', ' ', 'bytesToHex', '(', 'byte', '[', ']', ' ', 'bytes', ')', ' ', '{', '\n', '\t    ', 'char', '[', ']', ' ', 'hexChars', ' ', '=', ' ', 'new', ' ', 'char', '[', 'bytes', '.', 'length', ' ', '*', ' ', '2', ']', ';', '\n', '\t    ', 'for', ' ', '(', ' ', 'int', ' ', 'j', ' ', '=', ' ', '0', ';', ' ', 'j', ' ', '<', ' ', 'bytes', '.', 'length', ';', ' ', 'j', '+', '+', ' ', ')', ' ', '{', '\n', '\t        ', 'int', ' ', 'v', ' ', '=', ' ', 'bytes', '[', 'j', ']', ' ', '&', ' ', '0xFF', ';', '\n', '\t        ', 'hexChars', '[', 'j', ' ', '*', ' ', '2', ']', ' ', '=', ' ', 'hexArray', '[', 'v', ' ', '>', '>', '>', ' ', '4', ']', ';', '\n', '\t        ', 'hexChars', '[', 'j', ' ', '*', ' ', '2', ' ', '+', ' ', '1', ']', ' ', '=', ' ', 'hexArray', '[', 'v', ' ', '&', ' ', '0x0F', ']', ';', '\n', '\t    ', '}', '\n', '\t    ', 'return', ' ', 'new', ' ', 'String', '(', 'hexChars', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,Transformer.java,transform,"	public byte[] transform(
			ClassLoader loader,
			String classPath,
			Class<?> classBeingRedefined,
			ProtectionDomain protectionDomain,
			byte[] classfileBuffer) throws IllegalClassFormatException {
		String className = classPath.replace(""/"", ""."");
		if (className.equals(""sun.security.ssl.SSLSessionImpl"") ||
				className.equals(""com.sun.net.ssl.internal.ssl.SSLSessionImpl"")) {",https://www.github.com/neykov/extract-tls-secrets/commit/f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,"	public byte[] transform(
			ClassLoader loader,
			String classPath,
			Class<?> classBeingRedefined,
			ProtectionDomain protectionDomain,
			byte[] classfileBuffer) throws IllegalClassFormatException {
		String className = classPath.replace(""/"", ""."");
		if (className.equals(""sun.security.ssl.SSLSessionImpl"") ||
				className.equals(""com.sun.net.ssl.internal.ssl.SSLSessionImpl"")) {
","['\t', 'public', ' ', 'byte', '[', ']', ' ', 'transform', '(', '\n', '\t\t\t', 'ClassLoader', ' ', 'loader', ',', '\n', '\t\t\t', 'String', ' ', 'classPath', ',', '\n', '\t\t\t', 'Class', '<', '?', '>', ' ', 'classBeingRedefined', ',', '\n', '\t\t\t', 'ProtectionDomain', ' ', 'protectionDomain', ',', '\n', '\t\t\t', 'byte', '[', ']', ' ', 'classfileBuffer', ')', ' ', 'throws', ' ', 'IllegalClassFormatException', ' ', '{', '\n', '\t\t', 'String', ' ', 'className', ' ', '=', ' ', 'classPath', '.', 'replace', '(', '""', '/', '""', ',', ' ', '""', '.', '""', ')', ';', '\n', '\t\t', 'if', ' ', '(', 'className', '.', 'equals', '(', '""', 'sun.security.ssl.SSLSessionImpl', '""', ')', ' ', '|', '|', '\n', '\t\t\t\t', 'className', '.', 'equals', '(', '""', 'com.sun.net.ssl.internal.ssl.SSLSessionImpl', '""', ')', ')', ' ', '{', '\n', '<END>']"
master,f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,TestExtract.java,main,"	public static void main(String[] args) throws Exception {
		URL url = new URL(""https://google.com"");
		BufferedReader reader = new BufferedReader(new InputStreamReader(url.openStream()));
		StringBuffer str = new StringBuffer();
		char[] buff = new char[4098];
		int read;
		while ((read = reader.read(buff)) != -1) {
			str.append(buff, 0, read);
		}
		System.out.println(str);
	}",https://www.github.com/neykov/extract-tls-secrets/commit/f26da176ad44d90c4b4f6da2dc8d8f657e855ec8,"	public static void main(String[] args) throws Exception {
		URL url = new URL(""https://google.com"");
		BufferedReader reader = new BufferedReader(new InputStreamReader(url.openStream()));
		StringBuffer str = new StringBuffer();
		char[] buff = new char[4098];
		int read;
		while ((read = reader.read(buff)) != -1) {
			str.append(buff, 0, read);
		}
		System.out.println(str);
	}
","['\t', 'public', ' ', 'static', ' ', 'void', ' ', 'main', '(', 'String', '[', ']', ' ', 'args', ')', ' ', 'throws', ' ', 'Exception', ' ', '{', '\n', '\t\t', 'URL', ' ', 'url', ' ', '=', ' ', 'new', ' ', 'URL', '(', '""', 'https://google.com', '""', ')', ';', '\n', '\t\t', 'BufferedReader', ' ', 'reader', ' ', '=', ' ', 'new', ' ', 'BufferedReader', '(', 'new', ' ', 'InputStreamReader', '(', 'url', '.', 'openStream', '(', ')', ')', ')', ';', '\n', '\t\t', 'StringBuffer', ' ', 'str', ' ', '=', ' ', 'new', ' ', 'StringBuffer', '(', ')', ';', '\n', '\t\t', 'char', '[', ']', ' ', 'buff', ' ', '=', ' ', 'new', ' ', 'char', '[', '4098', ']', ';', '\n', '\t\t', 'int', ' ', 'read', ';', '\n', '\t\t', 'while', ' ', '(', '(', 'read', ' ', '=', ' ', 'reader', '.', 'read', '(', 'buff', ')', ')', ' ', '!', '=', ' ', '-', '1', ')', ' ', '{', '\n', '\t\t\t', 'str', '.', 'append', '(', 'buff', ',', ' ', '0', ',', ' ', 'read', ')', ';', '\n', '\t\t', '}', '\n', '\t\t', 'System', '.', 'out', '.', 'println', '(', 'str', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,a242f08d349b08b1fa5abc4b1d96c114f89838c2,MasterSecretCallback.java,onCalculateKeys,"	public static void onCalculateKeys(SSLSession sslSession, Object randomCookie, Key masterSecret) {
		try {
			String clientRandom = bytesToHex((byte[])get(randomCookie, ""random_bytes""));",https://www.github.com/neykov/extract-tls-secrets/commit/a242f08d349b08b1fa5abc4b1d96c114f89838c2,"	public static void onCalculateKeys(SSLSession sslSession, Object randomCookie, Key masterSecret) {
		try {
			String clientRandom = bytesToHex((byte[])get(randomCookie, ""random_bytes""));
","['\t', 'public', ' ', 'static', ' ', 'void', ' ', 'onCalculateKeys', '(', 'SSLSession', ' ', 'sslSession', ',', ' ', 'Object', ' ', 'randomCookie', ',', ' ', 'Key', ' ', 'masterSecret', ')', ' ', '{', '\n', '\t\t', 'try', ' ', '{', '\n', '\t\t\t', 'String', ' ', 'clientRandom', ' ', '=', ' ', 'bytesToHex', '(', '(', 'byte', '[', ']', ')', 'get', '(', 'randomCookie', ',', ' ', '""', 'random_bytes', '""', ')', ')', ';', '\n', '<END>']"
master,a242f08d349b08b1fa5abc4b1d96c114f89838c2,MasterSecretCallback.java,get,"	private static Object get(Object newObj, String field) throws IllegalAccessException, NoSuchFieldException {
		Field f = newObj.getClass().getDeclaredField(field);
		f.setAccessible(true);
		return f.get(newObj);
	}",https://www.github.com/neykov/extract-tls-secrets/commit/a242f08d349b08b1fa5abc4b1d96c114f89838c2,"	private static Object get(Object newObj, String field) throws IllegalAccessException, NoSuchFieldException {
		Field f = newObj.getClass().getDeclaredField(field);
		f.setAccessible(true);
		return f.get(newObj);
	}
","['\t', 'private', ' ', 'static', ' ', 'Object', ' ', 'get', '(', 'Object', ' ', 'newObj', ',', ' ', 'String', ' ', 'field', ')', ' ', 'throws', ' ', 'IllegalAccessException', ',', ' ', 'NoSuchFieldException', ' ', '{', '\n', '\t\t', 'Field', ' ', 'f', ' ', '=', ' ', 'newObj', '.', 'getClass', '(', ')', '.', 'getDeclaredField', '(', 'field', ')', ';', '\n', '\t\t', 'f', '.', 'setAccessible', '(', 'true', ')', ';', '\n', '\t\t', 'return', ' ', 'f', '.', 'get', '(', 'newObj', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,3b9a919083773138da7591234b6621f510fe0328,AgentAttach.java,isAttachApiAvailable,"    private static boolean isAttachApiAvailable() {
        try {
            AgentAttach.class.getClassLoader().loadClass(""com.sun.tools.attach.VirtualMachine"");",https://www.github.com/neykov/extract-tls-secrets/commit/3b9a919083773138da7591234b6621f510fe0328,"    private static boolean isAttachApiAvailable() {
        try {
            AgentAttach.class.getClassLoader().loadClass(""com.sun.tools.attach.VirtualMachine"");
","['    ', 'private', ' ', 'static', ' ', 'boolean', ' ', 'isAttachApiAvailable', '(', ')', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'AgentAttach', '.', 'class', '.', 'getClassLoader', '(', ')', '.', 'loadClass', '(', '""', 'com.sun.tools.attach.VirtualMachine', '""', ')', ';', '\n', '<END>']"
master,3b9a919083773138da7591234b6621f510fe0328,AgentMain.java,agentmain,"    public static void agentmain(String agentArgs, Instrumentation inst) {
        main(agentArgs, inst);
        reloadClasses(inst);
    }",https://www.github.com/neykov/extract-tls-secrets/commit/3b9a919083773138da7591234b6621f510fe0328,"    public static void agentmain(String agentArgs, Instrumentation inst) {
        main(agentArgs, inst);
        reloadClasses(inst);
    }
","['    ', 'public', ' ', 'static', ' ', 'void', ' ', 'agentmain', '(', 'String', ' ', 'agentArgs', ',', ' ', 'Instrumentation', ' ', 'inst', ')', ' ', '{', '\n', '        ', 'main', '(', 'agentArgs', ',', ' ', 'inst', ')', ';', '\n', '        ', 'reloadClasses', '(', 'inst', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,3b9a919083773138da7591234b6621f510fe0328,AgentMain.java,reloadClass,"    private static void reloadClass(Instrumentation inst, Class<?> loadedClass)
            throws ClassNotFoundException, UnmodifiableClassException, IOException {
        byte[] classBuffer = readFully(loadedClass.getResourceAsStream(loadedClass.getSimpleName() + "".class""));
        inst.redefineClasses(new ClassDefinition(loadedClass, classBuffer));
    }",https://www.github.com/neykov/extract-tls-secrets/commit/3b9a919083773138da7591234b6621f510fe0328,"    private static void reloadClass(Instrumentation inst, Class<?> loadedClass)
            throws ClassNotFoundException, UnmodifiableClassException, IOException {
        byte[] classBuffer = readFully(loadedClass.getResourceAsStream(loadedClass.getSimpleName() + "".class""));
        inst.redefineClasses(new ClassDefinition(loadedClass, classBuffer));
    }
","['    ', 'private', ' ', 'static', ' ', 'void', ' ', 'reloadClass', '(', 'Instrumentation', ' ', 'inst', ',', ' ', 'Class', '<', '?', '>', ' ', 'loadedClass', ')', '\n', '            ', 'throws', ' ', 'ClassNotFoundException', ',', ' ', 'UnmodifiableClassException', ',', ' ', 'IOException', ' ', '{', '\n', '        ', 'byte', '[', ']', ' ', 'classBuffer', ' ', '=', ' ', 'readFully', '(', 'loadedClass', '.', 'getResourceAsStream', '(', 'loadedClass', '.', 'getSimpleName', '(', ')', ' ', '+', ' ', '""', '.class', '""', ')', ')', ';', '\n', '        ', 'inst', '.', 'redefineClasses', '(', 'new', ' ', 'ClassDefinition', '(', 'loadedClass', ',', ' ', 'classBuffer', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
