Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,5ebbbd51352c8a61a271814aca5dcb4a29298db4,DemoApplication.java,home,"  public String home() {
    return ""Hello, "" + name;
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/5ebbbd51352c8a61a271814aca5dcb4a29298db4,"  public String home() {
    return ""Hello, "" + name;
  }
","['  ', 'public', ' ', 'String', ' ', 'home', '(', ')', ' ', '{', '\n', '    ', 'return', ' ', '""', 'Hello, ', '""', ' ', '+', ' ', 'name', ';', '\n', '  ', '}', '\n', '<END>']"
master,5ebbbd51352c8a61a271814aca5dcb4a29298db4,DemoApplication.java,main,"  public static void main(String[] args) {
    SpringApplication.run(DemoApplication.class, args);
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/5ebbbd51352c8a61a271814aca5dcb4a29298db4,"  public static void main(String[] args) {
    SpringApplication.run(DemoApplication.class, args);
  }
","['  ', 'public', ' ', 'static', ' ', 'void', ' ', 'main', '(', 'String', '[', ']', ' ', 'args', ')', ' ', '{', '\n', '    ', 'SpringApplication', '.', 'run', '(', 'DemoApplication', '.', 'class', ',', ' ', 'args', ')', ';', '\n', '  ', '}', '\n', '<END>']"
master,5ebbbd51352c8a61a271814aca5dcb4a29298db4,DotenvApplicationInitializer.java,initialize,"  public void initialize(final ConfigurableApplicationContext applicationContext) {
    DotenvPropertySource.addToEnvironment(applicationContext.getEnvironment());
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/5ebbbd51352c8a61a271814aca5dcb4a29298db4,"  public void initialize(final ConfigurableApplicationContext applicationContext) {
    DotenvPropertySource.addToEnvironment(applicationContext.getEnvironment());
  }
","['  ', 'public', ' ', 'void', ' ', 'initialize', '(', 'final', ' ', 'ConfigurableApplicationContext', ' ', 'applicationContext', ')', ' ', '{', '\n', '    ', 'DotenvPropertySource', '.', 'addToEnvironment', '(', 'applicationContext', '.', 'getEnvironment', '(', ')', ')', ';', '\n', '  ', '}', '\n', '<END>']"
master,5ebbbd51352c8a61a271814aca5dcb4a29298db4,DotenvPropertySource.java,addToEnvironment,"  public static void addToEnvironment(ConfigurableEnvironment environment) {
    environment
        .getPropertySources()
        .addAfter(
            StandardEnvironment.SYSTEM_ENVIRONMENT_PROPERTY_SOURCE_NAME,
            new DotenvPropertySource(DOTENV_PROPERTY_SOURCE_NAME));

    logger.trace(""DotenvPropertySource add to Environment"");
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/5ebbbd51352c8a61a271814aca5dcb4a29298db4,"  public static void addToEnvironment(ConfigurableEnvironment environment) {
    environment
        .getPropertySources()
        .addAfter(
            StandardEnvironment.SYSTEM_ENVIRONMENT_PROPERTY_SOURCE_NAME,
            new DotenvPropertySource(DOTENV_PROPERTY_SOURCE_NAME));

    logger.trace(""DotenvPropertySource add to Environment"");
  }
","['  ', 'public', ' ', 'static', ' ', 'void', ' ', 'addToEnvironment', '(', 'ConfigurableEnvironment', ' ', 'environment', ')', ' ', '{', '\n', '    ', 'environment', '\n', '        ', '.', 'getPropertySources', '(', ')', '\n', '        ', '.', 'addAfter', '(', '\n', '            ', 'StandardEnvironment', '.', 'SYSTEM_ENVIRONMENT_PROPERTY_SOURCE_NAME', ',', '\n', '            ', 'new', ' ', 'DotenvPropertySource', '(', 'DOTENV_PROPERTY_SOURCE_NAME', ')', ')', ';', '\n', '\n', '    ', 'logger', '.', 'trace', '(', '""', 'DotenvPropertySource add to Environment', '""', ')', ';', '\n', '  ', '}', '\n', '<END>']"
master,ee24f1651ede1f00f79aec2ffe59390b59823ac2,DemoApplicationTest.java,fromValueAnnotation,"  void fromValueAnnotation() {
    assertThat(fromValueAnnotation.getValue1()).isEqualTo(""Message 1 from .env"");
    assertThat(fromValueAnnotation.getValue2()).isEqualTo(""Message 2 from system environment"");
    assertThat(fromValueAnnotation.getValue3()).isEqualTo(""Message 3 from system environment"");
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/ee24f1651ede1f00f79aec2ffe59390b59823ac2,"  void fromValueAnnotation() {
    assertThat(fromValueAnnotation.getValue1()).isEqualTo(""Message 1 from .env"");
    assertThat(fromValueAnnotation.getValue2()).isEqualTo(""Message 2 from system environment"");
    assertThat(fromValueAnnotation.getValue3()).isEqualTo(""Message 3 from system environment"");
  }
","['  ', 'void', ' ', 'fromValueAnnotation', '(', ')', ' ', '{', '\n', '    ', 'assertThat', '(', 'fromValueAnnotation', '.', 'getValue1', '(', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 1 from .env', '""', ')', ';', '\n', '    ', 'assertThat', '(', 'fromValueAnnotation', '.', 'getValue2', '(', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 2 from system environment', '""', ')', ';', '\n', '    ', 'assertThat', '(', 'fromValueAnnotation', '.', 'getValue3', '(', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 3 from system environment', '""', ')', ';', '\n', '  ', '}', '\n', '<END>']"
master,ee24f1651ede1f00f79aec2ffe59390b59823ac2,DemoApplicationTest.java,fromProperties,"  void fromProperties() {
    assertThat(fromProperties.getValue1()).isEqualTo(""Message 1 from .env"");
    assertThat(fromProperties.getValue2()).isEqualTo(""Message 2 from system environment"");
    assertThat(fromProperties.getValue3()).isEqualTo(""Message 3 from system environment"");
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/ee24f1651ede1f00f79aec2ffe59390b59823ac2,"  void fromProperties() {
    assertThat(fromProperties.getValue1()).isEqualTo(""Message 1 from .env"");
    assertThat(fromProperties.getValue2()).isEqualTo(""Message 2 from system environment"");
    assertThat(fromProperties.getValue3()).isEqualTo(""Message 3 from system environment"");
  }
","['  ', 'void', ' ', 'fromProperties', '(', ')', ' ', '{', '\n', '    ', 'assertThat', '(', 'fromProperties', '.', 'getValue1', '(', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 1 from .env', '""', ')', ';', '\n', '    ', 'assertThat', '(', 'fromProperties', '.', 'getValue2', '(', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 2 from system environment', '""', ')', ';', '\n', '    ', 'assertThat', '(', 'fromProperties', '.', 'getValue3', '(', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 3 from system environment', '""', ')', ';', '\n', '  ', '}', '\n', '<END>']"
master,ee24f1651ede1f00f79aec2ffe59390b59823ac2,DemoApplicationTest.java,fromWiredBean,"  void fromWiredBean() {
    assertThat(fromWiredBean.getValue1()).isEqualTo(""Message 1 from .env"");
    assertThat(fromWiredBean.getValue2()).isEqualTo(""Message 2 from system environment"");
    assertThat(fromWiredBean.getValue3()).isEqualTo(""Message 3 from system environment"");
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/ee24f1651ede1f00f79aec2ffe59390b59823ac2,"  void fromWiredBean() {
    assertThat(fromWiredBean.getValue1()).isEqualTo(""Message 1 from .env"");
    assertThat(fromWiredBean.getValue2()).isEqualTo(""Message 2 from system environment"");
    assertThat(fromWiredBean.getValue3()).isEqualTo(""Message 3 from system environment"");
  }
","['  ', 'void', ' ', 'fromWiredBean', '(', ')', ' ', '{', '\n', '    ', 'assertThat', '(', 'fromWiredBean', '.', 'getValue1', '(', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 1 from .env', '""', ')', ';', '\n', '    ', 'assertThat', '(', 'fromWiredBean', '.', 'getValue2', '(', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 2 from system environment', '""', ')', ';', '\n', '    ', 'assertThat', '(', 'fromWiredBean', '.', 'getValue3', '(', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 3 from system environment', '""', ')', ';', '\n', '  ', '}', '\n', '<END>']"
master,ee24f1651ede1f00f79aec2ffe59390b59823ac2,DotenvPropertySourceTest.java,irrelevant,"  void irrelevant() {
    assertThat(source.getProperty(""other.VALUE"")).isNull();
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/ee24f1651ede1f00f79aec2ffe59390b59823ac2,"  void irrelevant() {
    assertThat(source.getProperty(""other.VALUE"")).isNull();
  }
","['  ', 'void', ' ', 'irrelevant', '(', ')', ' ', '{', '\n', '    ', 'assertThat', '(', 'source', '.', 'getProperty', '(', '""', 'other.VALUE', '""', ')', ')', '.', 'isNull', '(', ')', ';', '\n', '  ', '}', '\n', '<END>']"
master,ee24f1651ede1f00f79aec2ffe59390b59823ac2,DotenvPropertySourceTest.java,missing,"  void missing() {
    assertThat(source.getProperty(""env.MISSING"")).isNull();
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/ee24f1651ede1f00f79aec2ffe59390b59823ac2,"  void missing() {
    assertThat(source.getProperty(""env.MISSING"")).isNull();
  }
","['  ', 'void', ' ', 'missing', '(', ')', ' ', '{', '\n', '    ', 'assertThat', '(', 'source', '.', 'getProperty', '(', '""', 'env.MISSING', '""', ')', ')', '.', 'isNull', '(', ')', ';', '\n', '  ', '}', '\n', '<END>']"
master,ee24f1651ede1f00f79aec2ffe59390b59823ac2,DotenvPropertySourceTest.java,valueFromDotenv,"  void valueFromDotenv() {
    assertThat(source.getProperty(""env.EXAMPLE_MESSAGE_1"")).isEqualTo(""Message 1 from .env"");
  }",https://www.github.com/paulschwarz/spring-dotenv/commit/ee24f1651ede1f00f79aec2ffe59390b59823ac2,"  void valueFromDotenv() {
    assertThat(source.getProperty(""env.EXAMPLE_MESSAGE_1"")).isEqualTo(""Message 1 from .env"");
  }
","['  ', 'void', ' ', 'valueFromDotenv', '(', ')', ' ', '{', '\n', '    ', 'assertThat', '(', 'source', '.', 'getProperty', '(', '""', 'env.EXAMPLE_MESSAGE_1', '""', ')', ')', '.', 'isEqualTo', '(', '""', 'Message 1 from .env', '""', ')', ';', '\n', '  ', '}', '\n', '<END>']"
