Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,f8600a4c198f34ceb0869a575907a0d9a44dcddb,ExtensionsInjector.java,setApplicationContext,"    public void setApplicationContext(ApplicationContext applicationContext) throws BeansException {
        this.applicationContext = applicationContext;
    }",https://www.github.com/pf4j/pf4j-spring/commit/f8600a4c198f34ceb0869a575907a0d9a44dcddb,"    public void setApplicationContext(ApplicationContext applicationContext) throws BeansException {
        this.applicationContext = applicationContext;
    }
","['    ', 'public', ' ', 'void', ' ', 'setApplicationContext', '(', 'ApplicationContext', ' ', 'applicationContext', ')', ' ', 'throws', ' ', 'BeansException', ' ', '{', '\n', '        ', 'this', '.', 'applicationContext', ' ', '=', ' ', 'applicationContext', ';', '\n', '    ', '}', '\n']"
master,f8600a4c198f34ceb0869a575907a0d9a44dcddb,ExtensionsInjector.java,postProcessBeanFactory,"    public void postProcessBeanFactory(ConfigurableListableBeanFactory beanFactory) throws BeansException {
        BeanDefinitionRegistry registry = (BeanDefinitionRegistry) beanFactory;
        injectExtensions(registry);
    }",https://www.github.com/pf4j/pf4j-spring/commit/f8600a4c198f34ceb0869a575907a0d9a44dcddb,"    public void postProcessBeanFactory(ConfigurableListableBeanFactory beanFactory) throws BeansException {
        BeanDefinitionRegistry registry = (BeanDefinitionRegistry) beanFactory;
        injectExtensions(registry);
    }
","['    ', 'public', ' ', 'void', ' ', 'postProcessBeanFactory', '(', 'ConfigurableListableBeanFactory', ' ', 'beanFactory', ')', ' ', 'throws', ' ', 'BeansException', ' ', '{', '\n', '        ', 'BeanDefinitionRegistry', ' ', 'registry', ' ', '=', ' ', '(', 'BeanDefinitionRegistry', ')', ' ', 'beanFactory', ';', '\n', '        ', 'injectExtensions', '(', 'registry', ')', ';', '\n', '    ', '}', '\n']"
master,f8600a4c198f34ceb0869a575907a0d9a44dcddb,ExtensionsInjector.java,injectExtensions,"    private void injectExtensions(BeanDefinitionRegistry registry) {
        PluginManager pluginManager = applicationContext.getBean(PluginManager.class);
        List<PluginWrapper> startedPlugins = pluginManager.getStartedPlugins();
        for (PluginWrapper plugin : startedPlugins) {
            log.debug(""Registering extensions of the plugin '{}' as beans"", plugin.getPluginId());",https://www.github.com/pf4j/pf4j-spring/commit/f8600a4c198f34ceb0869a575907a0d9a44dcddb,"    private void injectExtensions(BeanDefinitionRegistry registry) {
        PluginManager pluginManager = applicationContext.getBean(PluginManager.class);
        List<PluginWrapper> startedPlugins = pluginManager.getStartedPlugins();
        for (PluginWrapper plugin : startedPlugins) {
            log.debug(""Registering extensions of the plugin '{}' as beans"", plugin.getPluginId());
","['    ', 'private', ' ', 'void', ' ', 'injectExtensions', '(', 'BeanDefinitionRegistry', ' ', 'registry', ')', ' ', '{', '\n', '        ', 'PluginManager', ' ', 'pluginManager', ' ', '=', ' ', 'applicationContext', '.', 'getBean', '(', 'PluginManager', '.', 'class', ')', ';', '\n', '        ', 'List', '<', 'PluginWrapper', '>', ' ', 'startedPlugins', ' ', '=', ' ', 'pluginManager', '.', 'getStartedPlugins', '(', ')', ';', '\n', '        ', 'for', ' ', '(', 'PluginWrapper', ' ', 'plugin', ' ', ':', ' ', 'startedPlugins', ')', ' ', '{', '\n', '            ', 'log', '.', 'debug', '(', '""', ""Registering extensions of the plugin '{}' as beans"", '""', ',', ' ', 'plugin', '.', 'getPluginId', '(', ')', ')', ';', '\n']"
master,f8600a4c198f34ceb0869a575907a0d9a44dcddb,Boot.java,main,"    public static void main(String[] args) {
        // print logo
        printLogo();

        // retrieves the spring application context
        ApplicationContext applicationContext = new AnnotationConfigApplicationContext(Boot.class);

        // print greetings in System.out
        Greetings greetings = applicationContext.getBean(Greetings.class);
        greetings.printGreetings();

        // stop plugins
        PluginManager pluginManager = applicationContext.getBean(PluginManager.class);
        pluginManager.stopPlugins();
    }",https://www.github.com/pf4j/pf4j-spring/commit/f8600a4c198f34ceb0869a575907a0d9a44dcddb,"    public static void main(String[] args) {
        
        printLogo();

        
        ApplicationContext applicationContext = new AnnotationConfigApplicationContext(Boot.class);

        
        Greetings greetings = applicationContext.getBean(Greetings.class);
        greetings.printGreetings();

        
        PluginManager pluginManager = applicationContext.getBean(PluginManager.class);
        pluginManager.stopPlugins();
    }
","['    ', 'public', ' ', 'static', ' ', 'void', ' ', 'main', '(', 'String', '[', ']', ' ', 'args', ')', ' ', '{', '\n', '        ', '\n', '        ', 'printLogo', '(', ')', ';', '\n', '\n', '        ', '\n', '        ', 'ApplicationContext', ' ', 'applicationContext', ' ', '=', ' ', 'new', ' ', 'AnnotationConfigApplicationContext', '(', 'Boot', '.', 'class', ')', ';', '\n', '\n', '        ', '\n', '        ', 'Greetings', ' ', 'greetings', ' ', '=', ' ', 'applicationContext', '.', 'getBean', '(', 'Greetings', '.', 'class', ')', ';', '\n', '        ', 'greetings', '.', 'printGreetings', '(', ')', ';', '\n', '\n', '        ', '\n', '        ', 'PluginManager', ' ', 'pluginManager', ' ', '=', ' ', 'applicationContext', '.', 'getBean', '(', 'PluginManager', '.', 'class', ')', ';', '\n', '        ', 'pluginManager', '.', 'stopPlugins', '(', ')', ';', '\n', '    ', '}', '\n']"
master,f8600a4c198f34ceb0869a575907a0d9a44dcddb,Boot.java,pluginManager,"    public PluginManager pluginManager() {
        PluginManager pluginManager = new DefaultPluginManager();
        pluginManager.loadPlugins();

        // start (active/resolved) the plugins
        pluginManager.startPlugins();

        return pluginManager;
    }",https://www.github.com/pf4j/pf4j-spring/commit/f8600a4c198f34ceb0869a575907a0d9a44dcddb,"    public PluginManager pluginManager() {
        PluginManager pluginManager = new DefaultPluginManager();
        pluginManager.loadPlugins();

        
        pluginManager.startPlugins();

        return pluginManager;
    }
","['    ', 'public', ' ', 'PluginManager', ' ', 'pluginManager', '(', ')', ' ', '{', '\n', '        ', 'PluginManager', ' ', 'pluginManager', ' ', '=', ' ', 'new', ' ', 'DefaultPluginManager', '(', ')', ';', '\n', '        ', 'pluginManager', '.', 'loadPlugins', '(', ')', ';', '\n', '\n', '        ', '\n', '        ', 'pluginManager', '.', 'startPlugins', '(', ')', ';', '\n', '\n', '        ', 'return', ' ', 'pluginManager', ';', '\n', '    ', '}', '\n']"
master,f8600a4c198f34ceb0869a575907a0d9a44dcddb,Boot.java,extensionsInjector,"    public static ExtensionsInjector extensionsInjector() {
        return new ExtensionsInjector();
    }",https://www.github.com/pf4j/pf4j-spring/commit/f8600a4c198f34ceb0869a575907a0d9a44dcddb,"    public static ExtensionsInjector extensionsInjector() {
        return new ExtensionsInjector();
    }
","['    ', 'public', ' ', 'static', ' ', 'ExtensionsInjector', ' ', 'extensionsInjector', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'new', ' ', 'ExtensionsInjector', '(', ')', ';', '\n', '    ', '}', '\n']"
master,f8600a4c198f34ceb0869a575907a0d9a44dcddb,Boot.java,greetings,"    public Greetings greetings() {
        return new Greetings();
    }",https://www.github.com/pf4j/pf4j-spring/commit/f8600a4c198f34ceb0869a575907a0d9a44dcddb,"    public Greetings greetings() {
        return new Greetings();
    }
","['    ', 'public', ' ', 'Greetings', ' ', 'greetings', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'new', ' ', 'Greetings', '(', ')', ';', '\n', '    ', '}', '\n']"
master,f8600a4c198f34ceb0869a575907a0d9a44dcddb,Boot.java,printLogo,"    private static void printLogo() {
        System.out.println(StringUtils.repeat(""#"", 40));
        System.out.println(StringUtils.center(""PF4J-SPRING"", 40));
        System.out.println(StringUtils.repeat(""#"", 40));
    }",https://www.github.com/pf4j/pf4j-spring/commit/f8600a4c198f34ceb0869a575907a0d9a44dcddb,"    private static void printLogo() {
        System.out.println(StringUtils.repeat(""#"", 40));
        System.out.println(StringUtils.center(""PF4J-SPRING"", 40));
        System.out.println(StringUtils.repeat(""#"", 40));
    }
","['    ', 'private', ' ', 'static', ' ', 'void', ' ', 'printLogo', '(', ')', ' ', '{', '\n', '        ', 'System', '.', 'out', '.', 'println', '(', 'StringUtils', '.', 'repeat', '(', '""', '#', '""', ',', ' ', '40', ')', ')', ';', '\n', '        ', 'System', '.', 'out', '.', 'println', '(', 'StringUtils', '.', 'center', '(', '""', 'PF4J-SPRING', '""', ',', ' ', '40', ')', ')', ';', '\n', '        ', 'System', '.', 'out', '.', 'println', '(', 'StringUtils', '.', 'repeat', '(', '""', '#', '""', ',', ' ', '40', ')', ')', ';', '\n', '    ', '}', '\n']"
master,f8600a4c198f34ceb0869a575907a0d9a44dcddb,Greetings.java,printGreetings,"    public void printGreetings() {
        System.out.println(String.format(""Found %d extensions for extension point '%s'"", greetings.size(), Greeting.class.getName()));
        for (Greeting greeting : greetings) {
            System.out.println("">>> "" + greeting.getGreeting());",https://www.github.com/pf4j/pf4j-spring/commit/f8600a4c198f34ceb0869a575907a0d9a44dcddb,"    public void printGreetings() {
        System.out.println(String.format(""Found %d extensions for extension point '%s'"", greetings.size(), Greeting.class.getName()));
        for (Greeting greeting : greetings) {
            System.out.println("">>> "" + greeting.getGreeting());
","['    ', 'public', ' ', 'void', ' ', 'printGreetings', '(', ')', ' ', '{', '\n', '        ', 'System', '.', 'out', '.', 'println', '(', 'String', '.', 'format', '(', '""', ""Found %d extensions for extension point '%s'"", '""', ',', ' ', 'greetings', '.', 'size', '(', ')', ',', ' ', 'Greeting', '.', 'class', '.', 'getName', '(', ')', ')', ')', ';', '\n', '        ', 'for', ' ', '(', 'Greeting', ' ', 'greeting', ' ', ':', ' ', 'greetings', ')', ' ', '{', '\n', '            ', 'System', '.', 'out', '.', 'println', '(', '""', '>>> ', '""', ' ', '+', ' ', 'greeting', '.', 'getGreeting', '(', ')', ')', ';', '\n']"
master,30a8f80d8b57681f453b92dfffc1e4684df37490,Boot.java,main,"    public static void main(String[] args) {
        // print logo
        printLogo();

        // retrieves the spring application context
        ApplicationContext applicationContext = new AnnotationConfigApplicationContext(AppConfig.class);

        // print greetings in System.out
        Greetings greetings = applicationContext.getBean(Greetings.class);
        greetings.printGreetings();

        // stop plugins
        PluginManager pluginManager = applicationContext.getBean(PluginManager.class);
        pluginManager.stopPlugins();
    }",https://www.github.com/pf4j/pf4j-spring/commit/30a8f80d8b57681f453b92dfffc1e4684df37490,"    public static void main(String[] args) {
        
        printLogo();

        
        ApplicationContext applicationContext = new AnnotationConfigApplicationContext(AppConfig.class);

        
        Greetings greetings = applicationContext.getBean(Greetings.class);
        greetings.printGreetings();

        
        PluginManager pluginManager = applicationContext.getBean(PluginManager.class);
        pluginManager.stopPlugins();
    }
","['    ', 'public', ' ', 'static', ' ', 'void', ' ', 'main', '(', 'String', '[', ']', ' ', 'args', ')', ' ', '{', '\n', '        ', '\n', '        ', 'printLogo', '(', ')', ';', '\n', '\n', '        ', '\n', '        ', 'ApplicationContext', ' ', 'applicationContext', ' ', '=', ' ', 'new', ' ', 'AnnotationConfigApplicationContext', '(', 'AppConfig', '.', 'class', ')', ';', '\n', '\n', '        ', '\n', '        ', 'Greetings', ' ', 'greetings', ' ', '=', ' ', 'applicationContext', '.', 'getBean', '(', 'Greetings', '.', 'class', ')', ';', '\n', '        ', 'greetings', '.', 'printGreetings', '(', ')', ';', '\n', '\n', '        ', '\n', '        ', 'PluginManager', ' ', 'pluginManager', ' ', '=', ' ', 'applicationContext', '.', 'getBean', '(', 'PluginManager', '.', 'class', ')', ';', '\n', '        ', 'pluginManager', '.', 'stopPlugins', '(', ')', ';', '\n', '    ', '}', '\n']"
