Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,SocketFactoryDinamico.java,createSSLContext,"    private SSLContext createSSLContext() {
        try {
            KeyManager[] keyManagers = createKeyManagers();
            TrustManager[] trustManagers = createTrustManagers();
            SSLContext sslContext = SSLContext.getInstance(""TLS"");
            sslContext.init(keyManagers, trustManagers, null);

            return sslContext;
        } catch (KeyManagementException e) {
            error(e.toString());
        } catch (KeyStoreException e) {
            error(e.toString());
        } catch (NoSuchAlgorithmException e) {
            error(e.toString());
        } catch (CertificateException e) {
            error(e.toString());
        } catch (IOException e) {
            error(e.toString());
        }
        return null;
    }",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"    private SSLContext createSSLContext() {
        try {
            KeyManager[] keyManagers = createKeyManagers();
            TrustManager[] trustManagers = createTrustManagers();
            SSLContext sslContext = SSLContext.getInstance(""TLS"");
            sslContext.init(keyManagers, trustManagers, null);

            return sslContext;
        } catch (KeyManagementException e) {
            error(e.toString());
        } catch (KeyStoreException e) {
            error(e.toString());
        } catch (NoSuchAlgorithmException e) {
            error(e.toString());
        } catch (CertificateException e) {
            error(e.toString());
        } catch (IOException e) {
            error(e.toString());
        }
        return null;
    }
","['    ', 'private', ' ', 'SSLContext', ' ', 'createSSLContext', '(', ')', ' ', '{', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'KeyManager', '[', ']', ' ', 'keyManagers', ' ', '=', ' ', 'createKeyManagers', '(', ')', ';', '\n', '            ', 'TrustManager', '[', ']', ' ', 'trustManagers', ' ', '=', ' ', 'createTrustManagers', '(', ')', ';', '\n', '            ', 'SSLContext', ' ', 'sslContext', ' ', '=', ' ', 'SSLContext', '.', 'getInstance', '(', '""', 'TLS', '""', ')', ';', '\n', '            ', 'sslContext', '.', 'init', '(', 'keyManagers', ',', ' ', 'trustManagers', ',', ' ', 'null', ')', ';', '\n', '\n', '            ', 'return', ' ', 'sslContext', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'KeyManagementException', ' ', 'e', ')', ' ', '{', '\n', '            ', 'error', '(', 'e', '.', 'toString', '(', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'KeyStoreException', ' ', 'e', ')', ' ', '{', '\n', '            ', 'error', '(', 'e', '.', 'toString', '(', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'NoSuchAlgorithmException', ' ', 'e', ')', ' ', '{', '\n', '            ', 'error', '(', 'e', '.', 'toString', '(', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'CertificateException', ' ', 'e', ')', ' ', '{', '\n', '            ', 'error', '(', 'e', '.', 'toString', '(', ')', ')', ';', '\n', '        ', '}', ' ', 'catch', ' ', '(', 'IOException', ' ', 'e', ')', ' ', '{', '\n', '            ', 'error', '(', 'e', '.', 'toString', '(', ')', ')', ';', '\n', '        ', '}', '\n', '        ', 'return', ' ', 'null', ';', '\n', '    ', '}', '\n', '<END>']"
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,SocketFactoryDinamico.java,createSocket,"    public Socket createSocket(String host, int port, InetAddress clientHost,
            int clientPort) throws IOException, UnknownHostException {
        return getSSLContext().getSocketFactory().createSocket(host, port,
                clientHost, clientPort);",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"    public Socket createSocket(String host, int port, InetAddress clientHost,
            int clientPort) throws IOException, UnknownHostException {
        return getSSLContext().getSocketFactory().createSocket(host, port,
                clientHost, clientPort);
","['    ', 'public', ' ', 'Socket', ' ', 'createSocket', '(', 'String', ' ', 'host', ',', ' ', 'int', ' ', 'port', ',', ' ', 'InetAddress', ' ', 'clientHost', ',', '\n', '            ', 'int', ' ', 'clientPort', ')', ' ', 'throws', ' ', 'IOException', ',', ' ', 'UnknownHostException', ' ', '{', '\n', '        ', 'return', ' ', 'getSSLContext', '(', ')', '.', 'getSocketFactory', '(', ')', '.', 'createSocket', '(', 'host', ',', ' ', 'port', ',', '\n', '                ', 'clientHost', ',', ' ', 'clientPort', ')', ';', '\n', '<END>']"
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,SocketFactoryDinamico.java,createSocket,"    public Socket createSocket(String host, int port) throws IOException,
            UnknownHostException {
        return getSSLContext().getSocketFactory().createSocket(host, port);
    }",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"    public Socket createSocket(String host, int port) throws IOException,
            UnknownHostException {
        return getSSLContext().getSocketFactory().createSocket(host, port);
    }
","['    ', 'public', ' ', 'Socket', ' ', 'createSocket', '(', 'String', ' ', 'host', ',', ' ', 'int', ' ', 'port', ')', ' ', 'throws', ' ', 'IOException', ',', '\n', '            ', 'UnknownHostException', ' ', '{', '\n', '        ', 'return', ' ', 'getSSLContext', '(', ')', '.', 'getSocketFactory', '(', ')', '.', 'createSocket', '(', 'host', ',', ' ', 'port', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,SocketFactoryDinamico.java,createSocket,"    public Socket createSocket(Socket socket, String host, int port,
            boolean autoClose) throws IOException, UnknownHostException {
        return getSSLContext().getSocketFactory().createSocket(socket, host,
                port, autoClose);",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"    public Socket createSocket(Socket socket, String host, int port,
            boolean autoClose) throws IOException, UnknownHostException {
        return getSSLContext().getSocketFactory().createSocket(socket, host,
                port, autoClose);
","['    ', 'public', ' ', 'Socket', ' ', 'createSocket', '(', 'Socket', ' ', 'socket', ',', ' ', 'String', ' ', 'host', ',', ' ', 'int', ' ', 'port', ',', '\n', '            ', 'boolean', ' ', 'autoClose', ')', ' ', 'throws', ' ', 'IOException', ',', ' ', 'UnknownHostException', ' ', '{', '\n', '        ', 'return', ' ', 'getSSLContext', '(', ')', '.', 'getSocketFactory', '(', ')', '.', 'createSocket', '(', 'socket', ',', ' ', 'host', ',', '\n', '                ', 'port', ',', ' ', 'autoClose', ')', ';', '\n', '<END>']"
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,SocketFactoryDinamico.java,createKeyManagers,"    public KeyManager[] createKeyManagers() {
        HSKeyManager keyManager = new HSKeyManager(certificate, privateKey);

        return new KeyManager[]{keyManager};
    }",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"    public KeyManager[] createKeyManagers() {
        HSKeyManager keyManager = new HSKeyManager(certificate, privateKey);

        return new KeyManager[]{keyManager};
    }
","['    ', 'public', ' ', 'KeyManager', '[', ']', ' ', 'createKeyManagers', '(', ')', ' ', '{', '\n', '        ', 'HSKeyManager', ' ', 'keyManager', ' ', '=', ' ', 'new', ' ', 'HSKeyManager', '(', 'certificate', ',', ' ', 'privateKey', ')', ';', '\n', '\n', '        ', 'return', ' ', 'new', ' ', 'KeyManager', '[', ']', '{', 'keyManager', '}', ';', '\n', '    ', '}', '\n', '<END>']"
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,SocketFactoryDinamico.java,createTrustManagers,"    public TrustManager[] createTrustManagers() throws KeyStoreException,
            NoSuchAlgorithmException, CertificateException, IOException {
        KeyStore trustStore = KeyStore.getInstance(""JKS"");

        trustStore.load(fileCacerts, ""changeit"".toCharArray());
        TrustManagerFactory trustManagerFactory = TrustManagerFactory
                .getInstance(TrustManagerFactory.getDefaultAlgorithm());
        trustManagerFactory.init(trustStore);
        return trustManagerFactory.getTrustManagers();
    }",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"    public TrustManager[] createTrustManagers() throws KeyStoreException,
            NoSuchAlgorithmException, CertificateException, IOException {
        KeyStore trustStore = KeyStore.getInstance(""JKS"");

        trustStore.load(fileCacerts, ""changeit"".toCharArray());
        TrustManagerFactory trustManagerFactory = TrustManagerFactory
                .getInstance(TrustManagerFactory.getDefaultAlgorithm());
        trustManagerFactory.init(trustStore);
        return trustManagerFactory.getTrustManagers();
    }
","['    ', 'public', ' ', 'TrustManager', '[', ']', ' ', 'createTrustManagers', '(', ')', ' ', 'throws', ' ', 'KeyStoreException', ',', '\n', '            ', 'NoSuchAlgorithmException', ',', ' ', 'CertificateException', ',', ' ', 'IOException', ' ', '{', '\n', '        ', 'KeyStore', ' ', 'trustStore', ' ', '=', ' ', 'KeyStore', '.', 'getInstance', '(', '""', 'JKS', '""', ')', ';', '\n', '\n', '        ', 'trustStore', '.', 'load', '(', 'fileCacerts', ',', ' ', '""', 'changeit', '""', '.', 'toCharArray', '(', ')', ')', ';', '\n', '        ', 'TrustManagerFactory', ' ', 'trustManagerFactory', ' ', '=', ' ', 'TrustManagerFactory', '\n', '                ', '.', 'getInstance', '(', 'TrustManagerFactory', '.', 'getDefaultAlgorithm', '(', ')', ')', ';', '\n', '        ', 'trustManagerFactory', '.', 'init', '(', 'trustStore', ')', ';', '\n', '        ', 'return', ' ', 'trustManagerFactory', '.', 'getTrustManagers', '(', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,SocketFactoryDinamico.java,chooseClientAlias,"        public String chooseClientAlias(String[] arg0, Principal[] arg1,
                Socket arg2) {
            return certificate.getIssuerDN().getName();
        }",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"        public String chooseClientAlias(String[] arg0, Principal[] arg1,
                Socket arg2) {
            return certificate.getIssuerDN().getName();
        }
","['        ', 'public', ' ', 'String', ' ', 'chooseClientAlias', '(', 'String', '[', ']', ' ', 'arg0', ',', ' ', 'Principal', '[', ']', ' ', 'arg1', ',', '\n', '                ', 'Socket', ' ', 'arg2', ')', ' ', '{', '\n', '            ', 'return', ' ', 'certificate', '.', 'getIssuerDN', '(', ')', '.', 'getName', '(', ')', ';', '\n', '        ', '}', '\n', '<END>']"
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,SocketFactoryDinamico.java,chooseServerAlias,"        public String chooseServerAlias(String arg0, Principal[] arg1,
                Socket arg2) {
            return null;
        }",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"        public String chooseServerAlias(String arg0, Principal[] arg1,
                Socket arg2) {
            return null;
        }
","['        ', 'public', ' ', 'String', ' ', 'chooseServerAlias', '(', 'String', ' ', 'arg0', ',', ' ', 'Principal', '[', ']', ' ', 'arg1', ',', '\n', '                ', 'Socket', ' ', 'arg2', ')', ' ', '{', '\n', '            ', 'return', ' ', 'null', ';', '\n', '        ', '}', '\n', '<END>']"
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,SocketFactoryDinamico.java,error,"    private static void error(String log) {
        System.out.println(""ERROR: "" + log);
    }",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"    private static void error(String log) {
        System.out.println(""ERROR: "" + log);
    }
","['    ', 'private', ' ', 'static', ' ', 'void', ' ', 'error', '(', 'String', ' ', 'log', ')', ' ', '{', '\n', '        ', 'System', '.', 'out', '.', 'println', '(', '""', 'ERROR: ', '""', ' ', '+', ' ', 'log', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,CacertUtil.java,gerarCacert,"	    public static void gerarCacert(List<String> listaEnderecos, String caminhoCacert) {  
	    	cacert = caminhoCacert;
	        try {  
	        	",https://www.github.com/samuel-oliveira/java_certificado/commit/a9bbecfcf63e7b33da203b0a4a64bf26888ee4f4,"	    public static void gerarCacert(List<String> listaEnderecos, String caminhoCacert) {  
	    	cacert = caminhoCacert;
	        try {  
	        	
","['\t    ', 'public', ' ', 'static', ' ', 'void', ' ', 'gerarCacert', '(', 'List', '<', 'String', '>', ' ', 'listaEnderecos', ',', ' ', 'String', ' ', 'caminhoCacert', ')', ' ', '{', '  ', '\n', '\t    \t', 'cacert', ' ', '=', ' ', 'caminhoCacert', ';', '\n', '\t        ', 'try', ' ', '{', '  ', '\n', '\t        \t', '\n', '<END>']"
