Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,JolToolWindowFactory.java,createToolWindowContent,"    public void createToolWindowContent(@NotNull Project project, @NotNull ToolWindow toolWindow) {
        JComponent jol = JolView.getInstance(project);
        toolWindow.getContentManager().addContent(ContentFactory.SERVICE.getInstance().createContent(jol, ""Object Layout"", false));
    }",https://www.github.com/stokito/ideajol/commit/a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,"    public void createToolWindowContent(@NotNull Project project, @NotNull ToolWindow toolWindow) {
        JComponent jol = JolView.getInstance(project);
        toolWindow.getContentManager().addContent(ContentFactory.SERVICE.getInstance().createContent(jol, ""Object Layout"", false));
    }
","['    ', 'public', ' ', 'void', ' ', 'createToolWindowContent', '(', '@NotNull', ' ', 'Project', ' ', 'project', ',', ' ', '@NotNull', ' ', 'ToolWindow', ' ', 'toolWindow', ')', ' ', '{', '\n', '        ', 'JComponent', ' ', 'jol', ' ', '=', ' ', 'JolView', '.', 'getInstance', '(', 'project', ')', ';', '\n', '        ', 'toolWindow', '.', 'getContentManager', '(', ')', '.', 'addContent', '(', 'ContentFactory', '.', 'SERVICE', '.', 'getInstance', '(', ')', '.', 'createContent', '(', 'jol', ',', ' ', '""', 'Object Layout', '""', ',', ' ', 'false', ')', ')', ';', '\n', '    ', '}', '\n']"
master,a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,JolView.java,setupUI,"    private void setupUI() {
        final EditorFactory editorFactory = EditorFactory.getInstance();
        document = editorFactory.createDocument("""");
        editor = editorFactory.createEditor(document, project, FileTypeManager.getInstance().getFileTypeByExtension(extension), true);

        final JComponent editorComponent = editor.getComponent();
        add(editorComponent);

        final JPanel toolbarPanel = new JPanel(new BorderLayout());
        labelClassName = new JLabel("""");
        toolbarPanel.add(labelClassName, BorderLayout.CENTER);

        setToolbar(toolbarPanel);
    }",https://www.github.com/stokito/ideajol/commit/a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,"    private void setupUI() {
        final EditorFactory editorFactory = EditorFactory.getInstance();
        document = editorFactory.createDocument("""");
        editor = editorFactory.createEditor(document, project, FileTypeManager.getInstance().getFileTypeByExtension(extension), true);

        final JComponent editorComponent = editor.getComponent();
        add(editorComponent);

        final JPanel toolbarPanel = new JPanel(new BorderLayout());
        labelClassName = new JLabel("""");
        toolbarPanel.add(labelClassName, BorderLayout.CENTER);

        setToolbar(toolbarPanel);
    }
","['    ', 'private', ' ', 'void', ' ', 'setupUI', '(', ')', ' ', '{', '\n', '        ', 'final', ' ', 'EditorFactory', ' ', 'editorFactory', ' ', '=', ' ', 'EditorFactory', '.', 'getInstance', '(', ')', ';', '\n', '        ', 'document', ' ', '=', ' ', 'editorFactory', '.', 'createDocument', '(', '""', '""', ')', ';', '\n', '        ', 'editor', ' ', '=', ' ', 'editorFactory', '.', 'createEditor', '(', 'document', ',', ' ', 'project', ',', ' ', 'FileTypeManager', '.', 'getInstance', '(', ')', '.', 'getFileTypeByExtension', '(', 'extension', ')', ',', ' ', 'true', ')', ';', '\n', '\n', '        ', 'final', ' ', 'JComponent', ' ', 'editorComponent', ' ', '=', ' ', 'editor', '.', 'getComponent', '(', ')', ';', '\n', '        ', 'add', '(', 'editorComponent', ')', ';', '\n', '\n', '        ', 'final', ' ', 'JPanel', ' ', 'toolbarPanel', ' ', '=', ' ', 'new', ' ', 'JPanel', '(', 'new', ' ', 'BorderLayout', '(', ')', ')', ';', '\n', '        ', 'labelClassName', ' ', '=', ' ', 'new', ' ', 'JLabel', '(', '""', '""', ')', ';', '\n', '        ', 'toolbarPanel', '.', 'add', '(', 'labelClassName', ',', ' ', 'BorderLayout', '.', 'CENTER', ')', ';', '\n', '\n', '        ', 'setToolbar', '(', 'toolbarPanel', ')', ';', '\n', '    ', '}', '\n']"
master,a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,JolView.java,dispose,"    public void dispose() {
        if (editor != null) {
            final EditorFactory editorFactory = EditorFactory.getInstance();",https://www.github.com/stokito/ideajol/commit/a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,"    public void dispose() {
        if (editor != null) {
            final EditorFactory editorFactory = EditorFactory.getInstance();
","['    ', 'public', ' ', 'void', ' ', 'dispose', '(', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'editor', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'final', ' ', 'EditorFactory', ' ', 'editorFactory', ' ', '=', ' ', 'EditorFactory', '.', 'getInstance', '(', ')', ';', '\n']"
master,a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,PsiClassAdapter.java,fetchContendedGroup,"    private static String fetchContendedGroup(@NotNull PsiField psiField,  @NotNull String annotationClass) {
        PsiAnnotation annotation = psiField.getAnnotation(annotationClass);
        String contendedGroup = annotation != null ? getAnnotationStrValue(annotation) : null;
        return contendedGroup;
    }",https://www.github.com/stokito/ideajol/commit/a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,"    private static String fetchContendedGroup(@NotNull PsiField psiField,  @NotNull String annotationClass) {
        PsiAnnotation annotation = psiField.getAnnotation(annotationClass);
        String contendedGroup = annotation != null ? getAnnotationStrValue(annotation) : null;
        return contendedGroup;
    }
","['    ', 'private', ' ', 'static', ' ', 'String', ' ', 'fetchContendedGroup', '(', '@NotNull', ' ', 'PsiField', ' ', 'psiField', ',', '  ', '@NotNull', ' ', 'String', ' ', 'annotationClass', ')', ' ', '{', '\n', '        ', 'PsiAnnotation', ' ', 'annotation', ' ', '=', ' ', 'psiField', '.', 'getAnnotation', '(', 'annotationClass', ')', ';', '\n', '        ', 'String', ' ', 'contendedGroup', ' ', '=', ' ', 'annotation', ' ', '!', '=', ' ', 'null', ' ', '?', ' ', 'getAnnotationStrValue', '(', 'annotation', ')', ' ', ':', ' ', 'null', ';', '\n', '        ', 'return', ' ', 'contendedGroup', ';', '\n', '    ', '}', '\n']"
master,a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,ShowObjectLayoutAction.java,update,"    public void update(AnActionEvent event) {
        PsiClass selectedPsiClass = getSelectedPsiClass(event);
        event.getPresentation().setEnabled(selectedPsiClass != null);
    }",https://www.github.com/stokito/ideajol/commit/a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,"    public void update(AnActionEvent event) {
        PsiClass selectedPsiClass = getSelectedPsiClass(event);
        event.getPresentation().setEnabled(selectedPsiClass != null);
    }
","['    ', 'public', ' ', 'void', ' ', 'update', '(', 'AnActionEvent', ' ', 'event', ')', ' ', '{', '\n', '        ', 'PsiClass', ' ', 'selectedPsiClass', ' ', '=', ' ', 'getSelectedPsiClass', '(', 'event', ')', ';', '\n', '        ', 'event', '.', 'getPresentation', '(', ')', '.', 'setEnabled', '(', 'selectedPsiClass', ' ', '!', '=', ' ', 'null', ')', ';', '\n', '    ', '}', '\n']"
master,a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,ShowObjectLayoutAction.java,actionPerformed,"    public void actionPerformed(AnActionEvent event) {
        Project project = event.getProject();
        assert project != null;
        PsiClass psiClass = getSelectedPsiClass(event);
        assert psiClass != null;
        try {
            ClassData classData = PsiClassAdapter.createClassDataFromPsiClass(psiClass);",https://www.github.com/stokito/ideajol/commit/a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,"    public void actionPerformed(AnActionEvent event) {
        Project project = event.getProject();
        assert project != null;
        PsiClass psiClass = getSelectedPsiClass(event);
        assert psiClass != null;
        try {
            ClassData classData = PsiClassAdapter.createClassDataFromPsiClass(psiClass);
","['    ', 'public', ' ', 'void', ' ', 'actionPerformed', '(', 'AnActionEvent', ' ', 'event', ')', ' ', '{', '\n', '        ', 'Project', ' ', 'project', ' ', '=', ' ', 'event', '.', 'getProject', '(', ')', ';', '\n', '        ', 'assert', ' ', 'project', ' ', '!', '=', ' ', 'null', ';', '\n', '        ', 'PsiClass', ' ', 'psiClass', ' ', '=', ' ', 'getSelectedPsiClass', '(', 'event', ')', ';', '\n', '        ', 'assert', ' ', 'psiClass', ' ', '!', '=', ' ', 'null', ';', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'ClassData', ' ', 'classData', ' ', '=', ' ', 'PsiClassAdapter', '.', 'createClassDataFromPsiClass', '(', 'psiClass', ')', ';', '\n']"
master,a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,ShowObjectLayoutAction.java,printLayout,"    private void printLayout(ClassData classData, Layouter layouter, StringBuilder sb) {
        ClassLayout classLayout = layouter.layout(classData);
        String clazzLayout = classLayout.toPrintable();
        sb.append(clazzLayout).append('\n');
    }",https://www.github.com/stokito/ideajol/commit/a7fe905c3fc36deedbaf1a0d8c889a4fde01828f,"    private void printLayout(ClassData classData, Layouter layouter, StringBuilder sb) {
        ClassLayout classLayout = layouter.layout(classData);
        String clazzLayout = classLayout.toPrintable();
        sb.append(clazzLayout).append('\n');
    }
","['    ', 'private', ' ', 'void', ' ', 'printLayout', '(', 'ClassData', ' ', 'classData', ',', ' ', 'Layouter', ' ', 'layouter', ',', ' ', 'StringBuilder', ' ', 'sb', ')', ' ', '{', '\n', '        ', 'ClassLayout', ' ', 'classLayout', ' ', '=', ' ', 'layouter', '.', 'layout', '(', 'classData', ')', ';', '\n', '        ', 'String', ' ', 'clazzLayout', ' ', '=', ' ', 'classLayout', '.', 'toPrintable', '(', ')', ';', '\n', '        ', 'sb', '.', 'append', '(', 'clazzLayout', ')', '.', 'append', '(', ""'\\n'"", ')', ';', '\n', '    ', '}', '\n']"
master,8ea90985d4ffaefd356015fd1498c18db58d7573,ShowObjectLayoutAction.java,actionPerformed,"    public void actionPerformed(AnActionEvent event) {
        Project project = event.getProject();
        assert project != null;
        PsiClass psiClass = getSelectedPsiClass(event);
        assert psiClass != null;
        try {
            JolView.getInstance(project).setOutput(psiClass);",https://www.github.com/stokito/ideajol/commit/8ea90985d4ffaefd356015fd1498c18db58d7573,"    public void actionPerformed(AnActionEvent event) {
        Project project = event.getProject();
        assert project != null;
        PsiClass psiClass = getSelectedPsiClass(event);
        assert psiClass != null;
        try {
            JolView.getInstance(project).setOutput(psiClass);
","['    ', 'public', ' ', 'void', ' ', 'actionPerformed', '(', 'AnActionEvent', ' ', 'event', ')', ' ', '{', '\n', '        ', 'Project', ' ', 'project', ' ', '=', ' ', 'event', '.', 'getProject', '(', ')', ';', '\n', '        ', 'assert', ' ', 'project', ' ', '!', '=', ' ', 'null', ';', '\n', '        ', 'PsiClass', ' ', 'psiClass', ' ', '=', ' ', 'getSelectedPsiClass', '(', 'event', ')', ';', '\n', '        ', 'assert', ' ', 'psiClass', ' ', '!', '=', ' ', 'null', ';', '\n', '        ', 'try', ' ', '{', '\n', '            ', 'JolView', '.', 'getInstance', '(', 'project', ')', '.', 'setOutput', '(', 'psiClass', ')', ';', '\n']"
master,52591eedd48278dc0246c4d05dd9fe1bdc48d44f,JolView.java,setupUI,"    private void setupUI() {
        final EditorFactory editorFactory = EditorFactory.getInstance();
        document = editorFactory.createDocument("""");
        editor = editorFactory.createEditor(document, project, FileTypeManager.getInstance().getFileTypeByExtension(extension), true);

        final JComponent editorComponent = editor.getComponent();
        add(editorComponent);

        setToolbar(toolbarPanel);
    }",https://www.github.com/stokito/ideajol/commit/52591eedd48278dc0246c4d05dd9fe1bdc48d44f,"    private void setupUI() {
        final EditorFactory editorFactory = EditorFactory.getInstance();
        document = editorFactory.createDocument("""");
        editor = editorFactory.createEditor(document, project, FileTypeManager.getInstance().getFileTypeByExtension(extension), true);

        final JComponent editorComponent = editor.getComponent();
        add(editorComponent);

        setToolbar(toolbarPanel);
    }
","['    ', 'private', ' ', 'void', ' ', 'setupUI', '(', ')', ' ', '{', '\n', '        ', 'final', ' ', 'EditorFactory', ' ', 'editorFactory', ' ', '=', ' ', 'EditorFactory', '.', 'getInstance', '(', ')', ';', '\n', '        ', 'document', ' ', '=', ' ', 'editorFactory', '.', 'createDocument', '(', '""', '""', ')', ';', '\n', '        ', 'editor', ' ', '=', ' ', 'editorFactory', '.', 'createEditor', '(', 'document', ',', ' ', 'project', ',', ' ', 'FileTypeManager', '.', 'getInstance', '(', ')', '.', 'getFileTypeByExtension', '(', 'extension', ')', ',', ' ', 'true', ')', ';', '\n', '\n', '        ', 'final', ' ', 'JComponent', ' ', 'editorComponent', ' ', '=', ' ', 'editor', '.', 'getComponent', '(', ')', ';', '\n', '        ', 'add', '(', 'editorComponent', ')', ';', '\n', '\n', '        ', 'setToolbar', '(', 'toolbarPanel', ')', ';', '\n', '    ', '}', '\n']"
master,0c16fb31435481194714fdf4255998c38393a9d2,JolView.java,setupUI,"    private void setupUI() {
        final EditorFactory editorFactory = EditorFactory.getInstance();
        document = editorFactory.createDocument("""");
        editor = editorFactory.createEditor(document, project, FileTypeManager.getInstance().getFileTypeByExtension(extension), true);

        final JComponent editorComponent = editor.getComponent();
        add(editorComponent);

        setToolbar(toolbarPanel);

        cmbLayouter.addActionListener(e -> {
            printLayout();
        });
        cmbDataModel.addActionListener(e -> {
            printLayout();",https://www.github.com/stokito/ideajol/commit/0c16fb31435481194714fdf4255998c38393a9d2,"    private void setupUI() {
        final EditorFactory editorFactory = EditorFactory.getInstance();
        document = editorFactory.createDocument("""");
        editor = editorFactory.createEditor(document, project, FileTypeManager.getInstance().getFileTypeByExtension(extension), true);

        final JComponent editorComponent = editor.getComponent();
        add(editorComponent);

        setToolbar(toolbarPanel);

        cmbLayouter.addActionListener(e -> {
            printLayout();
        });
        cmbDataModel.addActionListener(e -> {
            printLayout();
","['    ', 'private', ' ', 'void', ' ', 'setupUI', '(', ')', ' ', '{', '\n', '        ', 'final', ' ', 'EditorFactory', ' ', 'editorFactory', ' ', '=', ' ', 'EditorFactory', '.', 'getInstance', '(', ')', ';', '\n', '        ', 'document', ' ', '=', ' ', 'editorFactory', '.', 'createDocument', '(', '""', '""', ')', ';', '\n', '        ', 'editor', ' ', '=', ' ', 'editorFactory', '.', 'createEditor', '(', 'document', ',', ' ', 'project', ',', ' ', 'FileTypeManager', '.', 'getInstance', '(', ')', '.', 'getFileTypeByExtension', '(', 'extension', ')', ',', ' ', 'true', ')', ';', '\n', '\n', '        ', 'final', ' ', 'JComponent', ' ', 'editorComponent', ' ', '=', ' ', 'editor', '.', 'getComponent', '(', ')', ';', '\n', '        ', 'add', '(', 'editorComponent', ')', ';', '\n', '\n', '        ', 'setToolbar', '(', 'toolbarPanel', ')', ';', '\n', '\n', '        ', 'cmbLayouter', '.', 'addActionListener', '(', 'e', ' ', '-', '>', ' ', '{', '\n', '            ', 'printLayout', '(', ')', ';', '\n', '        ', '}', ')', ';', '\n', '        ', 'cmbDataModel', '.', 'addActionListener', '(', 'e', ' ', '-', '>', ' ', '{', '\n', '            ', 'printLayout', '(', ')', ';', '\n']"
