Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,2837b5cbac0b917926467fb2a928039807b8e173,DemoPagerAdapter.java,instantiateItem,"    public Object instantiateItem(@NonNull ViewGroup collection, int position) {
        ViewGroup layout = (ViewGroup) LayoutInflater.from(context).inflate(R.layout.demo_page, collection, false);
        TextView label = layout.findViewById(R.id.demo_page_label);
        label.setText(String.valueOf(position));
        collection.addView(layout);
        return layout;
    }",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"    public Object instantiateItem(@NonNull ViewGroup collection, int position) {
        ViewGroup layout = (ViewGroup) LayoutInflater.from(context).inflate(R.layout.demo_page, collection, false);
        TextView label = layout.findViewById(R.id.demo_page_label);
        label.setText(String.valueOf(position));
        collection.addView(layout);
        return layout;
    }
","['    ', 'public', ' ', 'Object', ' ', 'instantiateItem', '(', '@NonNull', ' ', 'ViewGroup', ' ', 'collection', ',', ' ', 'int', ' ', 'position', ')', ' ', '{', '\n', '        ', 'ViewGroup', ' ', 'layout', ' ', '=', ' ', '(', 'ViewGroup', ')', ' ', 'LayoutInflater', '.', 'from', '(', 'context', ')', '.', 'inflate', '(', 'R', '.', 'layout', '.', 'demo_page', ',', ' ', 'collection', ',', ' ', 'false', ')', ';', '\n', '        ', 'TextView', ' ', 'label', ' ', '=', ' ', 'layout', '.', 'findViewById', '(', 'R', '.', 'id', '.', 'demo_page_label', ')', ';', '\n', '        ', 'label', '.', 'setText', '(', 'String', '.', 'valueOf', '(', 'position', ')', ')', ';', '\n', '        ', 'collection', '.', 'addView', '(', 'layout', ')', ';', '\n', '        ', 'return', ' ', 'layout', ';', '\n', '    ', '}', '\n', '<END>']"
master,2837b5cbac0b917926467fb2a928039807b8e173,DemoPagerAdapter.java,destroyItem,"    public void destroyItem(@NonNull ViewGroup collection, int position, @NonNull Object view) {
        collection.removeView((View) view);
    }",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"    public void destroyItem(@NonNull ViewGroup collection, int position, @NonNull Object view) {
        collection.removeView((View) view);
    }
","['    ', 'public', ' ', 'void', ' ', 'destroyItem', '(', '@NonNull', ' ', 'ViewGroup', ' ', 'collection', ',', ' ', 'int', ' ', 'position', ',', ' ', '@NonNull', ' ', 'Object', ' ', 'view', ')', ' ', '{', '\n', '        ', 'collection', '.', 'removeView', '(', '(', 'View', ')', ' ', 'view', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,2837b5cbac0b917926467fb2a928039807b8e173,DemoPagerAdapter.java,isViewFromObject,"    public boolean isViewFromObject(@NonNull View view, @NonNull Object object) {
        return view == object;
    }",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"    public boolean isViewFromObject(@NonNull View view, @NonNull Object object) {
        return view == object;
    }
","['    ', 'public', ' ', 'boolean', ' ', 'isViewFromObject', '(', '@NonNull', ' ', 'View', ' ', 'view', ',', ' ', '@NonNull', ' ', 'Object', ' ', 'object', ')', ' ', '{', '\n', '        ', 'return', ' ', 'view', ' ', '=', '=', ' ', 'object', ';', '\n', '    ', '}', '\n', '<END>']"
master,2837b5cbac0b917926467fb2a928039807b8e173,ScrollingPagerIndicator.java,attachToPager,"    public void attachToPager(ViewPager pager) {
        attachToPager(pager, new ViewPagerAttacher());
    }",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"    public void attachToPager(ViewPager pager) {
        attachToPager(pager, new ViewPagerAttacher());
    }
","['    ', 'public', ' ', 'void', ' ', 'attachToPager', '(', 'ViewPager', ' ', 'pager', ')', ' ', '{', '\n', '        ', 'attachToPager', '(', 'pager', ',', ' ', 'new', ' ', 'ViewPagerAttacher', '(', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,2837b5cbac0b917926467fb2a928039807b8e173,ScrollingPagerIndicator.java,attachToPager,"    public <T> void attachToPager(final T pager, final PagerAttacher<T> attacher) {
        if (currentAttacher != null) {
            currentAttacher.detachFromPager();
            currentAttacher = null;
            attachRunnable = null;
        }
        dotCountInitialized = false;

        attacher.attachToPager(this, pager);
        currentAttacher = attacher;

        attachRunnable = new Runnable() {
            @Override",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"    public <T> void attachToPager(final T pager, final PagerAttacher<T> attacher) {
        if (currentAttacher != null) {
            currentAttacher.detachFromPager();
            currentAttacher = null;
            attachRunnable = null;
        }
        dotCountInitialized = false;

        attacher.attachToPager(this, pager);
        currentAttacher = attacher;

        attachRunnable = new Runnable() {
            @Override
","['    ', 'public', ' ', '<', 'T', '>', ' ', 'void', ' ', 'attachToPager', '(', 'final', ' ', 'T', ' ', 'pager', ',', ' ', 'final', ' ', 'PagerAttacher', '<', 'T', '>', ' ', 'attacher', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'currentAttacher', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'currentAttacher', '.', 'detachFromPager', '(', ')', ';', '\n', '            ', 'currentAttacher', ' ', '=', ' ', 'null', ';', '\n', '            ', 'attachRunnable', ' ', '=', ' ', 'null', ';', '\n', '        ', '}', '\n', '        ', 'dotCountInitialized', ' ', '=', ' ', 'false', ';', '\n', '\n', '        ', 'attacher', '.', 'attachToPager', '(', 'this', ',', ' ', 'pager', ')', ';', '\n', '        ', 'currentAttacher', ' ', '=', ' ', 'attacher', ';', '\n', '\n', '        ', 'attachRunnable', ' ', '=', ' ', 'new', ' ', 'Runnable', '(', ')', ' ', '{', '\n', '            ', '@Override', '\n', '<END>']"
master,2837b5cbac0b917926467fb2a928039807b8e173,ScrollingPagerIndicator.java,run,"            public void run() {
                dotCount = 0;
                attachToPager(pager, attacher);
            }",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"            public void run() {
                dotCount = 0;
                attachToPager(pager, attacher);
            }
","['            ', 'public', ' ', 'void', ' ', 'run', '(', ')', ' ', '{', '\n', '                ', 'dotCount', ' ', '=', ' ', '0', ';', '\n', '                ', 'attachToPager', '(', 'pager', ',', ' ', 'attacher', ')', ';', '\n', '            ', '}', '\n', '<END>']"
master,2837b5cbac0b917926467fb2a928039807b8e173,ScrollingPagerIndicator.java,reattach,"    public void reattach() {
        if (attachRunnable != null) {
            attachRunnable.run();",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"    public void reattach() {
        if (attachRunnable != null) {
            attachRunnable.run();
","['    ', 'public', ' ', 'void', ' ', 'reattach', '(', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'attachRunnable', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '            ', 'attachRunnable', '.', 'run', '(', ')', ';', '\n', '<END>']"
master,2837b5cbac0b917926467fb2a928039807b8e173,ScrollingPagerIndicator.java,onPageScrolled,"    public void onPageScrolled(int page, float offset) {
        if (offset < 0 || offset > 1) {
            throw new IllegalArgumentException(""Offset must be [0, 1]"");
        } else if (page < 0 || page > dotCount) {
            throw new IndexOutOfBoundsException(""page must be [0, adapter.getItemCount()]"");
        }

        if (!looped || dotCount <= visibleDotCount && dotCount > 1) {
            scaleDotByOffset(page, offset);
            if (page < dotCount - 1) {
                scaleDotByOffset(page + 1, 1 - offset);
            } else {
                scaleDotByOffset(0, 1 - offset);
            }
            invalidate();
        }
        adjustFramePosition(offset, page);
        invalidate();
    }",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"    public void onPageScrolled(int page, float offset) {
        if (offset < 0 || offset > 1) {
            throw new IllegalArgumentException(""Offset must be [0, 1]"");
        } else if (page < 0 || page > dotCount) {
            throw new IndexOutOfBoundsException(""page must be [0, adapter.getItemCount()]"");
        }

        if (!looped || dotCount <= visibleDotCount && dotCount > 1) {
            scaleDotByOffset(page, offset);
            if (page < dotCount - 1) {
                scaleDotByOffset(page + 1, 1 - offset);
            } else {
                scaleDotByOffset(0, 1 - offset);
            }
            invalidate();
        }
        adjustFramePosition(offset, page);
        invalidate();
    }
","['    ', 'public', ' ', 'void', ' ', 'onPageScrolled', '(', 'int', ' ', 'page', ',', ' ', 'float', ' ', 'offset', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'offset', ' ', '<', ' ', '0', ' ', '|', '|', ' ', 'offset', ' ', '>', ' ', '1', ')', ' ', '{', '\n', '            ', 'throw', ' ', 'new', ' ', 'IllegalArgumentException', '(', '""', 'Offset must be [0, 1]', '""', ')', ';', '\n', '        ', '}', ' ', 'else', ' ', 'if', ' ', '(', 'page', ' ', '<', ' ', '0', ' ', '|', '|', ' ', 'page', ' ', '>', ' ', 'dotCount', ')', ' ', '{', '\n', '            ', 'throw', ' ', 'new', ' ', 'IndexOutOfBoundsException', '(', '""', 'page must be [0, adapter.getItemCount()]', '""', ')', ';', '\n', '        ', '}', '\n', '\n', '        ', 'if', ' ', '(', '!', 'looped', ' ', '|', '|', ' ', 'dotCount', ' ', '<', '=', ' ', 'visibleDotCount', ' ', '&', '&', ' ', 'dotCount', ' ', '>', ' ', '1', ')', ' ', '{', '\n', '            ', 'scaleDotByOffset', '(', 'page', ',', ' ', 'offset', ')', ';', '\n', '            ', 'if', ' ', '(', 'page', ' ', '<', ' ', 'dotCount', ' ', '-', ' ', '1', ')', ' ', '{', '\n', '                ', 'scaleDotByOffset', '(', 'page', ' ', '+', ' ', '1', ',', ' ', '1', ' ', '-', ' ', 'offset', ')', ';', '\n', '            ', '}', ' ', 'else', ' ', '{', '\n', '                ', 'scaleDotByOffset', '(', '0', ',', ' ', '1', ' ', '-', ' ', 'offset', ')', ';', '\n', '            ', '}', '\n', '            ', 'invalidate', '(', ')', ';', '\n', '        ', '}', '\n', '        ', 'adjustFramePosition', '(', 'offset', ',', ' ', 'page', ')', ';', '\n', '        ', 'invalidate', '(', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,2837b5cbac0b917926467fb2a928039807b8e173,ScrollingPagerIndicator.java,onMeasure,"    protected void onMeasure(int widthMeasureSpec, int heightMeasureSpec) {
        // Width
        int widthMode = MeasureSpec.getMode(widthMeasureSpec);
        if (widthMode == MeasureSpec.EXACTLY) {
            throw new IllegalStateException(""Fixed width is not supported"");
        }
        int measuredWidth;
        if (isInEditMode()) {
            measuredWidth = MeasureSpec.getSize(widthMeasureSpec);
        } else {
            measuredWidth = dotCount >= visibleDotCount
                    ? (int) visibleFrameWidth
                    : (dotCount - 1) * spaceBetweenDotCenters + dotSelectedSize;
        }

        int heightMode = MeasureSpec.getMode(heightMeasureSpec);
        int heightSize = MeasureSpec.getSize(heightMeasureSpec);

        // Height
        int desiredHeight = dotSelectedSize;
        int measuredHeight;

        switch (heightMode) {
            case MeasureSpec.EXACTLY:
                measuredHeight = heightSize;
                break;
            case MeasureSpec.AT_MOST:
                measuredHeight = Math.min(desiredHeight, heightSize);
                break;
            case MeasureSpec.UNSPECIFIED:
            default:
                measuredHeight = desiredHeight;
        }

        setMeasuredDimension(measuredWidth, measuredHeight);
    }",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"    protected void onMeasure(int widthMeasureSpec, int heightMeasureSpec) {
        
        int widthMode = MeasureSpec.getMode(widthMeasureSpec);
        if (widthMode == MeasureSpec.EXACTLY) {
            throw new IllegalStateException(""Fixed width is not supported"");
        }
        int measuredWidth;
        if (isInEditMode()) {
            measuredWidth = MeasureSpec.getSize(widthMeasureSpec);
        } else {
            measuredWidth = dotCount >= visibleDotCount
                    ? (int) visibleFrameWidth
                    : (dotCount - 1) * spaceBetweenDotCenters + dotSelectedSize;
        }

        int heightMode = MeasureSpec.getMode(heightMeasureSpec);
        int heightSize = MeasureSpec.getSize(heightMeasureSpec);

        
        int desiredHeight = dotSelectedSize;
        int measuredHeight;

        switch (heightMode) {
            case MeasureSpec.EXACTLY:
                measuredHeight = heightSize;
                break;
            case MeasureSpec.AT_MOST:
                measuredHeight = Math.min(desiredHeight, heightSize);
                break;
            case MeasureSpec.UNSPECIFIED:
            default:
                measuredHeight = desiredHeight;
        }

        setMeasuredDimension(measuredWidth, measuredHeight);
    }
","['    ', 'protected', ' ', 'void', ' ', 'onMeasure', '(', 'int', ' ', 'widthMeasureSpec', ',', ' ', 'int', ' ', 'heightMeasureSpec', ')', ' ', '{', '\n', '        ', '\n', '        ', 'int', ' ', 'widthMode', ' ', '=', ' ', 'MeasureSpec', '.', 'getMode', '(', 'widthMeasureSpec', ')', ';', '\n', '        ', 'if', ' ', '(', 'widthMode', ' ', '=', '=', ' ', 'MeasureSpec', '.', 'EXACTLY', ')', ' ', '{', '\n', '            ', 'throw', ' ', 'new', ' ', 'IllegalStateException', '(', '""', 'Fixed width is not supported', '""', ')', ';', '\n', '        ', '}', '\n', '        ', 'int', ' ', 'measuredWidth', ';', '\n', '        ', 'if', ' ', '(', 'isInEditMode', '(', ')', ')', ' ', '{', '\n', '            ', 'measuredWidth', ' ', '=', ' ', 'MeasureSpec', '.', 'getSize', '(', 'widthMeasureSpec', ')', ';', '\n', '        ', '}', ' ', 'else', ' ', '{', '\n', '            ', 'measuredWidth', ' ', '=', ' ', 'dotCount', ' ', '>', '=', ' ', 'visibleDotCount', '\n', '                    ', '?', ' ', '(', 'int', ')', ' ', 'visibleFrameWidth', '\n', '                    ', ':', ' ', '(', 'dotCount', ' ', '-', ' ', '1', ')', ' ', '*', ' ', 'spaceBetweenDotCenters', ' ', '+', ' ', 'dotSelectedSize', ';', '\n', '        ', '}', '\n', '\n', '        ', 'int', ' ', 'heightMode', ' ', '=', ' ', 'MeasureSpec', '.', 'getMode', '(', 'heightMeasureSpec', ')', ';', '\n', '        ', 'int', ' ', 'heightSize', ' ', '=', ' ', 'MeasureSpec', '.', 'getSize', '(', 'heightMeasureSpec', ')', ';', '\n', '\n', '        ', '\n', '        ', 'int', ' ', 'desiredHeight', ' ', '=', ' ', 'dotSelectedSize', ';', '\n', '        ', 'int', ' ', 'measuredHeight', ';', '\n', '\n', '        ', 'switch', ' ', '(', 'heightMode', ')', ' ', '{', '\n', '            ', 'case', ' ', 'MeasureSpec', '.', 'EXACTLY', ':', '\n', '                ', 'measuredHeight', ' ', '=', ' ', 'heightSize', ';', '\n', '                ', 'break', ';', '\n', '            ', 'case', ' ', 'MeasureSpec', '.', 'AT_MOST', ':', '\n', '                ', 'measuredHeight', ' ', '=', ' ', 'Math', '.', 'min', '(', 'desiredHeight', ',', ' ', 'heightSize', ')', ';', '\n', '                ', 'break', ';', '\n', '            ', 'case', ' ', 'MeasureSpec', '.', 'UNSPECIFIED', ':', '\n', '            ', 'default', ':', '\n', '                ', 'measuredHeight', ' ', '=', ' ', 'desiredHeight', ';', '\n', '        ', '}', '\n', '\n', '        ', 'setMeasuredDimension', '(', 'measuredWidth', ',', ' ', 'measuredHeight', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,2837b5cbac0b917926467fb2a928039807b8e173,ScrollingPagerIndicator.java,onDraw,"    protected void onDraw(Canvas canvas) {
        if (dotOffset == null || dotOffset.length <= 1) {
            return;
        }

        // Some empirical coefficients
        float scaleDistance = (spaceBetweenDotCenters + (dotSelectedSize - dotNormalSize) / 2) * 0.7f;
        float smallScaleDistance = dotSelectedSize / 2;
        float centerScaleDistance = 6f / 7f * spaceBetweenDotCenters;

        for (int i = 0; i < dotOffset.length; i++) {
            float dot = dotOffset[i];",https://www.github.com/tinkoff-mobile-tech/scrollingpagerindicator/commit/2837b5cbac0b917926467fb2a928039807b8e173,"    protected void onDraw(Canvas canvas) {
        if (dotOffset == null || dotOffset.length <= 1) {
            return;
        }

        
        float scaleDistance = (spaceBetweenDotCenters + (dotSelectedSize - dotNormalSize) / 2) * 0.7f;
        float smallScaleDistance = dotSelectedSize / 2;
        float centerScaleDistance = 6f / 7f * spaceBetweenDotCenters;

        for (int i = 0; i < dotOffset.length; i++) {
            float dot = dotOffset[i];
","['    ', 'protected', ' ', 'void', ' ', 'onDraw', '(', 'Canvas', ' ', 'canvas', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'dotOffset', ' ', '=', '=', ' ', 'null', ' ', '|', '|', ' ', 'dotOffset', '.', 'length', ' ', '<', '=', ' ', '1', ')', ' ', '{', '\n', '            ', 'return', ';', '\n', '        ', '}', '\n', '\n', '        ', '\n', '        ', 'float', ' ', 'scaleDistance', ' ', '=', ' ', '(', 'spaceBetweenDotCenters', ' ', '+', ' ', '(', 'dotSelectedSize', ' ', '-', ' ', 'dotNormalSize', ')', ' ', '/', ' ', '2', ')', ' ', '*', ' ', '0.7f', ';', '\n', '        ', 'float', ' ', 'smallScaleDistance', ' ', '=', ' ', 'dotSelectedSize', ' ', '/', ' ', '2', ';', '\n', '        ', 'float', ' ', 'centerScaleDistance', ' ', '=', ' ', '6f', ' ', '/', ' ', '7f', ' ', '*', ' ', 'spaceBetweenDotCenters', ';', '\n', '\n', '        ', 'for', ' ', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', 'dotOffset', '.', 'length', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '            ', 'float', ' ', 'dot', ' ', '=', ' ', 'dotOffset', '[', 'i', ']', ';', '\n', '<END>']"
