Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,b60e5ecd3c98f733118fd9c8b4dfd0b64c07ac97,ExampleInstrumentedTest.java,useAppContext,"    public void useAppContext() throws Exception {
        // Context of the app under test.
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""me.virtualiz.blurshadowimageview"", appContext.getPackageName());
    }",https://www.github.com/virtualvivek/blurshadowimageview/commit/b60e5ecd3c98f733118fd9c8b4dfd0b64c07ac97,"    public void useAppContext() throws Exception {
        
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""me.virtualiz.blurshadowimageview"", appContext.getPackageName());
    }
","['    ', 'public', ' ', 'void', ' ', 'useAppContext', '(', ')', ' ', 'throws', ' ', 'Exception', ' ', '{', '\n', '        ', '\n', '        ', 'Context', ' ', 'appContext', ' ', '=', ' ', 'InstrumentationRegistry', '.', 'getTargetContext', '(', ')', ';', '\n', '\n', '        ', 'assertEquals', '(', '""', 'me.virtualiz.blurshadowimageview', '""', ',', ' ', 'appContext', '.', 'getPackageName', '(', ')', ')', ';', '\n', '    ', '}', '\n']"
master,b60e5ecd3c98f733118fd9c8b4dfd0b64c07ac97,MainActivity.java,onClick,"            public void onClick(View v) {
                Uri uri = Uri.parse(""https://www.github.com/vivekverma007/BlurShadowImageView"");
                Intent intent = new Intent(Intent.ACTION_VIEW, uri);
                startActivity(intent);
            }",https://www.github.com/virtualvivek/blurshadowimageview/commit/b60e5ecd3c98f733118fd9c8b4dfd0b64c07ac97,"            public void onClick(View v) {
                Uri uri = Uri.parse(""https://www.github.com/vivekverma007/BlurShadowImageView"");
                Intent intent = new Intent(Intent.ACTION_VIEW, uri);
                startActivity(intent);
            }
","['            ', 'public', ' ', 'void', ' ', 'onClick', '(', 'View', ' ', 'v', ')', ' ', '{', '\n', '                ', 'Uri', ' ', 'uri', ' ', '=', ' ', 'Uri', '.', 'parse', '(', '""', 'https://www.github.com/vivekverma007/BlurShadowImageView', '""', ')', ';', '\n', '                ', 'Intent', ' ', 'intent', ' ', '=', ' ', 'new', ' ', 'Intent', '(', 'Intent', '.', 'ACTION_VIEW', ',', ' ', 'uri', ')', ';', '\n', '                ', 'startActivity', '(', 'intent', ')', ';', '\n', '            ', '}', '\n']"
master,b60e5ecd3c98f733118fd9c8b4dfd0b64c07ac97,ExampleUnitTest.java,addition_isCorrect,"    public void addition_isCorrect() throws Exception {
        assertEquals(4, 2 + 2);
    }",https://www.github.com/virtualvivek/blurshadowimageview/commit/b60e5ecd3c98f733118fd9c8b4dfd0b64c07ac97,"    public void addition_isCorrect() throws Exception {
        assertEquals(4, 2 + 2);
    }
","['    ', 'public', ' ', 'void', ' ', 'addition_isCorrect', '(', ')', ' ', 'throws', ' ', 'Exception', ' ', '{', '\n', '        ', 'assertEquals', '(', '4', ',', ' ', '2', ' ', '+', ' ', '2', ')', ';', '\n', '    ', '}', '\n']"
master,3a00764dd4eb4f8a321a38a235b3de7589090eb6,ExampleInstrumentedTest.java,useAppContext,"    public void useAppContext() throws Exception {
        // Context of the app under test.
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""me.virtualiz.blurshadowimageview.test"", appContext.getPackageName());
    }",https://www.github.com/virtualvivek/blurshadowimageview/commit/3a00764dd4eb4f8a321a38a235b3de7589090eb6,"    public void useAppContext() throws Exception {
        
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""me.virtualiz.blurshadowimageview.test"", appContext.getPackageName());
    }
","['    ', 'public', ' ', 'void', ' ', 'useAppContext', '(', ')', ' ', 'throws', ' ', 'Exception', ' ', '{', '\n', '        ', '\n', '        ', 'Context', ' ', 'appContext', ' ', '=', ' ', 'InstrumentationRegistry', '.', 'getTargetContext', '(', ')', ';', '\n', '\n', '        ', 'assertEquals', '(', '""', 'me.virtualiz.blurshadowimageview.test', '""', ',', ' ', 'appContext', '.', 'getPackageName', '(', ')', ')', ';', '\n', '    ', '}', '\n']"
master,3a00764dd4eb4f8a321a38a235b3de7589090eb6,BlurShadowImageView.java,dpToPx,"    public static int dpToPx(int dp){
        return (int) (dp* Resources.getSystem().getDisplayMetrics().density);
    }",https://www.github.com/virtualvivek/blurshadowimageview/commit/3a00764dd4eb4f8a321a38a235b3de7589090eb6,"    public static int dpToPx(int dp){
        return (int) (dp* Resources.getSystem().getDisplayMetrics().density);
    }
","['    ', 'public', ' ', 'static', ' ', 'int', ' ', 'dpToPx', '(', 'int', ' ', 'dp', ')', '{', '\n', '        ', 'return', ' ', '(', 'int', ')', ' ', '(', 'dp', '*', ' ', 'Resources', '.', 'getSystem', '(', ')', '.', 'getDisplayMetrics', '(', ')', '.', 'density', ')', ';', '\n', '    ', '}', '\n']"
master,3a00764dd4eb4f8a321a38a235b3de7589090eb6,BlurShadowImageView.java,onGlobalLayout,"            public void onGlobalLayout() {
                int N = getChildCount();
                for (int i = 0; i < N; i++) {
                    N = getChildCount();
                }
                ((RoundImageView) getChildAt(1)).setRound(imageRound);
                mInvalidat = true;
            }",https://www.github.com/virtualvivek/blurshadowimageview/commit/3a00764dd4eb4f8a321a38a235b3de7589090eb6,"            public void onGlobalLayout() {
                int N = getChildCount();
                for (int i = 0; i < N; i++) {
                    N = getChildCount();
                }
                ((RoundImageView) getChildAt(1)).setRound(imageRound);
                mInvalidat = true;
            }
","['            ', 'public', ' ', 'void', ' ', 'onGlobalLayout', '(', ')', ' ', '{', '\n', '                ', 'int', ' ', 'N', ' ', '=', ' ', 'getChildCount', '(', ')', ';', '\n', '                ', 'for', ' ', '(', 'int', ' ', 'i', ' ', '=', ' ', '0', ';', ' ', 'i', ' ', '<', ' ', 'N', ';', ' ', 'i', '+', '+', ')', ' ', '{', '\n', '                    ', 'N', ' ', '=', ' ', 'getChildCount', '(', ')', ';', '\n', '                ', '}', '\n', '                ', '(', '(', 'RoundImageView', ')', ' ', 'getChildAt', '(', '1', ')', ')', '.', 'setRound', '(', 'imageRound', ')', ';', '\n', '                ', 'mInvalidat', ' ', '=', ' ', 'true', ';', '\n', '            ', '}', '\n']"
master,3a00764dd4eb4f8a321a38a235b3de7589090eb6,FadingImageView.java,init,"    private void init() {
        // Enable horizontal fading
        this.setHorizontalFadingEdgeEnabled(true);
        this.setVerticalFadingEdgeEnabled(true);
        // Apply default fading length
        this.setEdgeLength(78);
        // Apply default side
        this.setFadeRight(true);
        this.setFadeLeft(true);
        this.setFadeBottom(true);
        this.setFadeTop(true);

        //code to round the fadded view
        paint = new Paint();
        paint.setColor(Color.WHITE);
        paint.setAntiAlias(true);
        paint.setXfermode(new PorterDuffXfermode(PorterDuff.Mode.DST_OUT));

        paint2 = new Paint();
        paint2.setXfermode(null);
    }",https://www.github.com/virtualvivek/blurshadowimageview/commit/3a00764dd4eb4f8a321a38a235b3de7589090eb6,"    private void init() {
        
        this.setHorizontalFadingEdgeEnabled(true);
        this.setVerticalFadingEdgeEnabled(true);
        
        this.setEdgeLength(78);
        
        this.setFadeRight(true);
        this.setFadeLeft(true);
        this.setFadeBottom(true);
        this.setFadeTop(true);

        
        paint = new Paint();
        paint.setColor(Color.WHITE);
        paint.setAntiAlias(true);
        paint.setXfermode(new PorterDuffXfermode(PorterDuff.Mode.DST_OUT));

        paint2 = new Paint();
        paint2.setXfermode(null);
    }
","['    ', 'private', ' ', 'void', ' ', 'init', '(', ')', ' ', '{', '\n', '        ', '\n', '        ', 'this', '.', 'setHorizontalFadingEdgeEnabled', '(', 'true', ')', ';', '\n', '        ', 'this', '.', 'setVerticalFadingEdgeEnabled', '(', 'true', ')', ';', '\n', '        ', '\n', '        ', 'this', '.', 'setEdgeLength', '(', '78', ')', ';', '\n', '        ', '\n', '        ', 'this', '.', 'setFadeRight', '(', 'true', ')', ';', '\n', '        ', 'this', '.', 'setFadeLeft', '(', 'true', ')', ';', '\n', '        ', 'this', '.', 'setFadeBottom', '(', 'true', ')', ';', '\n', '        ', 'this', '.', 'setFadeTop', '(', 'true', ')', ';', '\n', '\n', '        ', '\n', '        ', 'paint', ' ', '=', ' ', 'new', ' ', 'Paint', '(', ')', ';', '\n', '        ', 'paint', '.', 'setColor', '(', 'Color', '.', 'WHITE', ')', ';', '\n', '        ', 'paint', '.', 'setAntiAlias', '(', 'true', ')', ';', '\n', '        ', 'paint', '.', 'setXfermode', '(', 'new', ' ', 'PorterDuffXfermode', '(', 'PorterDuff', '.', 'Mode', '.', 'DST_OUT', ')', ')', ';', '\n', '\n', '        ', 'paint2', ' ', '=', ' ', 'new', ' ', 'Paint', '(', ')', ';', '\n', '        ', 'paint2', '.', 'setXfermode', '(', 'null', ')', ';', '\n', '    ', '}', '\n']"
master,3a00764dd4eb4f8a321a38a235b3de7589090eb6,FadingImageView.java,draw,"    public void draw(Canvas canvas) {
        Bitmap bitmap = Bitmap.createBitmap(getWidth(), getHeight(), Bitmap.Config.ARGB_8888);
        Canvas canvas2 = new Canvas(bitmap);
        super.draw(canvas2);
        canvas.drawBitmap(bitmap, 0, 0, paint2);
        bitmap.recycle();
    }",https://www.github.com/virtualvivek/blurshadowimageview/commit/3a00764dd4eb4f8a321a38a235b3de7589090eb6,"    public void draw(Canvas canvas) {
        Bitmap bitmap = Bitmap.createBitmap(getWidth(), getHeight(), Bitmap.Config.ARGB_8888);
        Canvas canvas2 = new Canvas(bitmap);
        super.draw(canvas2);
        canvas.drawBitmap(bitmap, 0, 0, paint2);
        bitmap.recycle();
    }
","['    ', 'public', ' ', 'void', ' ', 'draw', '(', 'Canvas', ' ', 'canvas', ')', ' ', '{', '\n', '        ', 'Bitmap', ' ', 'bitmap', ' ', '=', ' ', 'Bitmap', '.', 'createBitmap', '(', 'getWidth', '(', ')', ',', ' ', 'getHeight', '(', ')', ',', ' ', 'Bitmap', '.', 'Config', '.', 'ARGB_8888', ')', ';', '\n', '        ', 'Canvas', ' ', 'canvas2', ' ', '=', ' ', 'new', ' ', 'Canvas', '(', 'bitmap', ')', ';', '\n', '        ', 'super', '.', 'draw', '(', 'canvas2', ')', ';', '\n', '        ', 'canvas', '.', 'drawBitmap', '(', 'bitmap', ',', ' ', '0', ',', ' ', '0', ',', ' ', 'paint2', ')', ';', '\n', '        ', 'bitmap', '.', 'recycle', '(', ')', ';', '\n', '    ', '}', '\n']"
master,3a00764dd4eb4f8a321a38a235b3de7589090eb6,RoundImageView.java,init,"    private void init(Context context) {
        paint = new Paint();
        paint.setColor(Color.WHITE);
        paint.setAntiAlias(true);
        paint.setXfermode(new PorterDuffXfermode(PorterDuff.Mode.DST_OUT));

        paint2 = new Paint();
        paint2.setXfermode(null);
    }",https://www.github.com/virtualvivek/blurshadowimageview/commit/3a00764dd4eb4f8a321a38a235b3de7589090eb6,"    private void init(Context context) {
        paint = new Paint();
        paint.setColor(Color.WHITE);
        paint.setAntiAlias(true);
        paint.setXfermode(new PorterDuffXfermode(PorterDuff.Mode.DST_OUT));

        paint2 = new Paint();
        paint2.setXfermode(null);
    }
","['    ', 'private', ' ', 'void', ' ', 'init', '(', 'Context', ' ', 'context', ')', ' ', '{', '\n', '        ', 'paint', ' ', '=', ' ', 'new', ' ', 'Paint', '(', ')', ';', '\n', '        ', 'paint', '.', 'setColor', '(', 'Color', '.', 'WHITE', ')', ';', '\n', '        ', 'paint', '.', 'setAntiAlias', '(', 'true', ')', ';', '\n', '        ', 'paint', '.', 'setXfermode', '(', 'new', ' ', 'PorterDuffXfermode', '(', 'PorterDuff', '.', 'Mode', '.', 'DST_OUT', ')', ')', ';', '\n', '\n', '        ', 'paint2', ' ', '=', ' ', 'new', ' ', 'Paint', '(', ')', ';', '\n', '        ', 'paint2', '.', 'setXfermode', '(', 'null', ')', ';', '\n', '    ', '}', '\n']"
master,3a00764dd4eb4f8a321a38a235b3de7589090eb6,RoundImageView.java,draw,"    public void draw(Canvas canvas) {
        Bitmap bitmap = Bitmap.createBitmap(getWidth(), getHeight(), Bitmap.Config.ARGB_8888);
        Canvas canvas2 = new Canvas(bitmap);
        super.draw(canvas2);
        drawLiftUp(canvas2);
        drawLiftDown(canvas2);
        drawRightUp(canvas2);
        drawRightDown(canvas2);
        canvas.drawBitmap(bitmap, 0, 0, paint2);
        bitmap.recycle();
    }",https://www.github.com/virtualvivek/blurshadowimageview/commit/3a00764dd4eb4f8a321a38a235b3de7589090eb6,"    public void draw(Canvas canvas) {
        Bitmap bitmap = Bitmap.createBitmap(getWidth(), getHeight(), Bitmap.Config.ARGB_8888);
        Canvas canvas2 = new Canvas(bitmap);
        super.draw(canvas2);
        drawLiftUp(canvas2);
        drawLiftDown(canvas2);
        drawRightUp(canvas2);
        drawRightDown(canvas2);
        canvas.drawBitmap(bitmap, 0, 0, paint2);
        bitmap.recycle();
    }
","['    ', 'public', ' ', 'void', ' ', 'draw', '(', 'Canvas', ' ', 'canvas', ')', ' ', '{', '\n', '        ', 'Bitmap', ' ', 'bitmap', ' ', '=', ' ', 'Bitmap', '.', 'createBitmap', '(', 'getWidth', '(', ')', ',', ' ', 'getHeight', '(', ')', ',', ' ', 'Bitmap', '.', 'Config', '.', 'ARGB_8888', ')', ';', '\n', '        ', 'Canvas', ' ', 'canvas2', ' ', '=', ' ', 'new', ' ', 'Canvas', '(', 'bitmap', ')', ';', '\n', '        ', 'super', '.', 'draw', '(', 'canvas2', ')', ';', '\n', '        ', 'drawLiftUp', '(', 'canvas2', ')', ';', '\n', '        ', 'drawLiftDown', '(', 'canvas2', ')', ';', '\n', '        ', 'drawRightUp', '(', 'canvas2', ')', ';', '\n', '        ', 'drawRightDown', '(', 'canvas2', ')', ';', '\n', '        ', 'canvas', '.', 'drawBitmap', '(', 'bitmap', ',', ' ', '0', ',', ' ', '0', ',', ' ', 'paint2', ')', ';', '\n', '        ', 'bitmap', '.', 'recycle', '(', ')', ';', '\n', '    ', '}', '\n']"
