Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,ArtifactFilter.java,match,"	public boolean match(Artifact artifact) {
			return (artifact.getArtifactId().equals(this.artifactId) && artifact.getGroupId().equals(this.groupId)
					&& (((this.classifier == null) && (artifact.getClassifier() == null)) || ",https://www.github.com/wvengen/proguard-maven-plugin/commit/0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,"	public boolean match(Artifact artifact) {
			return (artifact.getArtifactId().equals(this.artifactId) && artifact.getGroupId().equals(this.groupId)
					&& (((this.classifier == null) && (artifact.getClassifier() == null)) || 
","['\t', 'public', ' ', 'boolean', ' ', 'match', '(', 'Artifact', ' ', 'artifact', ')', ' ', '{', '\n', '\t\t\t', 'return', ' ', '(', 'artifact', '.', 'getArtifactId', '(', ')', '.', 'equals', '(', 'this', '.', 'artifactId', ')', ' ', '&', '&', ' ', 'artifact', '.', 'getGroupId', '(', ')', '.', 'equals', '(', 'this', '.', 'groupId', ')', '\n', '\t\t\t\t\t', '&', '&', ' ', '(', '(', '(', 'this', '.', 'classifier', ' ', '=', '=', ' ', 'null', ')', ' ', '&', '&', ' ', '(', 'artifact', '.', 'getClassifier', '(', ')', ' ', '=', '=', ' ', 'null', ')', ')', ' ', '|', '|', ' ', '\n', '<END>']"
master,0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,ProGuardMojo.java,useArtifactClassifier,"	private boolean useArtifactClassifier() {
		return appendClassifier && ((attachArtifactClassifier != null) && (attachArtifactClassifier.length() > 0));
	}",https://www.github.com/wvengen/proguard-maven-plugin/commit/0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,"	private boolean useArtifactClassifier() {
		return appendClassifier && ((attachArtifactClassifier != null) && (attachArtifactClassifier.length() > 0));
	}
","['\t', 'private', ' ', 'boolean', ' ', 'useArtifactClassifier', '(', ')', ' ', '{', '\n', '\t\t', 'return', ' ', 'appendClassifier', ' ', '&', '&', ' ', '(', '(', 'attachArtifactClassifier', ' ', '!', '=', ' ', 'null', ')', ' ', '&', '&', ' ', '(', 'attachArtifactClassifier', '.', 'length', '(', ')', ' ', '>', ' ', '0', ')', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,ProGuardMojo.java,proguardMain,"	private static void proguardMain(File proguardJar, ArrayList argsList, ProGuardMojo mojo)
			throws MojoExecutionException {

		Java java = new Java();

		Project antProject = new Project();
		antProject.setName(mojo.mavenProject.getName());
		antProject.init();
		
		DefaultLogger antLogger = new DefaultLogger();
        antLogger.setOutputPrintStream( System.out );
        antLogger.setErrorPrintStream( System.err );
        antLogger.setMessageOutputLevel(mojo.log.isDebugEnabled() ? Project.MSG_DEBUG : Project.MSG_INFO );

        antProject.addBuildListener( antLogger );
        antProject.setBaseDir( mojo.mavenProject.getBasedir() );
		
		java.setProject(antProject);
		java.setTaskName(""proguard"");

		mojo.getLog().info(""proguard jar: "" + proguardJar);

		java.createClasspath().setLocation(proguardJar);
		//java.createClasspath().setPath(System.getProperty(""java.class.path""));
		java.setClassname(proguardMainClass);

		java.setFailonerror(true);

		java.setFork(true);

		for (Iterator i = argsList.iterator(); i.hasNext();) {
			java.createArg().setValue(i.next().toString());
		}

		int result = java.executeJava();
		if (result != 0) {
			throw new MojoExecutionException(""Obfuscation failed (result="" + result + "")"");",https://www.github.com/wvengen/proguard-maven-plugin/commit/0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,"	private static void proguardMain(File proguardJar, ArrayList argsList, ProGuardMojo mojo)
			throws MojoExecutionException {

		Java java = new Java();

		Project antProject = new Project();
		antProject.setName(mojo.mavenProject.getName());
		antProject.init();
		
		DefaultLogger antLogger = new DefaultLogger();
        antLogger.setOutputPrintStream( System.out );
        antLogger.setErrorPrintStream( System.err );
        antLogger.setMessageOutputLevel(mojo.log.isDebugEnabled() ? Project.MSG_DEBUG : Project.MSG_INFO );

        antProject.addBuildListener( antLogger );
        antProject.setBaseDir( mojo.mavenProject.getBasedir() );
		
		java.setProject(antProject);
		java.setTaskName(""proguard"");

		mojo.getLog().info(""proguard jar: "" + proguardJar);

		java.createClasspath().setLocation(proguardJar);
		
		java.setClassname(proguardMainClass);

		java.setFailonerror(true);

		java.setFork(true);

		for (Iterator i = argsList.iterator(); i.hasNext();) {
			java.createArg().setValue(i.next().toString());
		}

		int result = java.executeJava();
		if (result != 0) {
			throw new MojoExecutionException(""Obfuscation failed (result="" + result + "")"");
","['\t', 'private', ' ', 'static', ' ', 'void', ' ', 'proguardMain', '(', 'File', ' ', 'proguardJar', ',', ' ', 'ArrayList', ' ', 'argsList', ',', ' ', 'ProGuardMojo', ' ', 'mojo', ')', '\n', '\t\t\t', 'throws', ' ', 'MojoExecutionException', ' ', '{', '\n', '\n', '\t\t', 'Java', ' ', 'java', ' ', '=', ' ', 'new', ' ', 'Java', '(', ')', ';', '\n', '\n', '\t\t', 'Project', ' ', 'antProject', ' ', '=', ' ', 'new', ' ', 'Project', '(', ')', ';', '\n', '\t\t', 'antProject', '.', 'setName', '(', 'mojo', '.', 'mavenProject', '.', 'getName', '(', ')', ')', ';', '\n', '\t\t', 'antProject', '.', 'init', '(', ')', ';', '\n', '\t\t', '\n', '\t\t', 'DefaultLogger', ' ', 'antLogger', ' ', '=', ' ', 'new', ' ', 'DefaultLogger', '(', ')', ';', '\n', '        ', 'antLogger', '.', 'setOutputPrintStream', '(', ' ', 'System', '.', 'out', ' ', ')', ';', '\n', '        ', 'antLogger', '.', 'setErrorPrintStream', '(', ' ', 'System', '.', 'err', ' ', ')', ';', '\n', '        ', 'antLogger', '.', 'setMessageOutputLevel', '(', 'mojo', '.', 'log', '.', 'isDebugEnabled', '(', ')', ' ', '?', ' ', 'Project', '.', 'MSG_DEBUG', ' ', ':', ' ', 'Project', '.', 'MSG_INFO', ' ', ')', ';', '\n', '\n', '        ', 'antProject', '.', 'addBuildListener', '(', ' ', 'antLogger', ' ', ')', ';', '\n', '        ', 'antProject', '.', 'setBaseDir', '(', ' ', 'mojo', '.', 'mavenProject', '.', 'getBasedir', '(', ')', ' ', ')', ';', '\n', '\t\t', '\n', '\t\t', 'java', '.', 'setProject', '(', 'antProject', ')', ';', '\n', '\t\t', 'java', '.', 'setTaskName', '(', '""', 'proguard', '""', ')', ';', '\n', '\n', '\t\t', 'mojo', '.', 'getLog', '(', ')', '.', 'info', '(', '""', 'proguard jar: ', '""', ' ', '+', ' ', 'proguardJar', ')', ';', '\n', '\n', '\t\t', 'java', '.', 'createClasspath', '(', ')', '.', 'setLocation', '(', 'proguardJar', ')', ';', '\n', '\t\t', '\n', '\t\t', 'java', '.', 'setClassname', '(', 'proguardMainClass', ')', ';', '\n', '\n', '\t\t', 'java', '.', 'setFailonerror', '(', 'true', ')', ';', '\n', '\n', '\t\t', 'java', '.', 'setFork', '(', 'true', ')', ';', '\n', '\n', '\t\t', 'for', ' ', '(', 'Iterator', ' ', 'i', ' ', '=', ' ', 'argsList', '.', 'iterator', '(', ')', ';', ' ', 'i', '.', 'hasNext', '(', ')', ';', ')', ' ', '{', '\n', '\t\t\t', 'java', '.', 'createArg', '(', ')', '.', 'setValue', '(', 'i', '.', 'next', '(', ')', '.', 'toString', '(', ')', ')', ';', '\n', '\t\t', '}', '\n', '\n', '\t\t', 'int', ' ', 'result', ' ', '=', ' ', 'java', '.', 'executeJava', '(', ')', ';', '\n', '\t\t', 'if', ' ', '(', 'result', ' ', '!', '=', ' ', '0', ')', ' ', '{', '\n', '\t\t\t', 'throw', ' ', 'new', ' ', 'MojoExecutionException', '(', '""', 'Obfuscation failed (result=', '""', ' ', '+', ' ', 'result', ' ', '+', ' ', '""', ')', '""', ')', ';', '\n', '<END>']"
master,0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,ProGuardMojo.java,nameNoType,"	private static String nameNoType(String artifactname) {
		return artifactname.substring(0, artifactname.lastIndexOf('.'));
	}",https://www.github.com/wvengen/proguard-maven-plugin/commit/0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,"	private static String nameNoType(String artifactname) {
		return artifactname.substring(0, artifactname.lastIndexOf('.'));
	}
","['\t', 'private', ' ', 'static', ' ', 'String', ' ', 'nameNoType', '(', 'String', ' ', 'artifactname', ')', ' ', '{', '\n', '\t\t', 'return', ' ', 'artifactname', '.', 'substring', '(', '0', ',', ' ', 'artifactname', '.', 'lastIndexOf', '(', ""'.'"", ')', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,ProGuardMojo.java,getDependancy,"	private static Artifact getDependancy(Inclusion inc, MavenProject mavenProject) throws MojoExecutionException {
		List dependancy = mavenProject.getCompileArtifacts();
		for (Iterator i = dependancy.iterator(); i.hasNext();) {
			Artifact artifact = (Artifact) i.next();
			if (inc.match(artifact)) {
				return artifact;
			}
		}
		throw new MojoExecutionException(""artifactId Not found "" + inc.artifactId);
	}",https://www.github.com/wvengen/proguard-maven-plugin/commit/0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,"	private static Artifact getDependancy(Inclusion inc, MavenProject mavenProject) throws MojoExecutionException {
		List dependancy = mavenProject.getCompileArtifacts();
		for (Iterator i = dependancy.iterator(); i.hasNext();) {
			Artifact artifact = (Artifact) i.next();
			if (inc.match(artifact)) {
				return artifact;
			}
		}
		throw new MojoExecutionException(""artifactId Not found "" + inc.artifactId);
	}
","['\t', 'private', ' ', 'static', ' ', 'Artifact', ' ', 'getDependancy', '(', 'Inclusion', ' ', 'inc', ',', ' ', 'MavenProject', ' ', 'mavenProject', ')', ' ', 'throws', ' ', 'MojoExecutionException', ' ', '{', '\n', '\t\t', 'List', ' ', 'dependancy', ' ', '=', ' ', 'mavenProject', '.', 'getCompileArtifacts', '(', ')', ';', '\n', '\t\t', 'for', ' ', '(', 'Iterator', ' ', 'i', ' ', '=', ' ', 'dependancy', '.', 'iterator', '(', ')', ';', ' ', 'i', '.', 'hasNext', '(', ')', ';', ')', ' ', '{', '\n', '\t\t\t', 'Artifact', ' ', 'artifact', ' ', '=', ' ', '(', 'Artifact', ')', ' ', 'i', '.', 'next', '(', ')', ';', '\n', '\t\t\t', 'if', ' ', '(', 'inc', '.', 'match', '(', 'artifact', ')', ')', ' ', '{', '\n', '\t\t\t\t', 'return', ' ', 'artifact', ';', '\n', '\t\t\t', '}', '\n', '\t\t', '}', '\n', '\t\t', 'throw', ' ', 'new', ' ', 'MojoExecutionException', '(', '""', 'artifactId Not found ', '""', ' ', '+', ' ', 'inc', '.', 'artifactId', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,ProGuardMojo.java,isExclusion,"	private boolean isExclusion(Artifact artifact) {
		if (exclusions == null) {
			return false;	
		}
		for (Iterator iter = exclusions.iterator(); iter.hasNext();) {
			Exclusion excl = (Exclusion) iter.next();
			if (excl.match(artifact)) {
				return true;
			}
		}
		return false;
	}",https://www.github.com/wvengen/proguard-maven-plugin/commit/0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,"	private boolean isExclusion(Artifact artifact) {
		if (exclusions == null) {
			return false;	
		}
		for (Iterator iter = exclusions.iterator(); iter.hasNext();) {
			Exclusion excl = (Exclusion) iter.next();
			if (excl.match(artifact)) {
				return true;
			}
		}
		return false;
	}
","['\t', 'private', ' ', 'boolean', ' ', 'isExclusion', '(', 'Artifact', ' ', 'artifact', ')', ' ', '{', '\n', '\t\t', 'if', ' ', '(', 'exclusions', ' ', '=', '=', ' ', 'null', ')', ' ', '{', '\n', '\t\t\t', 'return', ' ', 'false', ';', '\t', '\n', '\t\t', '}', '\n', '\t\t', 'for', ' ', '(', 'Iterator', ' ', 'iter', ' ', '=', ' ', 'exclusions', '.', 'iterator', '(', ')', ';', ' ', 'iter', '.', 'hasNext', '(', ')', ';', ')', ' ', '{', '\n', '\t\t\t', 'Exclusion', ' ', 'excl', ' ', '=', ' ', '(', 'Exclusion', ')', ' ', 'iter', '.', 'next', '(', ')', ';', '\n', '\t\t\t', 'if', ' ', '(', 'excl', '.', 'match', '(', 'artifact', ')', ')', ' ', '{', '\n', '\t\t\t\t', 'return', ' ', 'true', ';', '\n', '\t\t\t', '}', '\n', '\t\t', '}', '\n', '\t\t', 'return', ' ', 'false', ';', '\n', '\t', '}', '\n', '<END>']"
master,0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,ProGuardMojo.java,getClasspathElement,"	private static File getClasspathElement(Artifact artifact, MavenProject mavenProject) throws MojoExecutionException {
		String refId = artifact.getGroupId() + "":"" + artifact.getArtifactId();
        MavenProject project = (MavenProject) mavenProject.getProjectReferences().get( refId );
        if (project != null) {
			return new File(project.getBuild().getOutputDirectory());",https://www.github.com/wvengen/proguard-maven-plugin/commit/0f99fc71df8fdaa40f4652cc4c00e9755aa0eae7,"	private static File getClasspathElement(Artifact artifact, MavenProject mavenProject) throws MojoExecutionException {
		String refId = artifact.getGroupId() + "":"" + artifact.getArtifactId();
        MavenProject project = (MavenProject) mavenProject.getProjectReferences().get( refId );
        if (project != null) {
			return new File(project.getBuild().getOutputDirectory());
","['\t', 'private', ' ', 'static', ' ', 'File', ' ', 'getClasspathElement', '(', 'Artifact', ' ', 'artifact', ',', ' ', 'MavenProject', ' ', 'mavenProject', ')', ' ', 'throws', ' ', 'MojoExecutionException', ' ', '{', '\n', '\t\t', 'String', ' ', 'refId', ' ', '=', ' ', 'artifact', '.', 'getGroupId', '(', ')', ' ', '+', ' ', '""', ':', '""', ' ', '+', ' ', 'artifact', '.', 'getArtifactId', '(', ')', ';', '\n', '        ', 'MavenProject', ' ', 'project', ' ', '=', ' ', '(', 'MavenProject', ')', ' ', 'mavenProject', '.', 'getProjectReferences', '(', ')', '.', 'get', '(', ' ', 'refId', ' ', ')', ';', '\n', '        ', 'if', ' ', '(', 'project', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '\t\t\t', 'return', ' ', 'new', ' ', 'File', '(', 'project', '.', 'getBuild', '(', ')', '.', 'getOutputDirectory', '(', ')', ')', ';', '\n', '<END>']"
master,74a50f4bd2a05fa27dbc054c708a08c18ad3715b,ProGuardMojo.java,getDependancy,"	private static Artifact getDependancy(Inclusion inc, MavenProject mavenProject) throws MojoExecutionException {
		Set dependancy = mavenProject.getArtifacts();
		for (Iterator i = dependancy.iterator(); i.hasNext();) {
			Artifact artifact = (Artifact) i.next();
			if (inc.match(artifact)) {
				return artifact;
			}
		}
		throw new MojoExecutionException(""artifactId Not found "" + inc.artifactId);
	}",https://www.github.com/wvengen/proguard-maven-plugin/commit/74a50f4bd2a05fa27dbc054c708a08c18ad3715b,"	private static Artifact getDependancy(Inclusion inc, MavenProject mavenProject) throws MojoExecutionException {
		Set dependancy = mavenProject.getArtifacts();
		for (Iterator i = dependancy.iterator(); i.hasNext();) {
			Artifact artifact = (Artifact) i.next();
			if (inc.match(artifact)) {
				return artifact;
			}
		}
		throw new MojoExecutionException(""artifactId Not found "" + inc.artifactId);
	}
","['\t', 'private', ' ', 'static', ' ', 'Artifact', ' ', 'getDependancy', '(', 'Inclusion', ' ', 'inc', ',', ' ', 'MavenProject', ' ', 'mavenProject', ')', ' ', 'throws', ' ', 'MojoExecutionException', ' ', '{', '\n', '\t\t', 'Set', ' ', 'dependancy', ' ', '=', ' ', 'mavenProject', '.', 'getArtifacts', '(', ')', ';', '\n', '\t\t', 'for', ' ', '(', 'Iterator', ' ', 'i', ' ', '=', ' ', 'dependancy', '.', 'iterator', '(', ')', ';', ' ', 'i', '.', 'hasNext', '(', ')', ';', ')', ' ', '{', '\n', '\t\t\t', 'Artifact', ' ', 'artifact', ' ', '=', ' ', '(', 'Artifact', ')', ' ', 'i', '.', 'next', '(', ')', ';', '\n', '\t\t\t', 'if', ' ', '(', 'inc', '.', 'match', '(', 'artifact', ')', ')', ' ', '{', '\n', '\t\t\t\t', 'return', ' ', 'artifact', ';', '\n', '\t\t\t', '}', '\n', '\t\t', '}', '\n', '\t\t', 'throw', ' ', 'new', ' ', 'MojoExecutionException', '(', '""', 'artifactId Not found ', '""', ' ', '+', ' ', 'inc', '.', 'artifactId', ')', ';', '\n', '\t', '}', '\n', '<END>']"
master,fcee9022bcff7fa8592746b646698ed4b92b0aea,ProGuardMojo.java,proguardMain,"	private static void proguardMain(File proguardJar, ArrayList argsList, ProGuardMojo mojo)
			throws MojoExecutionException {

		Java java = new Java();

		Project antProject = new Project();
		antProject.setName(mojo.mavenProject.getName());
		antProject.init();

		DefaultLogger antLogger = new DefaultLogger();
		antLogger.setOutputPrintStream(System.out);
		antLogger.setErrorPrintStream(System.err);
		antLogger.setMessageOutputLevel(mojo.log.isDebugEnabled() ? Project.MSG_DEBUG : Project.MSG_INFO);

		antProject.addBuildListener(antLogger);
		antProject.setBaseDir(mojo.mavenProject.getBasedir());

		java.setProject(antProject);
		java.setTaskName(""proguard"");

		mojo.getLog().info(""proguard jar: "" + proguardJar);

		java.createClasspath().setLocation(proguardJar);
		//java.createClasspath().setPath(System.getProperty(""java.class.path""));
		java.setClassname(proguardMainClass);

		java.setFailonerror(true);

		java.setFork(true);

		// get the maxMemory setting
		if (mojo.maxMemory != null) {
			java.setMaxmemory(mojo.maxMemory);
		}

		for (Iterator i = argsList.iterator(); i.hasNext();) {
			java.createArg().setValue(i.next().toString());
		}

		int result = java.executeJava();
		if (result != 0) {
			throw new MojoExecutionException(""Obfuscation failed (result="" + result + "")"");",https://www.github.com/wvengen/proguard-maven-plugin/commit/fcee9022bcff7fa8592746b646698ed4b92b0aea,"	private static void proguardMain(File proguardJar, ArrayList argsList, ProGuardMojo mojo)
			throws MojoExecutionException {

		Java java = new Java();

		Project antProject = new Project();
		antProject.setName(mojo.mavenProject.getName());
		antProject.init();

		DefaultLogger antLogger = new DefaultLogger();
		antLogger.setOutputPrintStream(System.out);
		antLogger.setErrorPrintStream(System.err);
		antLogger.setMessageOutputLevel(mojo.log.isDebugEnabled() ? Project.MSG_DEBUG : Project.MSG_INFO);

		antProject.addBuildListener(antLogger);
		antProject.setBaseDir(mojo.mavenProject.getBasedir());

		java.setProject(antProject);
		java.setTaskName(""proguard"");

		mojo.getLog().info(""proguard jar: "" + proguardJar);

		java.createClasspath().setLocation(proguardJar);
		
		java.setClassname(proguardMainClass);

		java.setFailonerror(true);

		java.setFork(true);

		
		if (mojo.maxMemory != null) {
			java.setMaxmemory(mojo.maxMemory);
		}

		for (Iterator i = argsList.iterator(); i.hasNext();) {
			java.createArg().setValue(i.next().toString());
		}

		int result = java.executeJava();
		if (result != 0) {
			throw new MojoExecutionException(""Obfuscation failed (result="" + result + "")"");
","['\t', 'private', ' ', 'static', ' ', 'void', ' ', 'proguardMain', '(', 'File', ' ', 'proguardJar', ',', ' ', 'ArrayList', ' ', 'argsList', ',', ' ', 'ProGuardMojo', ' ', 'mojo', ')', '\n', '\t\t\t', 'throws', ' ', 'MojoExecutionException', ' ', '{', '\n', '\n', '\t\t', 'Java', ' ', 'java', ' ', '=', ' ', 'new', ' ', 'Java', '(', ')', ';', '\n', '\n', '\t\t', 'Project', ' ', 'antProject', ' ', '=', ' ', 'new', ' ', 'Project', '(', ')', ';', '\n', '\t\t', 'antProject', '.', 'setName', '(', 'mojo', '.', 'mavenProject', '.', 'getName', '(', ')', ')', ';', '\n', '\t\t', 'antProject', '.', 'init', '(', ')', ';', '\n', '\n', '\t\t', 'DefaultLogger', ' ', 'antLogger', ' ', '=', ' ', 'new', ' ', 'DefaultLogger', '(', ')', ';', '\n', '\t\t', 'antLogger', '.', 'setOutputPrintStream', '(', 'System', '.', 'out', ')', ';', '\n', '\t\t', 'antLogger', '.', 'setErrorPrintStream', '(', 'System', '.', 'err', ')', ';', '\n', '\t\t', 'antLogger', '.', 'setMessageOutputLevel', '(', 'mojo', '.', 'log', '.', 'isDebugEnabled', '(', ')', ' ', '?', ' ', 'Project', '.', 'MSG_DEBUG', ' ', ':', ' ', 'Project', '.', 'MSG_INFO', ')', ';', '\n', '\n', '\t\t', 'antProject', '.', 'addBuildListener', '(', 'antLogger', ')', ';', '\n', '\t\t', 'antProject', '.', 'setBaseDir', '(', 'mojo', '.', 'mavenProject', '.', 'getBasedir', '(', ')', ')', ';', '\n', '\n', '\t\t', 'java', '.', 'setProject', '(', 'antProject', ')', ';', '\n', '\t\t', 'java', '.', 'setTaskName', '(', '""', 'proguard', '""', ')', ';', '\n', '\n', '\t\t', 'mojo', '.', 'getLog', '(', ')', '.', 'info', '(', '""', 'proguard jar: ', '""', ' ', '+', ' ', 'proguardJar', ')', ';', '\n', '\n', '\t\t', 'java', '.', 'createClasspath', '(', ')', '.', 'setLocation', '(', 'proguardJar', ')', ';', '\n', '\t\t', '\n', '\t\t', 'java', '.', 'setClassname', '(', 'proguardMainClass', ')', ';', '\n', '\n', '\t\t', 'java', '.', 'setFailonerror', '(', 'true', ')', ';', '\n', '\n', '\t\t', 'java', '.', 'setFork', '(', 'true', ')', ';', '\n', '\n', '\t\t', '\n', '\t\t', 'if', ' ', '(', 'mojo', '.', 'maxMemory', ' ', '!', '=', ' ', 'null', ')', ' ', '{', '\n', '\t\t\t', 'java', '.', 'setMaxmemory', '(', 'mojo', '.', 'maxMemory', ')', ';', '\n', '\t\t', '}', '\n', '\n', '\t\t', 'for', ' ', '(', 'Iterator', ' ', 'i', ' ', '=', ' ', 'argsList', '.', 'iterator', '(', ')', ';', ' ', 'i', '.', 'hasNext', '(', ')', ';', ')', ' ', '{', '\n', '\t\t\t', 'java', '.', 'createArg', '(', ')', '.', 'setValue', '(', 'i', '.', 'next', '(', ')', '.', 'toString', '(', ')', ')', ';', '\n', '\t\t', '}', '\n', '\n', '\t\t', 'int', ' ', 'result', ' ', '=', ' ', 'java', '.', 'executeJava', '(', ')', ';', '\n', '\t\t', 'if', ' ', '(', 'result', ' ', '!', '=', ' ', '0', ')', ' ', '{', '\n', '\t\t\t', 'throw', ' ', 'new', ' ', 'MojoExecutionException', '(', '""', 'Obfuscation failed (result=', '""', ' ', '+', ' ', 'result', ' ', '+', ' ', '""', ')', '""', ')', ';', '\n', '<END>']"
master,fcee9022bcff7fa8592746b646698ed4b92b0aea,ProGuardMojo.java,isExclusion,"	private boolean isExclusion(Artifact artifact) {
		if (exclusions == null) {
			return false;
		}
		for (Iterator iter = exclusions.iterator(); iter.hasNext();) {
			Exclusion excl = (Exclusion) iter.next();
			if (excl.match(artifact)) {
				return true;
			}
		}
		return false;
	}",https://www.github.com/wvengen/proguard-maven-plugin/commit/fcee9022bcff7fa8592746b646698ed4b92b0aea,"	private boolean isExclusion(Artifact artifact) {
		if (exclusions == null) {
			return false;
		}
		for (Iterator iter = exclusions.iterator(); iter.hasNext();) {
			Exclusion excl = (Exclusion) iter.next();
			if (excl.match(artifact)) {
				return true;
			}
		}
		return false;
	}
","['\t', 'private', ' ', 'boolean', ' ', 'isExclusion', '(', 'Artifact', ' ', 'artifact', ')', ' ', '{', '\n', '\t\t', 'if', ' ', '(', 'exclusions', ' ', '=', '=', ' ', 'null', ')', ' ', '{', '\n', '\t\t\t', 'return', ' ', 'false', ';', '\n', '\t\t', '}', '\n', '\t\t', 'for', ' ', '(', 'Iterator', ' ', 'iter', ' ', '=', ' ', 'exclusions', '.', 'iterator', '(', ')', ';', ' ', 'iter', '.', 'hasNext', '(', ')', ';', ')', ' ', '{', '\n', '\t\t\t', 'Exclusion', ' ', 'excl', ' ', '=', ' ', '(', 'Exclusion', ')', ' ', 'iter', '.', 'next', '(', ')', ';', '\n', '\t\t\t', 'if', ' ', '(', 'excl', '.', 'match', '(', 'artifact', ')', ')', ' ', '{', '\n', '\t\t\t\t', 'return', ' ', 'true', ';', '\n', '\t\t\t', '}', '\n', '\t\t', '}', '\n', '\t\t', 'return', ' ', 'false', ';', '\n', '\t', '}', '\n', '<END>']"
