Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,56298e81e7284a0f8ffb67896d438cf16bb65a20,KmsEncryptionConfiguration.java,kmsTextEncryptor,"    TextEncryptor kmsTextEncryptor() {
        return new KmsTextEncryptor(kmsKeyId, Regions.fromName(regionName));
    }",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/56298e81e7284a0f8ffb67896d438cf16bb65a20,"    TextEncryptor kmsTextEncryptor() {
        return new KmsTextEncryptor(kmsKeyId, Regions.fromName(regionName));
    }
","['    ', 'TextEncryptor', ' ', 'kmsTextEncryptor', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'new', ' ', 'KmsTextEncryptor', '(', 'kmsKeyId', ',', ' ', 'Regions', '.', 'fromName', '(', 'regionName', ')', ')', ';', '\n', '    ', '}', '\n']"
master,56298e81e7284a0f8ffb67896d438cf16bb65a20,KmsEncryptionConfiguration.java,environmentDecryptApplicationListener,"    EnvironmentDecryptApplicationListener environmentDecryptApplicationListener() {
        return new EnvironmentDecryptApplicationListener(kmsTextEncryptor());
    }",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/56298e81e7284a0f8ffb67896d438cf16bb65a20,"    EnvironmentDecryptApplicationListener environmentDecryptApplicationListener() {
        return new EnvironmentDecryptApplicationListener(kmsTextEncryptor());
    }
","['    ', 'EnvironmentDecryptApplicationListener', ' ', 'environmentDecryptApplicationListener', '(', ')', ' ', '{', '\n', '        ', 'return', ' ', 'new', ' ', 'EnvironmentDecryptApplicationListener', '(', 'kmsTextEncryptor', '(', ')', ')', ';', '\n', '    ', '}', '\n']"
master,56298e81e7284a0f8ffb67896d438cf16bb65a20,KmsTextEncryptor.java,encrypt,"    public String encrypt(final String text) {
        return extractString(Base64.getEncoder().encode(
                    kms.encrypt(new EncryptRequest().withKeyId(kmsKeyId).withPlaintext(",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/56298e81e7284a0f8ffb67896d438cf16bb65a20,"    public String encrypt(final String text) {
        return extractString(Base64.getEncoder().encode(
                    kms.encrypt(new EncryptRequest().withKeyId(kmsKeyId).withPlaintext(
","['    ', 'public', ' ', 'String', ' ', 'encrypt', '(', 'final', ' ', 'String', ' ', 'text', ')', ' ', '{', '\n', '        ', 'return', ' ', 'extractString', '(', 'Base64', '.', 'getEncoder', '(', ')', '.', 'encode', '(', '\n', '                    ', 'kms', '.', 'encrypt', '(', 'new', ' ', 'EncryptRequest', '(', ')', '.', 'withKeyId', '(', 'kmsKeyId', ')', '.', 'withPlaintext', '(', '\n']"
master,56298e81e7284a0f8ffb67896d438cf16bb65a20,KmsTextEncryptor.java,decrypt,"    public String decrypt(final String encryptedText) {
        return extractString(kms.decrypt(new DecryptRequest().withCiphertextBlob(
                        Base64.getDecoder().decode(ByteBuffer.wrap(encryptedText.getBytes())))).getPlaintext());",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/56298e81e7284a0f8ffb67896d438cf16bb65a20,"    public String decrypt(final String encryptedText) {
        return extractString(kms.decrypt(new DecryptRequest().withCiphertextBlob(
                        Base64.getDecoder().decode(ByteBuffer.wrap(encryptedText.getBytes())))).getPlaintext());
","['    ', 'public', ' ', 'String', ' ', 'decrypt', '(', 'final', ' ', 'String', ' ', 'encryptedText', ')', ' ', '{', '\n', '        ', 'return', ' ', 'extractString', '(', 'kms', '.', 'decrypt', '(', 'new', ' ', 'DecryptRequest', '(', ')', '.', 'withCiphertextBlob', '(', '\n', '                        ', 'Base64', '.', 'getDecoder', '(', ')', '.', 'decode', '(', 'ByteBuffer', '.', 'wrap', '(', 'encryptedText', '.', 'getBytes', '(', ')', ')', ')', ')', ')', '.', 'getPlaintext', '(', ')', ')', ';', '\n']"
master,56298e81e7284a0f8ffb67896d438cf16bb65a20,KmsTextEncryptor.java,extractString,"    private static String extractString(final ByteBuffer bb) {
        if (bb.hasRemaining()) {
            final byte[] bytes = new byte[bb.remaining()];",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/56298e81e7284a0f8ffb67896d438cf16bb65a20,"    private static String extractString(final ByteBuffer bb) {
        if (bb.hasRemaining()) {
            final byte[] bytes = new byte[bb.remaining()];
","['    ', 'private', ' ', 'static', ' ', 'String', ' ', 'extractString', '(', 'final', ' ', 'ByteBuffer', ' ', 'bb', ')', ' ', '{', '\n', '        ', 'if', ' ', '(', 'bb', '.', 'hasRemaining', '(', ')', ')', ' ', '{', '\n', '            ', 'final', ' ', 'byte', '[', ']', ' ', 'bytes', ' ', '=', ' ', 'new', ' ', 'byte', '[', 'bb', '.', 'remaining', '(', ')', ']', ';', '\n']"
master,8f66da93499af171c7f4f61c70f2e2c9ce75a6cf,KmsTextEncryptor.java,encrypt,"    public String encrypt(final String text) {
        return extractString(Base64.getEncoder().encode(
                    getKms().encrypt(new EncryptRequest().withKeyId(kmsKeyId).withPlaintext(",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/8f66da93499af171c7f4f61c70f2e2c9ce75a6cf,"    public String encrypt(final String text) {
        return extractString(Base64.getEncoder().encode(
                    getKms().encrypt(new EncryptRequest().withKeyId(kmsKeyId).withPlaintext(
","['    ', 'public', ' ', 'String', ' ', 'encrypt', '(', 'final', ' ', 'String', ' ', 'text', ')', ' ', '{', '\n', '        ', 'return', ' ', 'extractString', '(', 'Base64', '.', 'getEncoder', '(', ')', '.', 'encode', '(', '\n', '                    ', 'getKms', '(', ')', '.', 'encrypt', '(', 'new', ' ', 'EncryptRequest', '(', ')', '.', 'withKeyId', '(', 'kmsKeyId', ')', '.', 'withPlaintext', '(', '\n']"
master,8f66da93499af171c7f4f61c70f2e2c9ce75a6cf,KmsTextEncryptor.java,decrypt,"    public String decrypt(final String encryptedText) {
        return extractString(getKms().decrypt(new DecryptRequest().withCiphertextBlob(
                        Base64.getDecoder().decode(ByteBuffer.wrap(encryptedText.getBytes())))).getPlaintext());",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/8f66da93499af171c7f4f61c70f2e2c9ce75a6cf,"    public String decrypt(final String encryptedText) {
        return extractString(getKms().decrypt(new DecryptRequest().withCiphertextBlob(
                        Base64.getDecoder().decode(ByteBuffer.wrap(encryptedText.getBytes())))).getPlaintext());
","['    ', 'public', ' ', 'String', ' ', 'decrypt', '(', 'final', ' ', 'String', ' ', 'encryptedText', ')', ' ', '{', '\n', '        ', 'return', ' ', 'extractString', '(', 'getKms', '(', ')', '.', 'decrypt', '(', 'new', ' ', 'DecryptRequest', '(', ')', '.', 'withCiphertextBlob', '(', '\n', '                        ', 'Base64', '.', 'getDecoder', '(', ')', '.', 'decode', '(', 'ByteBuffer', '.', 'wrap', '(', 'encryptedText', '.', 'getBytes', '(', ')', ')', ')', ')', ')', '.', 'getPlaintext', '(', ')', ')', ';', '\n']"
master,34e241ec36e36c36ecde7a3cbb4109692dd2478e,EncryptionCLI.java,run,"    public void run(final String... args) {
        Assert.state(args.length >= 3, ""Too few arguments"");

        final String text = args[1];
        final String keyId = args[2];

        switch (args[0]) {
",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/34e241ec36e36c36ecde7a3cbb4109692dd2478e,"    public void run(final String... args) {
        Assert.state(args.length >= 3, ""Too few arguments"");

        final String text = args[1];
        final String keyId = args[2];

        switch (args[0]) {
","['    ', 'public', ' ', 'void', ' ', 'run', '(', 'final', ' ', 'String', '.', '.', '.', ' ', 'args', ')', ' ', '{', '\n', '        ', 'Assert', '.', 'state', '(', 'args', '.', 'length', ' ', '>', '=', ' ', '3', ',', ' ', '""', 'Too few arguments', '""', ')', ';', '\n', '\n', '        ', 'final', ' ', 'String', ' ', 'text', ' ', '=', ' ', 'args', '[', '1', ']', ';', '\n', '        ', 'final', ' ', 'String', ' ', 'keyId', ' ', '=', ' ', 'args', '[', '2', ']', ';', '\n', '\n', '        ', 'switch', ' ', '(', 'args', '[', '0', ']', ')', ' ', '{', '\n']"
master,34e241ec36e36c36ecde7a3cbb4109692dd2478e,TestApplication.java,main,"    public static void main(final String[] args) {
        final SpringApplicationBuilder app = new SpringApplicationBuilder(TestApplication.class);
        app.showBanner(false);
        app.properties(""spring.cloud.bootstrap.enabled=false"", ""logging.level.ROOT=WARN"");
        app.run(args);
    }",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/34e241ec36e36c36ecde7a3cbb4109692dd2478e,"    public static void main(final String[] args) {
        final SpringApplicationBuilder app = new SpringApplicationBuilder(TestApplication.class);
        app.showBanner(false);
        app.properties(""spring.cloud.bootstrap.enabled=false"", ""logging.level.ROOT=WARN"");
        app.run(args);
    }
","['    ', 'public', ' ', 'static', ' ', 'void', ' ', 'main', '(', 'final', ' ', 'String', '[', ']', ' ', 'args', ')', ' ', '{', '\n', '        ', 'final', ' ', 'SpringApplicationBuilder', ' ', 'app', ' ', '=', ' ', 'new', ' ', 'SpringApplicationBuilder', '(', 'TestApplication', '.', 'class', ')', ';', '\n', '        ', 'app', '.', 'showBanner', '(', 'false', ')', ';', '\n', '        ', 'app', '.', 'properties', '(', '""', 'spring.cloud.bootstrap.enabled=false', '""', ',', ' ', '""', 'logging.level.ROOT=WARN', '""', ')', ';', '\n', '        ', 'app', '.', 'run', '(', 'args', ')', ';', '\n', '    ', '}', '\n']"
master,7d241e45cfc2a891893932e11dc08168059f66f7,KmsTextEncryptor.java,encrypt,"    public String encrypt(final String text) {
        final EncryptRequest encryptRequest =
            new EncryptRequest().withKeyId(kmsKeyId) //
                                .withPlaintext(ByteBuffer.wrap(text.getBytes()));

        final ByteBuffer encryptedBytes = getKms().encrypt(encryptRequest).getCiphertextBlob();

        return extractString(Base64.getEncoder().encode(encryptedBytes));
    }",https://www.github.com/zalando/spring-cloud-config-aws-kms/commit/7d241e45cfc2a891893932e11dc08168059f66f7,"    public String encrypt(final String text) {
        final EncryptRequest encryptRequest =
            new EncryptRequest().withKeyId(kmsKeyId) 
                                .withPlaintext(ByteBuffer.wrap(text.getBytes()));

        final ByteBuffer encryptedBytes = getKms().encrypt(encryptRequest).getCiphertextBlob();

        return extractString(Base64.getEncoder().encode(encryptedBytes));
    }
","['    ', 'public', ' ', 'String', ' ', 'encrypt', '(', 'final', ' ', 'String', ' ', 'text', ')', ' ', '{', '\n', '        ', 'final', ' ', 'EncryptRequest', ' ', 'encryptRequest', ' ', '=', '\n', '            ', 'new', ' ', 'EncryptRequest', '(', ')', '.', 'withKeyId', '(', 'kmsKeyId', ')', ' ', '\n', '                                ', '.', 'withPlaintext', '(', 'ByteBuffer', '.', 'wrap', '(', 'text', '.', 'getBytes', '(', ')', ')', ')', ';', '\n', '\n', '        ', 'final', ' ', 'ByteBuffer', ' ', 'encryptedBytes', ' ', '=', ' ', 'getKms', '(', ')', '.', 'encrypt', '(', 'encryptRequest', ')', '.', 'getCiphertextBlob', '(', ')', ';', '\n', '\n', '        ', 'return', ' ', 'extractString', '(', 'Base64', '.', 'getEncoder', '(', ')', '.', 'encode', '(', 'encryptedBytes', ')', ')', ';', '\n', '    ', '}', '\n']"
